Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QSE
09740,2466123.20588,2039 Nov 30,16:56:28,85,493,126,P,-t
09741,2466300.99053,2040 May 26,11:46:22,85,499,131,T-,p-
09742,2466477.29491,2040 Nov 18,19:04:40,85,505,136,T+,p-
09743,2466655.5299,2041 May 16,00:43:03,86,511,141,P,t-
09744,2466831.69103,2041 Nov 08,04:35:05,86,517,146,P,a-
09745,2466980.10429,2042 Apr 05,14:30:11,86,522,113,N,-t
09746,2467156.94846,2042 Sep 29,10:45:47,87,528,118,N,-a
09747,2467334.1056,2043 Mar 25,14:32:04,87,534,123,T,-t
09748,2467511.57766,2043 Sep 19,01:51:50,88,540,128,T,-a
09749,2467688.31844,2044 Mar 13,19:38:33,88,546,133,T,a-
09750,2467865.97273,2044 Sep 07,11:20:44,88,552,138,T,t-
09751,2468042.82183,2045 Mar 03,07:43:26,89,558,143,N,a-
09752,2468220.07975,2045 Aug 27,13:54:50,89,564,148,N,t-
09753,2468368.04348,2046 Jan 22,13:02:37,90,569,115,P,-a
09754,2468544.54589,2046 Jul 18,01:06:05,90,575,120,P,-t
09755,2468722.55988,2047 Jan 12,01:26:14,90,581,125,T,-p
09756,2468898.94149,2047 Jul 07,10:35:45,91,587,130,T-,pp
09757,2469076.78744,2048 Jan 01,06:53:55,91,593,135,T,p-
09758,2469253.58505,2048 Jun 26,02:02:28,92,599,140,P,a-
09759,2469430.76931,2048 Dec 20,06:27:48,92,605,145,N,t-
09760,2469578.97684,2049 May 17,11:26:39,92,610,112,N,-a
09761,2469608.30153,2049 Jun 15,19:14:12,92,611,150,N,a-
09762,2469755.16124,2049 Nov 09,15:52:11,93,616,117,N,-h
09763,2469933.43891,2050 May 06,22:32:02,94,622,122,T,-h
09764,2470109.64013,2050 Oct 30,03:21:47,95,628,127,T,-p
09765,2470287.59477,2051 Apr 26,02:16:28,96,634,132,T,p-
09766,2470464.29988,2051 Oct 19,19:11:50,97,640,137,T-,p-
09767,2470641.5959,2052 Apr 14,02:18:06,98,646,142,N,t-
09768,2470818.94859,2052 Oct 08,10:45:58,99,652,147,P,a-
09769,2470966.22373,2053 Mar 04,17:22:10,99,657,114,N,-a
09770,2471143.83738,2053 Aug 29,08:05:50,100,663,119,Nx,-t
09771,2471320.78573,2054 Feb 22,06:51:27,101,669,124,T,-p
09772,2471497.8934,2054 Aug 18,09:26:30,102,675,129,T,pp
09773,2471675.44881,2055 Feb 11,22:46:17,103,681,134,T,p-
09774,2471851.95368,2055 Aug 07,10:53:18,104,687,139,P,t-
09775,2472030.01813,2056 Feb 01,12:26:06,105,693,144,N,a-
09776,2472176.91885,2056 Jun 27,10:03:09,106,698,111,N,-a
09777,2472206.28014,2056 Jul 26,18:43:24,106,699,149,N,a-
09778,2472354.57565,2056 Dec 22,01:48:56,107,704,116,N,-t
09779,2472531.60162,2057 Jun 17,02:26:20,108,710,121,P,-a
09780,2472708.53725,2057 Dec 11,00:53:38,109,716,126,P,-t
09781,2472886.30264,2058 Jun 06,19:15:48,110,722,131,T-,pp
09782,2473062.63632,2058 Nov 30,03:16:18,111,728,136,T+,p-
09783,2473240.83027,2059 May 27,07:55:35,112,734,141,P,t-
09784,2473417.04278,2059 Nov 19,13:01:36,113,740,146,P,a-
09785,2473565.40074,2060 Apr 15,21:37:04,114,745,113,N,-t
09786,2473742.28718,2060 Oct 09,18:53:32,115,751,118,N,-a
09787,2473771.66962,2060 Nov 08,04:04:15,115,752,156,N,a-
09788,2473919.41256,2061 Apr 04,21:54:05,116,757,123,T,-t
09789,2474096.90154,2061 Sep 29,09:38:13,117,763,128,T,-a
09790,2474273.6485,2062 Mar 25,03:33:50,118,769,133,T,p-
09791,2474451.27363,2062 Sep 18,18:34:02,119,775,138,T,p-
09792,2474628.17071,2063 Mar 14,16:05:49,120,781,143,P,a-
09793,2474805.36194,2063 Sep 07,20:41:12,121,787,148,N,t-
09794,2474953.40899,2064 Feb 02,21:48:57,122,792,115,P,-a
09795,2475129.82833,2064 Jul 28,07:52:48,123,798,120,P,-t
09796,2475307.91595,2065 Jan 22,09:58:58,124,804,125,T,-p
09797,2475484.24213,2065 Jul 17,17:48:40,125,810,130,T-,pp
09798,2475662.12832,2066 Jan 11,15:04:47,126,816,135,T,p-
09799,2475838.89617,2066 Jul 07,09:30:29,127,822,140,P,a-
09800,2476016.10428,2066 Dec 31,14:30:10,128,828,145,N,t-
09801,2476164.28898,2067 May 28,18:56:08,129,833,112,N,-a
09802,2476193.61188,2067 Jun 27,02:41:06,129,834,150,N,a-
09803,2476340.50326,2067 Nov 21,00:04:42,130,839,117,N,-h
09804,2476518.7377,2068 May 17,05:42:17,131,845,122,P,-t
09805,2476694.99097,2068 Nov 09,11:47:00,132,851,127,T,-p
09806,2476872.88191,2069 May 06,09:09:57,133,857,132,T+,pp
09807,2477049.64938,2069 Oct 30,03:35:06,134,863,137,T-,p-
09808,2477226.88986,2070 Apr 25,09:21:24,135,869,142,Nx,t-
09809,2477404.28556,2070 Oct 19,18:51:12,137,875,147,P,a-
09810,2477551.5633,2071 Mar 16,01:31:09,137,880,114,N,-a
09811,2477729.12895,2071 Sep 09,15:05:41,138,886,119,N,-t
09812,2477906.14105,2072 Mar 04,15:23:07,140,892,124,T,-p
09813,2478083.17062,2072 Aug 28,16:05:42,141,898,129,T,-t
09814,2478260.80895,2073 Feb 22,07:24:53,142,904,134,T,p-
09815,2478437.23797,2073 Aug 17,17:42:41,143,910,139,T,t-
09816,2478615.3722,2074 Feb 11,20:55:58,144,916,144,N,a-
09817,2478762.22336,2074 Jul 08,17:21:38,145,921,111,N,-a
09818,2478791.58059,2074 Aug 07,01:56:03,145,922,149,N,a-
09819,2478939.91323,2075 Jan 02,09:55:03,146,927,116,N,-t
09820,2479116.9136,2075 Jun 28,09:55:35,147,933,121,P,-a
09821,2479293.87216,2075 Dec 22,08:55:55,148,939,126,P,-t
09822,2479471.61096,2076 Jun 17,02:39:47,149,945,131,T-,pp
09823,2479647.98253,2076 Dec 10,11:34:51,150,951,136,T+,p-
09824,2479826.12491,2077 Jun 06,14:59:52,151,957,141,P,t-
09825,2480002.39992,2077 Nov 29,21:35:53,152,963,146,P,a-
09826,2480150.69148,2078 Apr 27,04:35:44,153,968,113,N,-t
09827,2480327.63059,2078 Oct 21,03:08:03,154,974,118,N,-a
