Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QSE
09549,2435618.14713,1956 May 24,15:31:52,32,-540,120,P,-t
09550,2435795.78352,1956 Nov 18,06:48:16,32,-534,125,T,-p
09551,2435972.43852,1957 May 13,22:31:28,32,-528,130,T,a-
09552,2436150.10243,1957 Nov 07,14:27:30,32,-522,135,T,t-
09553,2436297.66684,1958 Apr 04,04:00:15,32,-517,102,Ne,-a
09554,2436327.00936,1958 May 03,12:13:29,32,-516,140,P,a-
09555,2436504.14433,1958 Oct 27,15:27:50,33,-510,145,N,t-
09556,2436652.34163,1959 Mar 24,20:11:57,33,-505,112,P,-a
09557,2436828.54418,1959 Sep 17,01:03:37,33,-499,117,N,-t
09558,2437006.85302,1960 Mar 13,08:28:21,33,-493,122,T-,-p
09559,2437182.97351,1960 Sep 05,11:21:51,33,-487,127,T+,-p
09560,2437361.06157,1961 Mar 02,13:28:40,34,-481,132,P,t-
09561,2437537.63115,1961 Aug 26,03:08:51,34,-475,137,P,a-
09562,2437715.04424,1962 Feb 19,13:03:42,34,-469,142,N,t-
09563,2437862.9964,1962 Jul 17,11:54:49,34,-464,109,N,-a
09564,2437892.3316,1962 Aug 15,19:57:30,34,-463,147,N,a-
09565,2438039.47201,1963 Jan 09,23:19:42,35,-458,114,Nx,-a
09566,2438217.41874,1963 Jul 06,22:02:59,35,-452,119,P,-t
09567,2438393.96348,1963 Dec 30,11:07:25,35,-446,124,T,-p
09568,2438571.54641,1964 Jun 25,01:06:50,35,-440,129,T-,pp
09569,2438748.60965,1964 Dec 19,02:37:54,36,-434,134,T,p-
09570,2438925.576,1965 Jun 14,01:49:26,36,-428,139,P,t-
09571,2439103.21565,1965 Dec 08,17:10:32,36,-422,144,N,a-
09572,2439250.3834,1966 May 04,21:12:06,37,-417,111,N,-a
09573,2439427.92561,1966 Oct 29,10:12:53,37,-411,116,N,-t
09574,2439605.00491,1967 Apr 24,12:07:04,38,-405,121,T,-p
09575,2439781.92764,1967 Oct 18,10:15:48,38,-399,126,T,-t
09576,2439959.70001,1968 Apr 13,04:48:01,39,-393,131,T,p-
09577,2440135.98791,1968 Oct 06,11:42:35,39,-387,136,T,t-
09578,2440314.27299,1969 Apr 02,18:33:06,39,-381,141,N,a-
09579,2440460.95017,1969 Aug 27,10:48:15,40,-376,108,Ne,-a
09580,2440490.3405,1969 Sep 25,20:10:19,40,-375,146,N,a-
09581,2440638.85466,1970 Feb 21,08:30:43,40,-370,113,P,-t
09582,2440815.64174,1970 Aug 17,03:24:06,41,-364,118,P,-a
09583,2440992.82316,1971 Feb 10,07:45:21,41,-358,123,T,-p
09584,2441170.32213,1971 Aug 06,19:43:52,42,-352,128,T-,pp
09585,2441346.95422,1972 Jan 30,10:54:05,42,-346,133,T,a-
09586,2441524.80303,1972 Jul 26,07:16:22,43,-340,138,P,t-
09587,2441701.38748,1973 Jan 18,21:17:58,43,-334,143,N,a-
09588,2441849.36853,1973 Jun 15,20:50:41,44,-329,110,N,-t
09589,2441878.98564,1973 Jul 15,11:39:19,44,-328,148,Nb,t-
09590,2442026.57299,1973 Dec 10,01:45:06,44,-323,115,P,-a
09591,2442203.42829,1974 Jun 04,22:16:44,45,-317,120,P,-t
09592,2442381.1348,1974 Nov 29,15:14:07,45,-311,125,T,-p
09593,2442557.74221,1975 May 25,05:48:47,46,-305,130,T+,p-
09594,2442735.43347,1975 Nov 18,22:24:12,46,-299,135,T,p-
09595,2442912.32995,1976 May 13,19:55:08,47,-293,140,P,a-
09596,2443089.45971,1976 Nov 06,23:01:59,47,-287,145,N,t-
09597,2443237.67991,1977 Apr 04,04:19:04,48,-282,112,P,-a
09598,2443413.85426,1977 Sep 27,08:30:08,48,-276,117,N,-t
09599,2443592.18277,1978 Mar 24,16:23:11,49,-270,122,T-,-p
09600,2443768.29515,1978 Sep 16,19:05:01,49,-264,127,T,-p
09601,2443946.38116,1979 Mar 13,21:08:52,50,-258,132,P,t-
09602,2444122.95488,1979 Sep 06,10:55:02,50,-252,137,T,a-
09603,2444300.36531,1980 Mar 01,20:46:03,51,-246,142,N,t-
09604,2444448.29791,1980 Jul 27,19:08:59,51,-241,109,N,-a
09605,2444477.64676,1980 Aug 26,03:31:20,51,-240,147,N,a-
09606,2444624.82694,1981 Jan 20,07:50:48,51,-235,114,Nx,-a
09607,2444802.69977,1981 Jul 17,04:47:40,52,-229,119,P,-t
09608,2444979.33106,1982 Jan 09,19:56:44,52,-223,124,T,-p
09609,2445156.81374,1982 Jul 06,07:31:47,53,-217,129,T-,pp
09610,2445333.9789,1982 Dec 30,11:29:37,53,-211,134,T,p-
09611,2445510.84943,1983 Jun 25,08:23:11,53,-205,139,P,t-
09612,2445688.57635,1983 Dec 20,01:49:57,54,-199,144,N,a-
09613,2445835.69517,1984 May 15,04:41:03,54,-194,111,N,-a
09614,2445865.10184,1984 Jun 13,14:26:39,54,-193,149,Nb,a-
09615,2446013.24731,1984 Nov 08,17:56:08,54,-188,116,N,-t
09616,2446190.33147,1985 May 04,19:57:19,55,-182,121,T,-p
09617,2446367.23839,1985 Oct 28,17:43:17,55,-176,126,T,-t
09618,2446545.03021,1986 Apr 24,12:43:30,55,-170,131,T,p-
09619,2446721.30479,1986 Oct 17,19:18:54,55,-164,136,T,h-
09620,2446899.59711,1987 Apr 14,02:19:50,55,-158,141,N,h-
09621,2447075.6684,1987 Oct 07,04:02:30,56,-152,146,N,a-
09622,2447224.17617,1988 Mar 03,16:13:41,56,-147,113,Nx,-t
09623,2447400.96214,1988 Aug 27,11:05:29,56,-141,118,P,-a
09624,2447578.15021,1989 Feb 20,15:36:18,56,-135,123,T,-p
09625,2447755.63133,1989 Aug 17,03:09:07,57,-129,128,T-,-p
09626,2447932.30002,1990 Feb 09,19:12:02,57,-123,133,T,a-
09627,2448110.09255,1990 Aug 06,14:13:16,57,-117,138,P,t-
09628,2448286.74975,1991 Jan 30,05:59:38,58,-111,143,N,a-
09629,2448434.63589,1991 Jun 27,03:15:41,58,-106,110,N,-t
09630,2448464.25613,1991 Jul 26,18:08:50,58,-105,148,N,t-
09631,2448611.94028,1991 Dec 21,10:34:00,58,-100,115,P,-a
09632,2448788.70691,1992 Jun 15,04:57:57,59,-94,120,P,-t
09633,2448966.48964,1992 Dec 09,23:45:05,59,-88,125,T,-p
09634,2449143.04266,1993 Jun 04,13:01:26,59,-82,130,T+,p-
09635,2449320.76882,1993 Nov 29,06:27:06,60,-76,135,T,p-
09636,2449497.64676,1994 May 25,03:31:20,60,-70,140,P,a-
09637,2449674.78118,1994 Nov 18,06:44:54,61,-64,145,N,t-
09638,2449823.01324,1995 Apr 15,12:19:04,61,-59,112,P,-a
09639,2449999.17028,1995 Oct 08,16:05:12,61,-53,117,N,-t
09640,2450177.50749,1996 Apr 04,00:10:47,62,-47,122,T-,-p
09641,2450353.62181,1996 Sep 27,02:55:24,62,-41,127,T,-p
09642,2450531.69477,1997 Mar 24,04:40:28,62,-35,132,P,t-
09643,2450708.28313,1997 Sep 16,18:47:42,63,-29,137,T,p-
09644,2450885.68134,1998 Mar 13,04:21:08,63,-23,142,N,t-
09645,2451033.60135,1998 Aug 08,02:25:57,63,-18,109,N,-a
09646,2451062.9661,1998 Sep 06,11:11:11,63,-17,147,N,a-
09647,2451210.17957,1999 Jan 31,16:18:35,63,-12,114,Nx,-a
09648,2451387.98248,1999 Jul 28,11:34:46,64,-6,119,P,-t
09649,2451564.69762,2000 Jan 21,04:44:34,64,0,124,T,-p
09650,2451742.08101,2000 Jul 16,13:56:39,64,6,129,T+,pp
09651,2451919.34838,2001 Jan 09,20:21:40,64,12,134,T,p-
09652,2452096.12249,2001 Jul 05,14:56:23,64,18,139,P,t-
