Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QLE
09415,2436134.70419,1957 Oct 23,04:54:02,32,-522,123,T-,-t
09416,2436312.64395,1958 Apr 19,03:27:17,32,-516,128,A,np
09417,2436489.37185,1958 Oct 12,20:55:28,33,-510,133,T,-n
09418,2436666.64176,1959 Apr 08,03:24:08,33,-504,138,A,p-
09419,2436844.01875,1959 Oct 02,12:27:00,33,-498,143,T,n-
09420,2437020.80911,1960 Mar 27,07:25:07,33,-492,148,P,t-
09421,2437198.45829,1960 Sep 20,22:59:56,33,-486,153,P,t-
09422,2437345.84708,1961 Feb 15,08:19:48,34,-481,120,T,-p
09423,2437522.94916,1961 Aug 11,10:46:47,34,-475,125,A,-p
09424,2437700.50877,1962 Feb 05,00:12:38,34,-469,130,T,-n
09425,2437877.01774,1962 Jul 31,12:25:33,34,-463,135,Am,nn
09426,2438055.0675,1963 Jan 25,13:37:12,35,-457,140,A,n-
09427,2438231.35848,1963 Jul 20,20:36:13,35,-451,145,T,p-
09428,2438409.35426,1964 Jan 14,20:30:08,35,-445,150,P,t-
09429,2438556.69036,1964 Jun 10,04:34:07,35,-440,117,P,-t
09430,2438585.97075,1964 Jul 09,11:17:53,35,-439,155,P,t-
09431,2438733.56382,1964 Dec 04,01:31:54,36,-434,122,P,-t
09432,2438911.38716,1965 May 30,21:17:31,36,-428,127,T,-p
09433,2439087.67698,1965 Nov 23,04:14:51,36,-422,132,A,-n
09434,2439265.90211,1966 May 20,09:39:02,37,-416,137,A,n-
09435,2439442.09963,1966 Nov 12,14:23:28,37,-410,142,T,n-
09436,2439620.11306,1967 May 09,14:42:48,38,-404,147,P,t-
09437,2439796.73537,1967 Nov 02,05:38:56,38,-398,152,T-,t-
09438,2439944.45868,1968 Mar 28,23:00:30,38,-393,119,P,-t
09439,2440121.97137,1968 Sep 22,11:18:46,39,-387,124,T,-t
09440,2440298.70483,1969 Mar 18,04:54:57,39,-381,129,A,-n
09441,2440476.33263,1969 Sep 11,19:58:59,40,-375,134,A,nn
09442,2440653.23507,1970 Mar 07,17:38:30,40,-369,139,T,p-
09443,2440830.41354,1970 Aug 31,21:55:30,41,-363,144,A,p-
09444,2441007.90147,1971 Feb 25,09:38:07,41,-357,149,P,t-
09445,2441154.89716,1971 Jul 22,09:31:55,42,-352,116,Pe,-t
09446,2441184.44411,1971 Aug 20,22:39:31,42,-351,154,P,t-
09447,2441332.96067,1972 Jan 16,11:03:22,42,-346,121,A,-t
09448,2441509.32405,1972 Jul 10,19:46:38,43,-340,126,T,-p
09449,2441687.15719,1973 Jan 04,15:46:21,43,-334,131,A,-n
09450,2441863.9852,1973 Jun 30,11:38:41,44,-328,136,T,nn
