Number,JD,Date,Greatest eclipse,DeltaT,Luna number,Saros number,Type,QLE
09689,2481199.14133,2081 Mar 10,15:23:31,159,1004,131,A,-p
09690,2481375.88022,2081 Sep 03,09:07:31,160,1010,136,T,-n
09691,2481553.11597,2082 Feb 27,14:47:00,162,1016,141,A,p-
09692,2481730.55302,2082 Aug 24,01:16:21,163,1022,146,T,n-
09693,2481907.25458,2083 Feb 16,18:06:36,164,1028,151,P,t-
09694,2482055.50999,2083 Jul 15,00:14:23,165,1033,118,Pe,-t
09695,2482085.02409,2083 Aug 13,12:34:41,165,1034,156,P,t-
09696,2482232.22944,2084 Jan 07,17:30:24,166,1039,123,P,-t
09697,2482409.57669,2084 Jul 03,01:50:26,167,1045,128,A,-p
09698,2482586.88458,2084 Dec 27,09:13:48,168,1051,133,T,-n
09699,2482763.63977,2085 Jun 22,03:21:16,169,1057,138,A,nn
09700,2482941.44292,2085 Dec 16,22:37:48,170,1063,143,A,n-
09701,2483117.96336,2086 Jun 11,11:07:14,171,1069,148,T,p-
09702,2483295.73536,2086 Dec 06,05:38:55,172,1075,153,P,p-
09703,2483443.25326,2087 May 02,18:04:42,173,1080,120,P,-t
09704,2483472.56058,2087 Jun 01,01:27:14,173,1081,158,P,t-
09705,2483619.99094,2087 Oct 26,11:46:57,174,1086,125,P,-t
09706,2483797.93876,2088 Apr 21,10:31:49,175,1092,130,T,-p
09707,2483974.11672,2088 Oct 14,14:48:05,177,1098,135,A,-p
09708,2484152.44771,2089 Apr 10,22:44:42,178,1104,140,A,n-
09709,2484328.55235,2089 Oct 04,01:15:23,179,1110,145,T,n-
09710,2484506.65148,2090 Mar 31,03:38:08,180,1116,150,P,t-
09711,2484683.20597,2090 Sep 23,16:56:36,181,1122,155,T,t-
09712,2484830.91296,2091 Feb 18,09:54:40,182,1127,122,P,-t
09713,2485008.52411,2091 Aug 15,00:34:43,183,1133,127,T,-t
09714,2485185.13218,2092 Feb 07,15:10:20,184,1139,132,A,-n
09715,2485362.91635,2092 Aug 03,09:59:33,185,1145,137,A,nn
09716,2485539.64046,2093 Jan 27,03:22:16,186,1151,142,T,n-
09717,2485717.02227,2093 Jul 23,12:32:04,187,1157,147,A,p-
09718,2485894.29101,2094 Jan 16,18:59:03,189,1163,152,T,p-
09719,2486041.51541,2094 Jun 13,00:22:11,190,1168,119,P,-t
09720,2486071.05874,2094 Jul 12,13:24:35,190,1169,157,P,t-
09721,2486219.33745,2094 Dec 07,20:05:56,191,1174,124,P,-t
09722,2486395.92199,2095 Jun 02,10:07:40,192,1180,129,T,-p
09723,2486573.54372,2095 Nov 27,01:02:57,193,1186,134,A,-p
09724,2486750.56752,2096 May 22,01:37:14,194,1192,139,T,nn
09725,2486927.52517,2096 Nov 15,00:36:15,195,1198,144,A,nn
09726,2487105.27397,2097 May 11,18:34:31,196,1204,149,T,p-
09727,2487281.58432,2097 Nov 04,02:01:25,197,1210,154,A,t-
09728,2487430.33508,2098 Apr 01,20:02:31,198,1215,121,P,-t
09729,2487606.52171,2098 Sep 25,00:31:16,199,1221,126,P,-t
09730,2487635.94179,2098 Oct 24,10:36:11,200,1222,164,Pb,t-
09731,2487784.45454,2099 Mar 21,22:54:32,201,1227,131,A,-p
09732,2487961.20686,2099 Sep 14,16:57:53,202,1233,136,T,-n
