Object,MJD,Year,Month,Day,Distance,H,Collide,Distance (km),DiscoveryYear,Warning,Size (m),Size Source,H Source
2010 KK37,2456067.35,2012,May,19.85,0.00229,25.7,N,342579.123903,2010.375,2.00815068493,18.8,I,E
2014 KW76,2456804.48,2014,May,26.98,0.002297,-99.0,N,343626.308998,2014.375,0.0276849315069,-1.0,?,?
2013 CY,2456320.76,2013,Jan.,28.26,0.002303,-99.0,N,344523.896222,2013.08333333,-0.00590867579967,-1.0,?,?
2014 OX3,2513109.01,2168,July,22.51,0.002304,-99.0,N,344673.494093,2014.54166667,154.120004566,-1.0,?,?
2014 DH6,2428587.49,1937,Feb.,22.99,0.002307,-99.0,N,345122.287705,2014.125,-77.0291369863,-1.0,?,?
2009 BD,2455714.54,2011,June,2.04,0.002313,28.1,N,346019.874929,2009.04166667,2.37488127854,4.0,E,E
2009 TM8,2455121.65,2009,Oct.,17.15,0.002317,-99.0,N,346618.266412,2009.75,0.0421917808217,-1.0,?,?
2011 JV10,2455687.22,2011,May,5.72,0.002319,-99.0,N,346917.462153,2011.33333333,0.00836529680419,-1.0,?,?
(163132) 2002 CU11,2424393.49,1925,Aug.,30.99,0.002321,18.3,N,347216.657895,2002.08333333,-76.4778812785,586.0,M,M
2012 BO11,2514747.57,2173,Jan.,16.07,0.002322,-99.0,N,347366.255765,2012.04166667,161.109210046,-1.0,?,?
2013 FA8,2428968.83,1938,Mar.,11.33,0.002323,-99.0,N,347515.853636,2013.20833333,-75.0677031963,-1.0,?,?
2004 RQ252,2475756.53,2066,Apr.,16.03,0.002326,-99.0,N,347964.647248,2004.66666667,61.6594429224,-1.0,?,?
2014 DX110,2456722.37,2014,Mar.,5.87,0.002328,25.7,N,348263.84299,2014.125,0.0527260273975,18.8,I,E
2010 CK19,2455244.81,2010,Feb.,17.31,0.002334,-99.0,N,349161.430214,2010.08333333,0.0462831050231,-1.0,?,?
2009 WQ6,2455152.27,2009,Nov.,16.77,0.00235,-99.0,N,351554.996145,2009.875,0.00108219178082,-1.0,?,?
2007 TV18,2472993.95,2058,Sept.,22.45,0.002357,23.8,N,352602.18124,2007.75,51.0073972603,44.0,I,E
2011 BY10,2455581.85,2011,Jan.,20.35,0.002381,-99.0,N,356192.530137,2011.04166667,0.0113470319636,-1.0,?,?
2008 BW2,2454482.32,2008,Jan.,16.82,0.002385,-99.0,N,356790.921619,2008.04166667,-0.00106392694124,-1.0,?,?
2008 EL68,2471315.5,2054,Feb.,17.0,0.002393,-99.0,N,357987.704585,2008.16666667,45.9922374429,-1.0,?,?
2014 JU15,2472116.67,2056,Apr.,28.17,0.002397,-99.0,N,358586.096068,2014.33333333,42.0205570776,-1.0,?,?
2012 BL14,2486444.23,2095,July,20.73,0.002408,-99.0,N,360231.672646,2012.04166667,83.5658127854,-1.0,?,?
2011 XC2,2455899.14,2011,Dec.,3.64,0.002428,-99.0,N,363223.63006,2011.91666667,0.00563470319662,-1.0,?,?
2010 TE55,2455486.56,2010,Oct.,17.06,0.002448,-99.0,N,366215.587474,2010.75,0.0419452054796,-1.0,?,?
2013 EC,2456355.82,2013,Mar.,4.32,0.002461,-99.0,N,368160.359793,2013.16666667,0.00681278538764,-1.0,?,?
2007 UO6,2454391.12,2007,Oct.,17.62,0.002467,-99.0,N,369057.947017,2007.79166667,-0.000926940639147,-1.0,?,?
2014 AK51,2456665.88,2014,Jan.,8.38,0.002472,-99.0,N,369805.93637,2014.0,0.0229589041094,-1.0,?,?
2008 CK70,2454511.51,2008,Feb.,15.01,0.002481,-99.0,N,371152.317207,2008.08333333,0.0372420091319,-1.0,?,?
2013 PJ10,2456508.6,2013,Aug.,4.1,0.002483,-99.0,N,371451.512948,2013.58333333,0.00872146118763,-1.0,?,?
2010 GH7,2502769.1,2140,Mar.,31.6,0.002492,27.3,N,372797.893784,2010.25,130.083150685,8.0,E,E
2009 FK,2454910.47,2009,Mar.,19.97,0.002508,-99.0,N,375191.459716,2009.20833333,0.00528310502341,-1.0,?,?
2008 AF3,2454478.88,2008,Jan.,13.38,0.002515,-99.0,N,376238.64481,2008.0,0.0311780821914,-1.0,?,?
2013 TL127,2456574.6,2013,Oct.,9.1,0.002516,-99.0,N,376388.242681,2013.75,0.022876712329,-1.0,?,?
2012 GD,2445865.46,1984,June,13.96,0.002521,-99.0,N,377136.232035,2012.25,-27.8172328767,-1.0,?,?
2009 OW6,2480993.2,2080,Aug.,16.7,0.002567,-99.0,N,384017.734087,2009.54166667,71.1314840183,-1.0,?,?
2010 JL88,2455333.79,2010,May,17.29,0.002571,26.8,N,384616.12557,2010.33333333,0.0400639269408,11.8,I,E
2008 CE22,2454503.45,2008,Feb.,6.95,0.002572,-99.0,N,384765.72344,2008.08333333,0.0151598173522,-1.0,?,?
2010 DJ1,2455249.45,2010,Feb.,21.95,0.002575,26.9,N,385214.517052,2010.125,0.0173287671239,11.4,I,E
2014 LY21,2475805.94,2066,June,4.44,0.002584,-99.0,N,386560.897889,2014.41666667,52.0448127854,-1.0,?,?
2014 HB177,2425737.39,1929,May,5.89,0.002616,-99.0,N,391348.029751,2014.29166667,-85.0042968037,-1.0,?,?
2014 FT37,2456746.32,2014,Mar.,29.82,0.002617,-99.0,N,391497.627622,2014.20833333,0.0350091324196,-1.0,?,?
2011 YQ1,2455910.1,2011,Dec.,14.6,0.002618,-99.0,N,391647.225493,2011.95833333,-0.00600456620964,-1.0,?,?
2007 YN1,2454449.52,2007,Dec.,15.02,0.002629,-99.0,N,393292.80207,2007.95833333,-0.00759360730581,-1.0,?,?
2013 EB,2456351.66,2013,Feb.,28.16,0.00264,-99.0,N,394938.378648,2013.16666667,-0.00458447488541,-1.0,?,?
(137108) 1999 AN10,2461624.79,2027,Aug.,7.29,0.002654,17.9,N,397032.748838,1999.0,28.6090136986,704.0,M,M
2009 DT43,2454889.44,2009,Feb.,26.94,0.002655,-99.0,N,397182.346708,2009.125,0.0309999999999,-1.0,?,?
1993 HD,2449089.95,1993,Apr.,12.45,0.002661,-99.0,N,398079.933933,1993.29166667,-0.0246803652963,-1.0,?,?
2012 TY52,2445277.64,1982,Nov.,4.14,0.002677,-99.0,N,400473.499864,2012.75,-29.9276986301,-1.0,?,?
2010 UK,2496393.29,2122,Oct.,16.79,0.002688,-99.0,N,402119.076442,2010.79166667,112.073511416,-1.0,?,?
2008 WO2,2454786.73,2008,Nov.,16.23,0.002693,-99.0,N,402867.065795,2008.875,-0.000397260273985,-1.0,?,?
(371660) 2007 CN26,2446310.63,1985,Sept.,2.13,0.002695,21.1,N,403166.261536,2007.08333333,-21.4309223744,162.0,M,M
(371660) 2007 CN26,2446310.63,1985,Sept.,2.13,0.002696,21.1,N,403315.859407,2007.08333333,-21.4309223744,162.0,M,M
2013 QP48,2456530.23,2013,Aug.,25.73,0.002699,-99.0,N,403764.653019,2013.625,0.0263150684932,-1.0,?,?
(367943) Duende,2421641.66,1918,Feb.,17.16,0.002704,24.0,N,404512.642373,2012.125,-94.0588082192,40.0,M,M
2012 AP10,2455926.35,2011,Dec.,30.85,0.002712,-99.0,N,405709.425338,2012.0,-0.00315068493114,-1.0,?,?
2014 AW32,2430004.92,1941,Jan.,10.42,0.002713,-99.0,N,405859.023209,2014.0,-73.0207671233,-1.0,?,?
2003 XV,2455902.78,2011,Dec.,7.28,0.002717,-99.0,N,406457.414692,2003.91666667,8.01560730594,-1.0,?,?
2009 HW67,2454946.29,2009,Apr.,24.79,0.002743,-99.0,N,410346.95933,2009.29166667,0.0200867579908,-1.0,?,?
2009 WN6,2494949.03,2118,Nov.,2.53,0.002745,-99.0,N,410646.155071,2009.875,109.03330137,-1.0,?,?
2011 EM40,2488138.31,2100,Mar.,10.81,0.002746,-99.0,N,410795.752942,2011.16666667,89.0821278539,-1.0,?,?
2011 YC63,2489893.99,2104,Dec.,30.49,0.002759,-99.0,N,412740.525261,2011.95833333,93.100543379,-1.0,?,?
2012 WS3,2496977.71,2124,May,23.21,0.0028,-99.0,N,418874.03796,2012.875,111.591328767,-1.0,?,?
2014 OM207,2499963.92,2132,July,26.42,0.002811,-99.0,N,420519.614538,2014.54166667,118.106059361,-1.0,?,?
2009 TP,2482879.7,2085,Oct.,16.2,0.00282,-99.0,N,421865.995374,2009.75,76.0916438356,-1.0,?,?
2013 QM48,2441552.35,1972,Aug.,22.85,0.002822,-99.0,N,422165.191115,2013.625,-41.0089726027,-1.0,?,?
2007 YS56,2477836.4,2071,Dec.,25.9,0.002832,-99.0,N,423661.169822,2007.95833333,64.0660502283,-1.0,?,?
2014 FE,2456734.16,2014,Mar.,17.66,0.002837,-99.0,N,424409.159176,2014.20833333,0.00169406392752,-1.0,?,?
2010 TG19,2455492.13,2010,Oct.,22.63,0.002863,23.9,N,428298.703814,2010.75,0.0572054794518,42.0,I,E
