Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
166.733,0.00057424,0.58184868,167.3974,-0.2351899466,2.2237487083,High
170.3,0.0005015,0.508144875,167.5957,-0.2940124502,2.2242628718,High
173.872,0.00043798,0.443783235,167.8399,-0.3528291083,2.2248952121,High
177.45,0.0003825,0.387568125,168.0913,-0.4116519481,2.225545236,High
181.035,0.00033404,0.33846603,168.397,-0.4704849126,2.2263343503,High
184.626,0.00029173,0.2955954225,168.7084,-0.5293022956,2.2271367067,High
188.225,0.00025477,0.2581457025,169.0415,-0.5881351005,2.2279933378,High
191.831,0.0002225,0.225448125,169.4059,-0.6469533723,2.2289285317,High
195.444,0.00019432,0.19689474,169.7554,-0.7057658858,2.2298235983,High
199.068,0.0001697,0.171948525,170.1303,-0.7646015453,2.2307816678,High
202.699,0.0001482,0.15016365,170.4953,-0.8234351839,2.2317124114,High
206.338,0.00012943,0.1311449475,170.8946,-0.8822484364,2.2327283399,High
209.986,0.00011304,0.11453778,171.3854,-0.9410512387,2.2339738224,High
213.648,0.000098717,0.1000250003,171.992,-0.9998914389,2.2355082467,High
217.322,0.000086212,0.087354309,172.5218,-1.0587156673,2.2368439807,High
221.007,0.000075291,0.0762886058,172.9845,-1.1175403222,2.2380071906,High
224.702,0.000065754,0.0666252405,173.3885,-1.1763612103,2.2390202895,High
228.405,0.000057424,0.058184868,173.7414,-1.2351899466,2.2399033167,High
232.116,0.00005015,0.0508144875,174.0495,-1.2940124502,2.24067278,High
235.832,0.000043798,0.0443783235,174.3187,-1.3528291083,2.2413439785,High
239.555,0.00003825,0.0387568125,174.5537,-1.4116519481,2.241929059,High
243.284,0.000033404,0.033846603,174.759,-1.4704849126,2.2424395509,High
247.016,0.000029173,0.0295595423,174.9382,-1.5293022956,2.2428846536,High
250.754,0.000025477,0.0258145703,175.0948,-1.5881351005,2.2432732485,High
254.494,0.00002225,0.0225448125,175.2315,-1.6469533723,2.2436121786,High
258.237,0.000019432,0.019689474,175.3509,-1.7057658858,2.2439079993,High
261.984,0.00001697,0.0171948525,175.4552,-1.7646015453,2.244166244,High
265.733,0.00001482,0.015016365,175.5463,-1.8234351839,2.2443916802,High
269.484,0.000012943,0.0131144948,175.6258,-1.8822484364,2.2445883155,High
273.236,0.000011304,0.011453778,175.6953,-1.9410512387,2.2447601439,High
276.992,9.8717E-006,0.0100025,175.756,-1.9998914389,2.24491016,High
280.749,8.6212E-006,0.0087354309,175.8089,-2.0587156673,2.2450408566,High
284.507,7.5291E-006,0.0076288606,175.8552,-2.1175403222,2.2451552148,High
288.266,6.5754E-006,0.0066625241,175.8956,-2.1763612103,2.2452549758,High
292.028,5.7424E-006,0.0058184868,176.4236,-2.2351899466,2.2465566798,High
295.79,0.000005015,0.0050814488,177.1736,-2.2940124502,2.2483990097,High
299.552,4.3798E-006,0.0044378324,178.0244,-2.3528291083,2.2504795307,High
303.316,0.000003825,0.0038756813,178.8277,-2.4116519481,2.2524347909,High
307.082,3.3404E-006,0.0033846603,179.6711,-2.4704849126,2.2544782267,High
310.847,2.9173E-006,0.0029559542,180.51,-2.5293022956,2.2565012662,High
314.615,2.5477E-006,0.002581457,181.323,-2.5881351005,2.2584528959,High
318.382,0.000002225,0.0022544813,182.1826,-2.6469533723,2.2605068958,High
322.149,1.9432E-006,0.0019689474,182.984,-2.7057658858,2.262413117,High
325.919,0.000001697,0.0017194853,183.8125,-2.7646015453,2.2643750419,High
329.689,0.000001482,0.0015016365,184.6056,-2.8234351839,2.2662448712,High
