Lower limit (km),Upper limit (km),Feature type,Name,Temperature (K),Pressure (bar),Colour
0,65,Layer,Troposphere,740-240,,
65,120,Layer,Mesosphere,240-300,,
120,300,Layer,Thermosphere,300-300,,
0,0,Boundary,Surface,,,
65,65,Boundary,Tropopause,,,
120,120,Boundary,Mesopause,,,
30,50,Cloud layer,Sulphuric acid haze,,,Grey
50,60,Cloud layer,Sulphur clouds,,,Brown
60,80,Cloud layer,Sulphuric acid haze,,,Orange
50,54,Feature,Potentially habitable layer,,,
