Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K)  ,log P,log (T),Type
151.5,0.00221071,2.2400019075,80.71,0.3502483882,1.9069273473,Mid
155.4,0.00196398,1.990002735,82.49,0.2988536733,1.9164013036,Mid
159.5,0.00175672,1.77999654,84.18,0.2504191581,1.9252089214,Mid
163.6,0.00156921,1.5900020325,85.88,0.2013976795,1.9338920358,Mid
167.7,0.00139156,1.40999817,87.48,0.149218549,1.9419087744,Mid
172,0.00124352,1.25999664,89.09,0.100369387,1.9498289589,Mid
176.3,0.00110535,1.1199958875,90.61,0.049216428,1.9571761304,Mid
180.7,0.000986923,0.9999997298,92.14,-1.1736809956509E-007,1.9644482079,Mid
185.2,0.000879349,0.8910003743,93.6,-0.0501221135,1.9712758487,Mid
189.8,0.000783617,0.7939999253,95.07,-0.1001795385,1.9780434939,Mid
194.4,0.000698742,0.7080003315,96.5,-0.149966539,1.9845273133,Mid
199.1,0.000622749,0.6310004243,97.93,-0.1999703488,1.9909157545,Mid
203.8,0.000554651,0.5620001258,99.35,-0.2502635873,1.9971678714,Mid
208.6,0.000494449,0.5010004493,100.77,-0.3001618847,2.0033312586,Mid
213.5,0.000441155,0.4470003038,102.21,-0.3496921818,2.0094933883,Mid
218.5,0.000392795,0.3979995338,103.65,-0.4001174367,2.0155693064,Mid
223.5,0.000350358,0.3550002435,105.12,-0.4497713491,2.0216853522,Mid
228.6,0.000311868,0.316000251,106.6,-0.5003125724,2.0277572047,Mid
233.8,0.000278312,0.281999634,108.11,-0.5497514553,2.0338658673,Mid
239.1,0.000247718,0.2510002635,109.62,-0.6003258226,2.0398897977,Mid
244.4,0.000221071,0.2240001908,111.17,-0.6497516118,2.0459876057,Mid
249.8,0.000196398,0.1990002735,112.71,-0.7011463267,2.0519624498,Mid
255.3,0.000175672,0.177999654,114.29,-0.7495808419,2.0580082327,Mid
260.8,0.000156921,0.1590002033,115.88,-0.7986023205,2.0640084865,Mid
266.5,0.000139156,0.140999817,117.48,-0.850781451,2.0699639379,Mid
272.2,0.000124352,0.125999664,119.09,-0.899630613,2.0758752953,Mid
278,0.000110535,0.1119995888,120.71,-0.950783572,2.0817432499,Mid
283.9,9.86923E-005,0.099999973,122.34,-1.0000001174,2.0875684762,Mid
289.8,8.79349E-005,0.0891000374,123.97,-1.0501221135,2.0933166012,Mid
295.9,7.83617E-005,0.0793999925,125.61,-1.1001795385,2.0990242156,Mid
302,6.98742E-005,0.0708000332,127.25,-1.149966539,2.104657791,Mid
308.2,6.22749E-005,0.0631000424,128.89,-1.1999703488,2.1102192237,Mid
314.5,5.54651E-005,0.0562000126,130.54,-1.2502635873,2.1157436084,Mid
320.8,4.94449E-005,0.0501000449,132.18,-1.3001618847,2.1211657475,Mid
327.3,4.41155E-005,0.0447000304,133.83,-1.3496921818,2.126553478,Mid
333.8,3.92795E-005,0.0397999534,135.48,-1.4001174367,2.131875188,Mid
340.5,3.50358E-005,0.0355000244,137.13,-1.4497713491,2.137132476,Mid
347.2,3.11868E-005,0.0316000251,138.78,-1.5003125724,2.1423268832,Mid
354,2.78312E-005,0.0281999634,140.43,-1.5497514553,2.1474598958,Mid
360.8,2.47718E-005,0.0251000264,142.08,-1.6003258226,2.1525329484,Mid
367.8,2.21071E-005,0.0224000191,143.73,-1.6497516118,2.1575474256,Mid
374.8,1.97385E-005,0.0200000351,145.38,-1.6989692416,2.1625046645,Mid
381.9,1.75672E-005,0.0177999654,147.03,-1.7495808419,2.1674059572,Mid
389.2,1.55934E-005,0.0158000126,148.68,-1.8013425681,2.1722525524,Mid
396.4,1.39156E-005,0.0140999817,150.33,-1.850781451,2.1770456575,Mid
403.8,1.24352E-005,0.0125999664,151.98,-1.899630613,2.1817864402,Mid
411.3,1.10535E-005,0.0111999589,153.63,-1.950783572,2.1864760306,Mid
418.8,9.86923E-006,0.0099999973,155.28,-2.0000001174,2.1911155224,Mid
426.5,8.79349E-006,0.0089100037,156.93,-2.0501221135,2.1957059747,Mid
434.2,7.83617E-006,0.0079399993,158.58,-2.1001795385,2.2002484135,Mid
442,6.98742E-006,0.0070800033,160.23,-2.149966539,2.2047438327,Mid
449.9,6.22749E-006,0.0063100042,161.88,-2.1999703488,2.2091931957,Mid
457.9,5.54651E-006,0.0056200013,163.53,-2.2502635873,2.2135974367,Mid
465.9,4.94449E-006,0.0050100045,165.18,-2.3001618847,2.2179574618,Mid
474.1,4.41155E-006,0.004470003,166.83,-2.3496921818,2.2222741498,Mid
482.3,0.000003928,0.0039799953,168.48,-2.4001174367,2.2265483538,Mid
490.6,3.50358E-006,0.0035500024,170.13,-2.4497713491,2.230780902,Mid
499,3.11868E-006,0.0031600025,171.78,-2.5003125724,2.2349725984,Mid
507.5,2.78312E-006,0.0028199963,173.43,-2.5497514553,2.2391242241,Mid
516.1,2.47718E-006,0.0025100026,175.08,-2.6003258226,2.2432365379,Mid
524.8,2.21071E-006,0.0022400019,176.73,-2.6497516118,2.2473102775,Mid
533.5,0.000001964,0.0019900027,178.38,-2.7011463267,2.2513461596,Mid
542.4,1.75672E-006,0.0017799965,180.03,-2.7495808419,2.2553448815,Mid
551.3,1.56921E-006,0.001590002,181.68,-2.7986023205,2.2593071212,Mid
560.7,1.39156E-006,0.0014099982,197.46,-2.850781451,2.2954791327,Mid
570.9,1.24352E-006,0.0012599966,213.24,-2.899630613,2.3288686739,Mid
581.8,1.10535E-006,0.0011199959,229.04,-2.950783572,2.359911335,Mid
593.5,9.86923E-007,0.0009999997,244.84,-3.0000001174,2.3888823708,Mid
606.1,8.79349E-007,0.0008910004,260.64,-3.0501221135,2.416041067,Mid
619.4,7.83617E-007,0.0007939999,276.44,-3.1001795385,2.4416008843,Mid
633.6,6.98742E-007,0.0007080003,292.24,-3.149966539,2.4657396592,Mid
648.5,6.22749E-007,0.0006310004,308.04,-3.1999703488,2.4886071147,Mid
664.2,5.54651E-007,0.0005620001,323.84,-3.2502635873,2.5103304908,Mid
680.8,4.94449E-007,0.0005010004,339.64,-3.3001618847,2.5310188322,Mid
698.2,4.41155E-007,0.0004470003,355.44,-3.3496921818,2.5507663002,Mid
716.3,3.92795E-007,0.0003979995,371.24,-3.4001174367,2.569654764,High
735.3,3.50358E-007,0.0003550002,386.54,-3.4497713491,2.5871944423,High
755.2,3.11868E-007,0.0003160003,401.84,-3.5003125724,2.6040531652,High
775.8,2.78312E-007,0.0002819996,418.14,-3.5497514553,2.6213217149,High
797.3,2.47718E-007,0.0002510003,434.44,-3.6003258226,2.637929805,High
819.3,2.21071E-007,0.0002240002,437.87,-3.6497516118,2.6413451912,High
841.5,1.97385E-007,0.0002000004,441.3,-3.6989692416,2.6447339274,High
863.9,1.75672E-007,0.0001779997,444.72,-3.7495808419,2.648086661,High
886.5,1.55934E-007,0.0001580001,448.15,-3.8013425681,2.6514234008,High
909.4,1.39156E-007,0.0001409998,451.58,-3.850781451,2.6547346992,High
932.4,1.24352E-007,0.0001259997,455.01,-3.899630613,2.6580209415,High
955.7,1.10535E-007,0.0001119996,458.44,-3.950783572,2.6612825039,High
979.2,9.86923E-008,0.0001,461.87,-4.0000001174,2.6645197543,High
1000,8.11490402118993E-008,8.22242649947069E-005,465.3717325655,-4.085,2.6678,High ext
