Altitude (km),Pressure (atm),Pressure (mbar),Temperature (K),log P,log T,Type
361.667,0.000018072,0.018311454,157.385,-1.7372771697,2.1969633384,Mid
372.406,0.000015004,0.015202803,157.414,-1.8180763321,2.1970433548,Mid
382.001,0.000012457,0.0126220553,157.445,-1.8988699231,2.1971288732,Mid
392.503,0.000010342,0.0104790315,157.464,-1.9796788542,2.1971812795,Mid
402.492,8.5859E-006,0.0086996632,157.458,-2.0604975616,2.1971647308,Mid
412.586,7.1281E-006,0.0072225473,157.404,-2.1413096038,2.1970157646,Mid
422.928,5.9179E-006,0.0059963122,157.293,-2.2221157654,2.1967093957,Mid
432.634,4.9132E-006,0.0049782999,157.12,-2.3029189444,2.1962314704,Mid
443.332,0.000004079,0.0041330468,156.899,-2.3837296823,2.1956201756,Mid
452.92,3.3864E-006,0.0034312698,156.646,-2.4645451321,2.1949193095,Mid
463.709,2.8115E-006,0.0028487524,156.387,-2.5453452997,2.1942006486,Mid
473.712,2.3341E-006,0.0023650268,156.151,-2.626163929,2.1935447698,Mid
484.067,1.9378E-006,0.0019634759,155.96,-2.706974436,2.1930132265,Mid
494.472,1.6088E-006,0.0016301166,155.825,-2.78778133,2.1926371356,Mid
504.376,1.3357E-006,0.001353398,155.75,-2.8685744616,2.1924280553,High
515.184,1.1089E-006,0.0011235929,155.733,-2.9493910041,2.1923806498,High
524.951,9.2063E-007,0.0009328283,155.755,-3.0301982647,2.1924419971,High
535.895,7.6433E-007,0.0007744574,155.786,-3.1110024816,2.1925284264,High
546.147,6.3456E-007,0.0006429679,155.846,-3.1918106951,2.19269566,High
556.644,5.2682E-007,0.0005338004,155.924,-3.2726211336,2.1929129674,High
567.475,4.3738E-007,0.0004431753,156.014,-3.3534244673,2.1931635718,High
577.567,3.6312E-007,0.0003679313,156.115,-3.4342332179,2.1934446334,High
589.199,3.0147E-007,0.0003054645,156.216,-3.5150392866,2.1937255133,High
599.857,2.5028E-007,0.0002535962,156.32,-3.5958572413,2.1940145464,High
611.461,2.0779E-007,0.0002105432,156.427,-3.6766587445,2.1943117164,High
623.257,1.7251E-007,0.0001747958,156.723,-3.7574691124,2.1951327364,High
634.649,1.4322E-007,0.0001451177,156.77,-3.8382797182,2.1952629583,High
647.733,1.189E-007,0.0001204754,156.814,-3.919101533,2.1953848329,High
660.056,9.8717E-008,0.000100025,156.855,-3.9998914389,2.1954983671,High
700,4.78611784355629E-008,4.84953390498341E-005,156.9903652935,-4.3143,2.195873,High Ext
800,8.87122077642148E-009,8.98876445170907E-006,157.8018171594,-5.0463,2.198112,High Ext
900,1.64430882473917E-009,1.66609591666697E-006,158.6174632581,-5.7783,2.200351,High Ext
1000,3.04777840531409E-010,3.08816146918451E-007,159.4373252687,-6.5103,2.20259,High Ext
