Name,RA,Dec,AVM code,AVM description,Source
NGC 1782,74.4645417,-69.3924778,3.6.4,Cluster of Stars,Simbad
NGC 1783,74.7857917,-65.9877333,3.6.4.2,Globular Cluster,Simbad
NGC 1784,76.3629917,-11.8714222,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 1785,74.6458000,-68.8450000,3.6,A group of stars,cseligman
NGC 1786,74.7811250,-67.7459556,3.6.4,Cluster of Stars,Simbad
NGC 1787,75.4385833,-65.8243944,3.6.4,Association of Stars,Simbad
NGC 1788,76.7250000,-3.3417000,4.2.2,Reflection Nebula,Simbad
NGC 1789,74.4627917,-71.9027556,3.6.4,Cluster of Stars,Simbad
NGC 1790,77.8197000,52.0633000,3.6,A group of stars,cseligman
NGC 1791,74.7731250,-70.1671139,3.6.4,Cluster of Stars,Simbad
NGC 1792,76.3102250,-37.9807500,5;5.1.1,Spiral Galaxy,Simbad
NGC 1793,74.9115000,-69.5561000,3.6.4,Cluster of Stars,Simbad
NGC 1794,76.9792708,-18.1899389,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 1795,74.9455833,-69.8022389,3.6.4,Cluster of Stars,Simbad
NGC 1796,75.6773083,-61.1400750,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1797,76.9333292,-8.0186111,5.3.3,Starburst Galaxy,Simbad
NGC 1798,77.9100000,47.6950000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1799,76.9359042,-7.9693250,5,Galaxy,Simbad
NGC 1800,76.6072375,-31.9542250,5;5.1.1,Spiral Galaxy,Simbad
NGC 1801,75.1417000,-69.6133000,3.6.4,Cluster of Stars,Simbad
NGC 1802,77.5750000,24.1330000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1803,76.3608333,-49.5680556,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 1804,75.2687500,-69.0842500,3.6.4,Cluster of Stars,Simbad
NGC 1805,75.5903750,-66.1109528,3.6.4.2,Globular Cluster,Simbad
NGC 1806,75.5458000,-67.9883000,3.6.4.2,Globular Cluster,Simbad
NGC 1807,77.7030000,16.5220000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1808,76.9264292,-37.5130500,5.3.2.2,Seyfert 2 Galaxy,Simbad
NGC 1809,75.5208667,-69.5682833,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 1810,75.8486667,-66.3822111,3.6.4,Cluster of Stars,Simbad
NGC 1811,77.1781375,-29.2760028,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 1812,77.2204958,-29.2512889,5.5.1;5.1.1,Spiral Galaxy,Simbad
NGC 1813,75.6667000,-70.3183000,3.6.4,Cluster of Stars,Simbad
NGC 1814,75.9422500,-67.3041667,3.6.4,Cluster of Stars,Simbad
NGC 1815,75.6113750,-70.6221917,3.6.4,Cluster of Stars,Simbad
NGC 1816,75.9667083,-67.2625056,3.6.4,Cluster of Stars,Simbad
NGC 1817,78.0625000,16.6900000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1818,76.0554167,-66.4348528,3.6.4.2,Globular Cluster,Simbad
NGC 1819,77.9422917,5.2006139,5.5.3;5.1.2,Barred Galaxy,Simbad
NGC 1820,76.0250000,-67.2783000,3.6.4,Cluster of Stars,Simbad
NGC 1821,77.9421167,-15.1347000,5;5.1.1,Spiral Galaxy,Simbad
NGC 1822,76.2863750,-66.2120667,3.6.4,Cluster of Stars,Simbad
NGC 1823,75.8522917,-70.3350361,3.6.4,Cluster of Stars,Simbad
NGC 1824,76.7341708,-59.7238889,5;5.1.2,Barred Galaxy,Simbad
NGC 1825,76.0784167,-68.9284972,3.6.4,Cluster of Stars,Simbad
NGC 1826,76.3917500,-66.2290417,3.6.4,Cluster of Stars,Simbad
NGC 1827,77.5191125,-36.9602417,5;5.1.1,Spiral Galaxy,Simbad
NGC 1828,76.0876667,-69.3904333,3.6.4,Cluster of Stars,Simbad
NGC 1829,76.2375000,-68.0550000,3.6.4,Cluster of Stars,Simbad
NGC 1830,76.1647500,-69.3426583,3.6.4,Cluster of Stars,Simbad
NGC 1831,76.5725000,-64.9197194,3.6.4.2,Globular Cluster,Simbad
NGC 1832,78.0138833,-15.6877806,5;5.1.2,Barred Galaxy,Simbad
NGC 1833,76.0979208,-70.7352806,4.2.1,Emission Object,Simbad
NGC 1834,76.3005417,-69.2073611,3.6.4,Cluster of Stars,Simbad
NGC 1835,76.2793750,-69.4039722,3.6.4,Cluster of Stars,Simbad
NGC 1836,76.3992917,-68.6293556,3.6.4,Cluster of Stars,Simbad
NGC 1837,76.2374667,-70.7158444,3,Star,Simbad
NGC 1838,76.5367083,-68.4458889,3.6.4,Cluster of Stars,Simbad
NGC 1839,76.5135833,-68.6270750,3.6.4,Cluster of Stars,Simbad
NGC 1840,76.3250000,-71.7617000,3.6.4,Cluster of Stars,Simbad
NGC 1841,71.3458000,-83.9967000,3.6.4.2,Globular Cluster,Simbad
NGC 1842,76.8284583,-67.2719500,3.6.4,Cluster of Stars,Simbad
NGC 1843,78.5255958,-10.6268389,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1844,76.8746250,-67.3241278,3.6.4,Cluster of Stars,Simbad
NGC 1845,76.5827083,-70.4808278,3.6.4,Association of Stars,Simbad
NGC 1846,76.8954167,-67.4590139,3.6.4,Cluster of Stars,Simbad
NGC 1847,76.7841667,-68.9709694,3.6.4,Cluster of Stars,Simbad
NGC 1848,77.0452083,-71.1735000,3.6.4,Association of Stars,Simbad
NGC 1849,77.3945000,-66.3146583,3.6.4,Cluster of Stars,Simbad
NGC 1850,77.1907917,-68.7607222,3.6.4,Cluster of Stars,Simbad
NGC 1851,78.5281667,-40.0465556,3.6.4.2,Globular Cluster,Simbad
NGC 1852,77.3490000,-67.7772222,3.6.4,Cluster of Stars,Simbad
NGC 1853,78.0688875,-57.3990444,5;5.1.1,Spiral Galaxy,Simbad
NGC 1854,77.3337500,-68.8480000,3.6.4,Cluster of Stars,Simbad
NGC 1855,77.3337500,-68.8480000,3.6.4,Cluster of Stars,Simbad
NGC 1856,77.3762083,-69.1291889,3.6.4,Cluster of Stars,Simbad
NGC 1857,80.0140000,39.2900000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1858,77.4837083,-68.9017222,3.6.4,Cluster of Stars,Simbad
NGC 1859,77.8792000,-65.2500000,3.6.4,Cluster of Stars,Simbad
NGC 1860,77.6714167,-68.7535028,3.6.4,Cluster of Stars,Simbad
NGC 1861,77.5921250,-70.7786722,3.6.4,Cluster of Stars,Simbad
NGC 1862,78.1417000,-66.1550000,3.6.4,Cluster of Stars,Simbad
NGC 1863,77.9176667,-68.7266694,3.6.4,Cluster of Stars,Simbad
NGC 1864,78.1682083,-67.6225056,3.6.4,Cluster of Stars,Simbad
NGC 1865,78.1039167,-68.7720028,3.6.4,Cluster of Stars,Simbad
NGC 1866,78.4121667,-65.4646528,3.6.4.2,Globular Cluster,Simbad
NGC 1867,78.4195833,-66.2938000,3.6.4,Cluster of Stars,Simbad
NGC 1868,78.6500000,-63.9550000,3.6.4.2,Globular Cluster,Simbad
NGC 1869,78.4708000,-67.3800000,3.6.4,Association of Stars,Simbad
NGC 1870,78.2953333,-69.1174722,3.6.4,Cluster of Stars,Simbad
NGC 1871,78.4708000,-67.4517000,3.6.4,Association of Stars,Simbad
NGC 1872,78.2985417,-69.3125000,3.6.4,Cluster of Stars,Simbad
NGC 1873,78.4750000,-67.3350000,3.6.4,Association of Stars,Simbad
NGC 1874,78.3050833,-69.3750833,3.6.4,Cluster of Stars,Simbad
NGC 1875,80.4405750,6.6889444,5.1.7;5.1.4,Elliptical Galaxy,Simbad
NGC 1876,78.3293333,-69.3623611,3.6.4,Cluster of Stars,Simbad
NGC 1877,78.3406250,-69.3771944,3.6.4,Cluster of Stars,Simbad
NGC 1878,78.2042000,-70.4717000,3.6.4,Cluster of Stars,Simbad
NGC 1879,79.9512500,-32.1422194,5,Galaxy,Simbad
NGC 1880,78.4120833,-69.3838889,3.6.4,Cluster of Stars,Simbad
NGC 1881,78.4055417,-69.3009167,3.6.4,Cluster of Stars,Simbad
NGC 1882,78.8917500,-66.1283722,3.6.4,Cluster of Stars,Simbad
NGC 1883,81.4750000,46.4900000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1884,78.9857000,-66.1734000,0,Lost object of unknown nature,cseligman
NGC 1885,78.7789583,-68.9787222,3.6.4,Cluster of Stars,Simbad
NGC 1886,80.4506083,-23.8101972,5;5.1.1,Spiral Galaxy,Simbad
NGC 1887,79.0210417,-66.3199611,3.6.4,Cluster of Stars,Simbad
NGC 1888,80.6435083,-11.4995389,5.1.7;5.1.1,Spiral Galaxy,Simbad
NGC 1889,80.6470792,-11.4966694,5;5.1.4,Elliptical Galaxy,Simbad
NGC 1890,78.4430417,-72.0799722,3.6.4,Cluster of Stars,Simbad
NGC 1891,80.3542000,-35.7417000,3.6.4,Cluster of Stars,Simbad
NGC 1892,79.2874917,-64.9598083,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1893,80.6833000,33.4117000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1894,78.9667083,-69.4689444,3.6.4,Cluster of Stars,Simbad
NGC 1895,79.2225000,-67.3308306,3.6.4,Cluster of Stars,Simbad
NGC 1896,81.4250000,29.3000000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1897,79.3807083,-67.4505389,3.6.4,Cluster of Stars,Simbad
NGC 1898,79.1718333,-69.6567778,3.6.4,Association of Stars,Simbad
NGC 1899,79.4500000,-67.9013889,4.2.1.1,HII (ionized) region,Simbad
NGC 1900,79.7875000,-63.0233000,3.6.4,Cluster of Stars,Simbad
NGC 1901,79.5458000,-68.4500000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1902,79.5774583,-66.6274583,3.6.4,Cluster of Stars,Simbad
NGC 1903,79.3445833,-69.3356028,3.6.4,Cluster of Stars,Simbad
NGC 1904,81.0441250,-24.5242500,3.6.4.2,Globular Cluster,Simbad
NGC 1905,79.5945833,-67.2776028,3.6.4,Cluster of Stars,Simbad
NGC 1906,81.1962208,-15.9433028,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 1907,82.0208000,35.3250000,3.6.4,Cluster of Stars,Simbad
NGC 1908,81.4893000,-2.5290000,0,Lost object of unknown nature,cseligman
NGC 1909,75.5000000,-7.9000000,4.2.2,Reflection Nebula,Simbad
NGC 1910,79.6770833,-69.2366944,3.6.4,Association of Stars,Simbad
NGC 1911,79.8569167,-66.6829389,3.6.4,Cluster of Stars,Simbad
NGC 1912,82.1792000,35.8550000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1913,79.5780833,-69.5374444,3.6.4,Cluster of Stars,Simbad
NGC 1914,79.4042000,-71.2500000,3.6.4,Association of Stars,Simbad
NGC 1915,79.8636250,-66.7399667,3.6.4,Cluster of Stars,Simbad
NGC 1916,79.6577917,-69.4063611,3.6.4,Cluster of Stars,Simbad
NGC 1917,79.7640417,-69.0017611,3.6.4,Cluster of Stars,Simbad
NGC 1918,79.7687500,-69.6488889,4.1.4,SuperNova Remnant,Simbad
NGC 1919,80.0375000,-66.8733000,3.6.4,Cluster of Stars,Simbad
NGC 1920,80.1375000,-66.7783000,3.6.4,Cluster of Stars,Simbad
NGC 1921,79.8333000,-69.7883000,4.2.1,Emission nebula,cseligman
NGC 1922,79.9572500,-69.5010000,3.6.4,Cluster of Stars,Simbad
NGC 1923,80.3875000,-65.4883000,3.6.4,Association of Stars,Simbad
NGC 1924,82.0082083,-5.3106472,5,Emission-line galaxy,Simbad
NGC 1925,80.4250000,-65.8400000,3.6.4,Association of Stars,Simbad
NGC 1926,80.1474625,-69.5252472,3.6.4,Cluster of Stars,Simbad
NGC 1927,82.1751000,-8.3807000,0,Lost object of unknown nature,cseligman
NGC 1928,80.2330833,-69.4763778,3.6.4,Cluster of Stars,Simbad
NGC 1929,80.4450000,-67.8950000,3.6.4,Cluster of Stars,Simbad
NGC 1930,81.4867167,-46.7284361,5;5.1.4,Elliptical Galaxy,Simbad
NGC 1931,82.8450000,34.2330000,4.2.1,Bright Nebula,Simbad
NGC 1932,80.6132083,-66.1517778,3.6.4,Cluster of Stars,Simbad
NGC 1933,80.5714542,-66.1541889,3,Star,Simbad
NGC 1934,80.4583000,-67.9033000,4.1.1,Insterstellar matter,Simbad
NGC 1935,80.4917000,-67.9550000,3.6.4,Association of Stars,Simbad
NGC 1936,80.5522167,-67.9755333,4.2.1,Emission Object,Simbad
NGC 1937,80.6208000,-67.8950000,3.6.4,Association of Stars,Simbad
NGC 1938,80.3514167,-69.9421389,3.6.4,Cluster of Stars,Simbad
NGC 1939,80.3617500,-69.9497222,3.6.4,Cluster of Stars,Simbad
NGC 1940,80.6843750,-67.1864000,3.6.4,Cluster of Stars,Simbad
NGC 1941,80.7830417,-66.3790500,3.6.4,Cluster of Stars,Simbad
NGC 1942,81.1792000,-63.9400000,3.6.4,Cluster of Stars,Simbad
NGC 1943,80.6262917,-70.1552111,3.6.4,Cluster of Stars,Simbad
NGC 1944,80.4894417,-72.4940556,3.6.4,Cluster of Stars,Simbad
NGC 1945,81.2541708,-66.4233306,4.2.1,Emission Object,Simbad
NGC 1946,81.3142500,-66.3942944,3.6.4,Cluster of Stars,Simbad
NGC 1947,81.6983875,-63.7600222,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 1948,81.0833333,-66.4033333,3.6.4,Association of Stars,Simbad
NGC 1949,81.2425000,-68.4780611,3.6.4,Cluster of Stars,Simbad
NGC 1950,81.1376667,-69.9011944,3.6.4,Cluster of Stars,Simbad
NGC 1951,81.5225417,-66.5976556,3.6.4,Cluster of Stars,Simbad
NGC 1952,83.6330833,22.0145000,4.1.4,SuperNova Remnant,Simbad
NGC 1953,81.3625000,-68.8383000,3.6.4,Cluster of Stars,Simbad
NGC 1954,83.2014625,-14.0628000,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1955,81.5500000,-67.4983000,3.6.4,Association of Stars,Simbad
NGC 1956,79.8970250,-77.7287278,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1957,83.2301250,-14.1329917,5.5.2,Galaxy in Group of Galaxies,Simbad
NGC 1958,81.3787083,-69.8369444,3.6.4,Cluster of Stars,Simbad
NGC 1959,81.3988333,-69.9265556,3.6.4,Cluster of Stars,Simbad
NGC 1960,84.0750000,34.1400000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1961,85.5198958,69.3783806,5.3.2.4;5.1.1,Spiral Galaxy,Simbad
NGC 1962,81.7500000,-68.8500000,4.1.1,Insterstellar matter,Simbad
NGC 1963,83.0708000,-36.3917000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1964,83.3406500,-21.9457694,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 1965,81.6208000,-68.8067000,4.1.1,Insterstellar matter,Simbad
NGC 1966,81.6266708,-68.8172194,3.6.4,Cluster of Stars,Simbad
NGC 1967,81.6792000,-69.1017000,3.6.4,Cluster of Stars,Simbad
NGC 1968,81.8458000,-67.4717000,3.6.4,Association of Stars,Simbad
NGC 1969,81.6421250,-69.8407500,3.6.4,Cluster of Stars,Simbad
NGC 1970,81.7042000,-68.8283000,4.1.1,Insterstellar matter,Simbad
NGC 1971,81.6899167,-69.8508889,3.6.4,Cluster of Stars,Simbad
NGC 1972,81.7033333,-69.8381111,3.6.4,Cluster of Stars,Simbad
NGC 1973,83.7700000,-4.7318611,4.2.1,Bright Nebula,Simbad
NGC 1974,81.9958333,-67.4241389,3.6.4,Cluster of Stars,Simbad
NGC 1975,83.8254208,-4.6847194,4.2.1,Bright Nebula,Simbad
NGC 1976,83.8220792,-5.3911111,4.2.1.1,HII (ionized) region,Simbad
NGC 1977,83.8166708,-4.8208306,4.2.1,Bright Nebula,Simbad
NGC 1978,82.1888750,-66.2366778,3.6.4.2,Globular Cluster,Simbad
NGC 1979,83.5046708,-23.3100444,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 1980,83.8500000,-5.9150000,3.6.4,Cluster of Stars,Simbad
NGC 1981,83.7875000,-4.4317000,3.6.4,Cluster of Stars,Simbad
NGC 1982,83.8792000,-5.2700000,4.2.1.1,HII (ionized) region,Simbad
NGC 1983,81.9333000,-68.9850000,3.6.4,Cluster of Stars,Simbad
NGC 1984,81.9167000,-69.1350000,3.6.4,Cluster of Stars,Simbad
NGC 1985,84.4492583,31.9900000,4.2.2,Reflection Nebula,Simbad
NGC 1986,81.9070000,-69.9705278,3.6.4,Cluster of Stars,Simbad
NGC 1987,81.8205833,-70.7372667,3.6.4.2,Globular Cluster,Simbad
NGC 1988,84.3742000,21.2308000,3,*,NED*
NGC 1989,83.5976333,-30.8009861,5;5.5.3;5.1.1,Spiral Galaxy,Simbad
NGC 1990,83.7500000,-1.7000000,4.2.1.1,HII (ionized) region,Simbad
NGC 1991,82.2383000,-67.4312000,3.6.4.1,Open cluster,cseligman
NGC 1992,83.6323833,-30.8970194,5;5.1.1,Spiral Galaxy,Simbad
NGC 1993,83.8565667,-17.8152389,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 1994,82.0945792,-69.1422194,3.6.4,Cluster of Stars,Simbad
NGC 1995,83.3157208,-48.6956139,5;5.1.3,Lenticular Galaxy,Simbad
NGC 1996,84.5000000,25.7670000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 1997,82.6417000,-63.2033000,3.6.4,Cluster of Stars,Simbad
NGC 1998,83.3157208,-48.6956139,5;5.1.3,Lenticular Galaxy,Simbad
NGC 1999,84.1042000,-6.7117000,4.2.2,Reflection Nebula,Simbad
NGC 2000,81.8752500,-71.8797528,3.6.4,Cluster of Stars,Simbad
NGC 2001,82.2917000,-68.7467000,3.6.4,Association of Stars,Simbad
NGC 2002,82.5875000,-66.8850556,3.6.4,Cluster of Stars,Simbad
NGC 2003,82.7293333,-66.4661028,3.6.4,Cluster of Stars,Simbad
NGC 2004,82.6667000,-67.2867000,3.6.4,Cluster of Stars,Simbad
NGC 2005,82.5354167,-69.7540056,3.6.4,Cluster of Stars,Simbad
NGC 2006,82.8292000,-66.9733000,3.6.4,Cluster of Stars,Simbad
NGC 2007,83.7465500,-50.9217222,5;5.1.1,Spiral Galaxy,Simbad
NGC 2008,83.7658833,-50.9667361,5;5.1.1,Spiral Galaxy,Simbad
NGC 2009,82.7458000,-69.1850000,3.6.4,Cluster of Stars,Simbad
NGC 2010,82.6426250,-70.8189528,3.6.4,Cluster of Stars,Simbad
NGC 2011,83.0792000,-67.5217000,3.6.4,Cluster of Stars,Simbad
NGC 2012,80.6470583,-79.8517750,5;5.1.4,Elliptical Galaxy,Simbad
NGC 2013,86.0995000,55.7934000,3.6.4.1,Open cluster,cseligman
NGC 2014,83.1000000,-67.6883000,3.6.4,Association of Stars,Simbad
NGC 2015,83.0345833,-69.2425694,3.6.4,Association of Stars,Simbad
NGC 2016,82.8960417,-69.9453889,3.6.4,Cluster of Stars,Simbad
NGC 2017,84.8208000,-17.8467000,3.6.4,Cluster of Stars,Simbad
NGC 2018,82.8500000,-71.0733333,3.6.4,Association of Stars,Simbad
NGC 2019,82.9853333,-70.1590278,3.6.4,Cluster of Stars,Simbad
NGC 2020,83.2941708,-67.7125000,4.2.1,Emission Object,Simbad
NGC 2021,83.3757083,-67.4550861,3.6.4,Association of Stars,Simbad
NGC 2022,85.5258333,9.0861944,4.1.3,Planetary Nebula,Simbad
NGC 2023,85.4078792,-2.2645111,4.2.2,Reflection Nebula,Simbad
NGC 2024,85.4292000,-1.8417000,3.6.4,Cluster of Stars,Simbad
NGC 2025,83.1382083,-71.7175528,3.6.4,Cluster of Stars,Simbad
NGC 2026,85.7750000,20.1450000,3.6.4.1,Open cluster,cseligman
NGC 2027,83.7513750,-66.9182667,3.6.4,Cluster of Stars,Simbad
NGC 2028,83.4519167,-69.9510000,3.6.4,Cluster of Stars,Simbad
NGC 2029,83.8145792,-67.5677806,4.1.4,SuperNova Remnant,Simbad
NGC 2030,83.8900000,-66.0405611,4.2.1.1,HII (ionized) region,Simbad
NGC 2031,83.4226667,-70.9873722,3.6.4.2,Globular Cluster,Simbad
NGC 2032,83.8483292,-67.5836111,4.2.1.1,HII (ionized) region,Simbad
NGC 2033,83.6792000,-69.7367000,3.6.4,Association of Stars,Simbad
NGC 2034,83.9542000,-66.8900000,3.6.4,Association of Stars,Simbad
NGC 2035,83.8833000,-67.5850000,4.1.1,Insterstellar matter,Simbad
NGC 2036,83.6408750,-70.0660111,3.6.4,Cluster of Stars,Simbad
NGC 2037,83.7417000,-69.7300000,4.1.1,Insterstellar matter,Simbad
NGC 2038,83.6792917,-70.5641556,3.6.4,Cluster of Stars,Simbad
NGC 2039,86.0165000,8.6268000,3.6,Group of stars,cseligman
NGC 2040,84.0029208,-67.5825000,3.6.4,Association of Stars,Simbad
NGC 2041,84.1170417,-66.9915917,3.6.4,Cluster of Stars,Simbad
NGC 2042,84.0417000,-68.9117000,3.6.4,Cluster of Stars,Simbad
NGC 2043,83.9860833,-70.0730833,3.6.4,Cluster of Stars,Simbad
NGC 2044,84.0458000,-69.1967000,3.6.4,Association of Stars,Simbad
NGC 2045,86.2500000,12.9000000,4.1.1,Insterstellar matter,Simbad
NGC 2046,83.9091667,-70.2414472,3.6.4,Cluster of Stars,Simbad
NGC 2047,83.9767500,-70.1913611,3.6.4,Cluster of Stars,Simbad
NGC 2048,83.9792000,-69.6500000,4.2.1,Emission Object,Simbad
NGC 2049,85.8137833,-30.0783500,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 2050,84.1500000,-69.4033000,3.6.4,Association of Stars,Simbad
NGC 2051,84.0343333,-71.0118167,3.6.4,Cluster of Stars,Simbad
NGC 2052,84.3196000,-69.7529000,4.2.1,Emission Nebula,cseligman
NGC 2053,84.4233333,-67.4136667,3.6.4,Cluster of Stars,Simbad
NGC 2054,86.1957000,-10.0737000,3.6,Four stars,cseligman
NGC 2055,84.1833000,-69.4983000,3.6.4,Association of Stars,Simbad
NGC 2056,84.1417000,-70.6717000,3.6.4,Cluster of Stars,Simbad
NGC 2057,84.2285000,-70.2680278,3.6.4,Cluster of Stars,Simbad
NGC 2058,84.2271667,-70.1621389,3.6.4,Cluster of Stars,Simbad
NGC 2059,84.2563750,-70.1268611,3.6.4,Cluster of Stars,Simbad
NGC 2060,84.4648333,-69.1732500,4.1.4,SuperNova Remnant,Simbad
NGC 2061,85.6750000,-34.0100000,3.6.4,Cluster of Stars,Simbad
NGC 2062,85.0083000,-66.8767000,3.6.4,Cluster of Stars,Simbad
NGC 2063,86.67083,8.7833,7.1.2,Asterism,DSObrowser
NGC 2064,86.6500000,0.0567000,4.2.2,Reflection Nebula,Simbad
NGC 2065,84.4075417,-70.2323333,3.6.4,Cluster of Stars,Simbad
NGC 2066,84.4265000,-70.1650000,3.6.4,Cluster of Stars,Simbad
NGC 2067,86.6500000,0.1170000,4.2.2,Reflection Nebula,Simbad
NGC 2068,86.6947708,0.0140000,4.2.2,Reflection Nebula,Simbad
NGC 2069,84.6750000,-69.0083000,4.1.1,Insterstellar matter,Simbad
NGC 2070,84.6750000,-69.1000000,3.6.4,Cluster of Stars,Simbad
NGC 2071,86.7910000,0.3000000,4.2.2,Reflection Nebula,Simbad
NGC 2072,84.5990000,-70.2311639,3.6.4,Cluster of Stars,Simbad
NGC 2073,86.4747000,-21.9991139,5;5.1.3,Lenticular Galaxy,Simbad
NGC 2074,84.7625000,-69.4983000,3.6.4,Association of Stars,Simbad
NGC 2075,84.5885833,-70.6850278,3.6.4,Cluster of Stars,Simbad
NGC 2076,86.6977708,-16.7826306,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 2077,84.8937500,-69.6552806,3.6.4,Cluster of Stars,Simbad
NGC 2078,84.9750000,-69.7483000,4.2.1,Emission Object,Simbad
NGC 2079,84.9792000,-69.7500000,3.6.4,Cluster of Stars,Simbad
NGC 2080,84.9291708,-69.6472194,3.6.4,Cluster of Stars,Simbad
NGC 2081,84.7883292,-69.5036111,4.2.1.1,HII (ionized) region,Simbad
NGC 2082,85.4630125,-64.3011028,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 2083,84.9958000,-69.7350000,3.6.4,Cluster of Stars,Simbad
NGC 2084,85.0708000,-69.7567000,3.6.4,Cluster of Stars,Simbad
NGC 2085,85.0358292,-69.6722194,3.6.4,Cluster of Stars,Simbad
NGC 2086,85.0995792,-69.6713889,3.6.4,Cluster of Stars,Simbad
NGC 2087,86.0666750,-55.5323639,5,Galaxy,Simbad
NGC 2088,85.2500833,-68.4653167,3.6.4,Cluster of Stars,Simbad
NGC 2089,86.9642792,-17.6023417,5.5.2;5.1.3,Lenticular Galaxy,Simbad
NGC 2090,86.7578750,-34.2506000,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 2091,85.2475417,-69.4371639,3.6.4,Cluster of Stars,Simbad
NGC 2092,85.3441667,-69.2253583,3.6.4,Cluster of Stars,Simbad
NGC 2093,85.4542000,-68.9217000,3.6.4,Association of Stars,Simbad
NGC 2094,85.5500000,-68.9167000,3.6.4,Cluster of Stars,Simbad
NGC 2095,85.7138750,-67.3216639,3.6.4,Cluster of Stars,Simbad
NGC 2096,85.5685833,-68.4597028,3.6.4,Cluster of Stars,Simbad
NGC 2097,86.0667000,-62.7850000,3.6.4,Cluster of Stars,Simbad
NGC 2098,85.6234583,-68.2739861,3.6.4,Cluster of Stars,Simbad
NGC 2099,88.0750000,32.5533000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 2100,85.5333000,-69.2117000,3.6.4,Cluster of Stars,Simbad
NGC 2101,86.5962500,-52.0891694,5;5.1.6,Irregular Galaxy,Simbad
NGC 2102,85.5833000,-69.4883000,3.6.4,Cluster of Stars,Simbad
NGC 2103,85.4087500,-71.3302806,3.6.4,Association of Stars,Simbad
NGC 2104,86.7698833,-51.5529472,5;5.1.1,Spiral Galaxy,Simbad
NGC 2105,86.0809167,-66.9172139,3.6.4,Cluster of Stars,Simbad
NGC 2106,87.6942458,-21.5673167,5.5.2;5.1.2,Barred Galaxy,Simbad
NGC 2107,85.8011250,-70.6407861,3.6.4,Cluster of Stars,Simbad
NGC 2108,85.9844583,-69.1817694,3.6.4.2,Globular Cluster,Simbad
NGC 2109,86.0965833,-68.5470361,3.6.4,Cluster of Stars,Simbad
NGC 2110,88.0475167,-7.4561750,5.3.2.2;5.1.3,Lenticular Galaxy,Simbad
NGC 2111,86.1377917,-70.9931389,3.6.4,Cluster of Stars,Simbad
NGC 2112,88.4375000,0.4100000,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 2113,86.3417000,-69.7733000,3.6.4,Cluster of Stars,Simbad
NGC 2114,86.5515000,-68.0480278,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 2115,87.8326333,-50.5828444,5,Galaxy,Simbad
NGC 2116,86.8130833,-68.5079806,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 2117,86.9475833,-67.4514611,3.6.4.1,Open (galactic) Cluster,Simbad
NGC 2118,86.9137917,-69.1313639,3.6.4,Cluster of Stars,Simbad
NGC 2119,89.3623125,11.9492333,5;5.1.4,Elliptical Galaxy,Simbad
NGC 2120,87.6417000,-63.6750000,3.6.4,Cluster of Stars,Simbad
NGC 2121,87.0549583,-71.4811111,3.6.4,Cluster of Stars,Simbad
NGC 2122,87.2292000,-70.0683000,3.6.4,Association of Stars,Simbad
NGC 2123,87.9307500,-65.3206167,3.6.4,Cluster of Stars,Simbad
NGC 2124,89.4675458,-20.0846583,5.5.2;5.1.1,Spiral Galaxy,Simbad
NGC 2125,87.7189167,-69.4781417,3.6.4,Cluster of Stars,Simbad
