Name,RA,Dec,AVM code,AVM description,Source (S=S, N=N)
106,6.1823042,-5.1488083,5.5.2,GiG,
107,6.4257708,-8.2827972,5,G,
108,6.4987958,29.2120667,5;5.1.2,SB,
109,6.5609833,21.8074000,5.5.1;5.1.2,SB,
110,6.8550000,71.4220000,3.6.4.1,OpC,
111,6.6600292,-2.6249611,0,Nothing,
112,6.7029875,31.7033250,5.5.2,GiG,
113,6.7276083,-2.5008389,5.5.2,GiG,
114,6.7425625,-1.7861167,5.5.2;5.1.2,SB,
115,6.6928250,-33.6771000,5;5.1.1,S..,
116,6.7717542,-7.6683083,5.5.2,GiG,
117,6.7960875,1.3337306,5.5.2,GiG,
118,6.8175083,-1.7802083,5.3.2.2,Sy2,
119,6.7400708,-56.9780028,5.5.2;5.1.3,S0,
120,6.8752958,-1.5135389,5.5.2;5.1.3,S0,
121,6.7041667,-71.5361111,3.6.4.2,GlC,
122,6.9097250,-1.6404611,3,*,N
123,6.9166083,-1.6276306,3,*,N
124,6.9681792,-1.8101361,5.5.2;5.1.1,S..,S
125,7.2091917,2.8389056,5.5.2;5.1.3,S0,S
126,7.2837292,2.8111306,5.5.2,GiG,S
127,7.3016667,2.8726556,5.5.2;5.1.1,S..,S
128,7.3127917,2.8640472,5.5.2;5.1.3,S0,S
129,7.5000000,60.2183333,3.6.4.1,OpC,S
130,7.3272542,2.8704361,5.5.2,GiG,S
131,7.4104958,-33.2597194,5.5.2;5.1.1,S..,S
132,7.5446583,2.0934750,5.5.2;5.1.2,SB,S
133,7.8000000,63.3666667,3.6.4.1,OpC,S
134,7.5912208,-33.2453500,5;5.1.1,S..,S
135,7.9414125,-13.3375694,5,EmG,S
136,7.9000000,61.5100000,3.6.4.1,OpC,S
137,7.7421000,10.2084528,5.5.2;5.1.3,S0,S
138,7.7467500,5.1597278,5;5.1.1,S..,S
139,7.7767458,5.0787333,5,G,S
140,7.8353708,30.7924889,5.5.2;5.1.1,S..,S
141,7.8224958,5.1798389,5,G,S
142,7.7836667,-22.6186889,5.5.2;5.1.1,S..,S
143,7.8150917,-22.5599194,5.5.2;5.1.1,S..,S
144,7.8361375,-22.6457583,5;5.1.1,S..,S
145,7.9405417,-5.1526528,5.1.7;5.1.2,SB,S
146,8.2750000,63.3000000,3.6.4.1,OpC,S
147,8.3005000,48.5087389,5.5.2;5.2.2,d,S
148,8.5645542,-31.7859917,5.5.2;5.1.3,S0,S
149,8.4593542,30.7234833,5;5.1.3,S0,S
150,8.5645042,-27.8036583,5;5.1.2,SB,S
151,8.5114958,-9.7053972,5,rG,S
152,8.2344167,-73.1157222,3.6.4.1,OpC,S
153,8.5114958,-9.7053972,5,rG,S
154,8.5811208,-12.6562500,5.5.2,GiG,S
155,8.6671375,-10.7664861,5.5.2,GiG,S
156,8.6492542,-8.3400694,3.6.3,**,N
157,8.6947958,-8.3964889,5,EmG,S
158,8.7733292,-8.3457111,3.6.3,**,N
159,8.6479917,-55.7899056,5.5.2;5.1.1,S..,S
160,9.0168667,23.9578806,5;5.1.1,S..,S
161,8.8914208,-2.8487556,5.5.2,GiG,S
162,8.9913292,24.0370861,5;5.1.1,S..,S
163,8.9993333,-10.1217556,5.5.2,GiG,S
164,9.1371667,2.7497694,5,G,S
165,9.1204250,-10.1062111,5,rG,S
166,8.9532958,-13.6106472,5.3.2.2,Sy2,S
167,8.8462500,-23.3750194,5;5.1.1,S..,S
168,9.1609958,-22.5935361,5;5.1.1,S..,S
169,9.2150458,23.9909361,5.3.2.2;5.1.1,S..,S
170,9.1908958,1.8864417,5.5.2,GiG,S
171,9.3396708,-19.9342472,5;5.1.2,SB,S
172,9.3066375,-22.5870083,5,G,S
173,9.3019625,1.9422528,5.5.2;5.1.1,S..,S
174,9.2455208,-29.4778722,5;5.1.2,SB,S
175,9.3396708,-19.9342472,5;5.1.2,SB,S
176,8.9945000,-73.1656944,3.6.4,Cl*,S
177,9.3930625,-22.5492500,5;5.1.1,S..,S
178,9.7849667,-14.1728472,5.5.2;5.1.2,SB,S
179,9.4429042,-17.8494056,5;5.1.4,E,S
