Lower limit (km),Upper limit (km),Feature type,Name,Temperature (K),Lower pressure (mbar),Upper pressure (mbar),Colour
-250,45,Layer,Troposphere,300-100,40000,80,
45,999,Layer,Stratosphere,120-250,80,1,
999,999,Layer,Thermosphere,250-500,1,1.00E-004,
0,0,Boundary,Tropopause,,80,80,
999,999,Boundary,Stratopause,,0.001,0.001,
-250,-250,Cloud layer,Water ice,,6000,20000,Cyan
-190,-190,Cloud layer,Ammonium Hydrosulphide ice,,2300,5000,Brown
-110,-110,Cloud layer,Ammonia ice,,1000,2000,Grey
-10,10,Cloud layer,Haze layer,,500,100,Orange
