Lower limit (km),Upper limit (km),Feature type,Name,Temperature (K),Pressure (bar),Colour
0,20,Layer,Troposphere,250-150,,
20,30,Layer,Stratosphere,240-300,,
30,300,Layer,Mesosphere,300-300,,
0,0,Boundary,Surface,,,
20,20,Boundary,Tropopause,,,
110,110,Boundary,Stratopause,,,
10,20,Cloud layer,Haze,,,Brown
30,40,Cloud layer,Haze,,,Brown
70,120,Cloud layer,Haze,,,Brown
170,200,Cloud layer,Haze,,,Brown
