Date,Class,Value (W/m*2)
1984-04-21T20:09,X1.7,0.000170
1984-04-24T02:59,X1,0.000100
1984-04-24T23:56,X13,0.001300
1984-05-19T21:51,X4.1,0.000410
1984-05-20T22:18,X10.1,0.001010
1984-05-21T19:36,X2.7,0.000270
1985-01-21T23:52,X4.7,0.000470
1985-04-24T09:14,X1.9,0.000190
1986-02-04T07:35,X3,0.000300
1986-02-06T06:18,X1.7,0.000170
1988-01-02T21:11,X1.4,0.000140
1988-04-14T19:34,X1.2,0.000120
1988-06-23T08:56,X1.6,0.000160
1988-06-24T04:18,X1.3,0.000130
1988-06-24T16:03,X2.4,0.000240
1988-06-24T16:44,X5.6,0.000560
1988-10-03T14:53,X3.2,0.000320
1988-10-03T23:22,X1.1,0.000110
1988-10-12T04:57,X2.5,0.000250
1988-12-15T04:46,X1.1,0.000110
1988-12-16T08:38,X4.7,0.000470
1988-12-18T16:51,X1.1,0.000110
1988-12-30T17:25,X1.4,0.000140
1989-01-07T04:12,X1.1,0.000110
1989-01-10T20:23,X1.4,0.000140
1989-01-13T08:29,X2.3,0.000230
1989-01-14T02:54,X2.1,0.000210
1989-01-14T21:45,X1.1,0.000110
1989-01-18T07:02,X1.4,0.000140
1989-01-27T19:08,X1.1,0.000110
1989-02-04T09:50,X1.5,0.000150
1989-02-09T12:56,X3.9,0.000390
1989-02-10T04:07,X1.8,0.000180
1989-03-06T13:54,X15,0.001500
1989-03-07T14:47,X1.8,0.000180
1989-03-09T15:15,X4,0.000400
1989-03-10T18:48,X4.5,0.000450
1989-03-11T15:35,X1.2,0.000120
1989-03-11T19:33,X1.3,0.000130
1989-03-13T02:59,X1.2,0.000120
1989-03-14T16:46,X1.1,0.000110
1989-03-16T15:24,X3.6,0.000360
1989-03-16T20:35,X1.4,0.000140
1989-03-17T17:29,X6.5,0.000650
1989-03-23T19:25,X1.5,0.000150
1989-04-09T00:44,X3.5,0.000350
1989-05-03T03:26,X2.3,0.000230
1989-05-05T07:23,X2.4,0.000240
1989-06-02T15:57,X1.3,0.000130
1989-06-03T18:29,X1,0.000100
1989-06-05T19:26,X1,0.000100
1989-06-15T18:13,X4.1,0.000410
1989-06-16T04:19,X3,0.000300
1989-06-20T14:48,X1.6,0.000160
1989-07-25T08:39,X2.6,0.000260
1989-08-12T13:57,X2.6,0.000260
1989-08-14T00:31,X3.5,0.000350
1989-08-15T01:59,X1,0.000100
1989-08-16T01:08,X20,0.002000
1989-08-17T01:32,X2.9,0.000290
1989-09-01T08:10,X2.3,0.000230
1989-09-03T14:28,X1.2,0.000120
1989-09-04T08:57,X1.1,0.000110
1989-09-09T09:10,X1.4,0.000140
1989-09-09T19:28,X1.3,0.000130
1989-09-29T10:47,X9.8,0.000980
1989-10-19T12:29,X13,0.001300
1989-10-22T17:08,X2.9,0.000290
1989-10-23T12:35,X1.5,0.000150
1989-10-24T17:36,X5.7,0.000570
1989-10-27T19:01,X1,0.000100
1989-11-12T06:21,X1.5,0.000150
1989-11-15T06:38,X3.2,0.000320
1989-11-15T19:18,X1.8,0.000180
1989-11-16T13:08,X1.1,0.000110
1989-11-19T06:19,X1.1,0.000110
