P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
"WASP-95 b","3.0000000","457.67232","-88.991841","88.991841","13.788300","-1.0089000","1.0089000","2014","2018-04-26","2.1846700","-1.0000000e-06","1.0000000e-06","","","","0.0000000","","","88.400000","-1.6500000","1.6500000","","","","","","","","","","","","","","","Transit","","","","","WASP-95","337.45719","-48.003086","","138.09000","-0.79000000","0.79000000","0.14000000","","","1.4600000","-0.42000000","0.42000000","1.2300000","-0.090000000","0.090000000","G2","","","","5830.0000","-140.00000","140.00000","","","4.3600000",",","5.7613195","33.192803","2.4073165","0.17459125","0.0025394336","0.037372406","0.037372406","0.037372406","0.037372407","1121.1687","1121.1687","1121.1687","1474.2212","1474.2212","1474.2212","Jovian","1.2300000","G","22.497147","22 29 49.7296","-48 00 11.1096","1.5659327","0.93617203","2.2025983","1.1857762","2.0882634","1.2538328","2.0882634","1.1446299","2.0882634","3.3787053","2.5165141","0.52336187","0","0","Hot","0","0.066125034","Grus","Gru","Crane","13.788300","457.67232","0.037372406"
"WASP-96 b","3.0000000","152.55744","-9.5348401","9.5348401","13.452000","-0.67260000","0.67260000","2014","2014-05-14","3.4252602","-2.7000000e-06","2.7000000e-06","0.045300000","-0.0013000000","0.0013000000","0.0000000","","","85.600000","-0.20000000","0.20000000","","","","","","","0.12700000","0.71000000","-0.019000000","0.019000000","","","","","Transit","","","","","WASP-96","1.0463510","-47.360626","","356.02000","-4.7400000","4.7400000","0.14000000","-0.19000000","0.19000000","1.0600000","-0.090000000","0.090000000","1.0500000","-0.050000000","0.050000000","G8","8.0000000","-8.0000000","26.000000","5540.0000","-140.00000","140.00000","","","4.4200000",",","3.3676215","11.340874","0.84306231","0.062671893","0.0023746116","0.045300000","0.045300000","0.045300000","0.045300001","453.42963","453.42963","453.42963","1175.6347","1175.6347","1175.6347","Jovian","1.0500000","G","0.069756737","00 04 11.1243","-47 21 38.2536","0.93047842","0.73415262","1.7414707","0.92990123","1.6510722","0.98353664","1.6510722","0.89767063","1.6510722","2.6044554","1.3742830","0.51583221","0","0","Hot","0","0.068981653","Phoenix","Phe","Phoenix","13.452000","152.55744","0.045300000"
"WASP-97 b","3.0000000","432.24608","-60.387321","60.387321","12.779400","-0.67260000","0.67260000","2014","2018-04-26","2.0727600","-1.0000000e-06","1.0000000e-06","","","","0.0000000","","","88.000000","-1.1500000","1.1500000","","","","","","","","","","","","","","","Transit","","","","","WASP-97","24.604338","-55.772083","","151.73000","-0.51000000","0.51000000","0.23000000","","","1.1800000","-0.24000000","0.24000000","1.0800000","-0.060000000","0.060000000","G5","","","","5640.0000","-100.00000","100.00000","","","4.4500000",",","5.8158112","33.823660","2.6467330","0.20710933","0.0024056796","0.033612661","0.033612661","0.033612661","0.033612662","935.93736","935.93736","935.93736","1409.1480","1409.1480","1409.1480","Jovian","1.0800000","G","1.6402893","01 38 25.0414","-55 46 19.4988","1.0574323","0.77808330","1.8401783","0.98554264","1.7446562","1.0422876","1.7446562","0.95137071","1.7446562","2.7764513","1.6912715","0.48750431","0","0","Hot","0","0.070883832","Eridanus","Eri","River","12.779400","432.24608","0.033612661"
"WASP-98 b","3.0000000","293.03742","-25.426240","25.426240","12.824240","-0.38114000","0.38114000","2014","2016-08-04","2.9626404","-4.3000000e-07","4.3000000e-07","0.037620000","-0.0010000000","0.0010000000","","","","86.380000","-0.070000000","0.070000000","","","","","","","0.13200000","","","","","","","","Transit","","","","","WASP-98","58.428794","-34.328194","","284.05000","-1.6400000","1.6400000","-0.49000000","-0.10000000","0.10000000","0.81000000","-0.060000000","0.060000000","0.74000000","-0.020000000","0.020000000","G7","2.7000000","-2.7000000","6.8000000","5473.0000","-121.00000","121.00000","","","4.6100000",",","4.7801962","22.850276","1.7818035","0.13894028","0.0026813285","0.037620000","0.037620000","0.037620000","0.037620001","311.04004","311.04004","311.04004","1069.9143","1069.9143","1069.9143","Jovian","0.74000000","G","3.8952531","03 53 42.9113","-34 19 41.4984","0.44020389","0.50690515","1.2049449","0.64206341","1.1423970","0.67914150","1.1423970","0.61981458","1.1423970","1.7913923","1.1198142","0.39350217","0","0","Hot","0","0.072960162","Eridanus","Eri","River","12.824240","293.03742","0.037620000"
"WASP-99 b","3.0000000","772.32205","-117.59636","117.59636","11.434200","-0.67260000","0.67260000","2014","2018-04-26","5.7525100","-4.0000000e-05","4.0000000e-05","","","","0.0000000","","","88.800000","-1.1000000","1.1000000","","","","","","","","","","","","","","","Transit","","","","","WASP-99","39.897688","-50.008003","","159.39000","-0.81000000","0.81000000","0.21000000","","","1.2100000","-0.28000000","0.28000000","1.6400000","-0.090000000","0.090000000","F8","","","","6150.0000","-100.00000","100.00000","","","4.3000000",",","8.2185712","67.544913","5.9072705","0.51663173","0.0057649980","0.066938545","0.066938545","0.066938545","0.066938547","769.35055","769.35055","769.35055","1341.7635","1341.7635","1341.7635","Jovian","1.6400000","F","2.6598460","02 39 35.4456","-50 00 28.8108","3.4472820","1.3622060","3.1814874","1.7253849","3.0163398","1.8239239","3.0163398","1.6654305","3.0163398","5.0130516","4.0960755","0.49160118","0","0","Hot","0","0.078318789","Eridanus","Eri","River","11.434200","772.32205","0.066938545"
"WD 0806-661 b","3.0000000","2383.7100","-476.74200","476.74200","","","","2011","2014-05-14","","","","2500.0000","","","","","","","","","","","","","","","130000.00","","","","","","","","Imaging","","","","","WD 0806-661","121.72390","-66.304650","","19.200000","-0.60000000","0.60000000","","","","0.62000000","-0.030000000","0.030000000","","","","","1.5000000","-0.30000000","0.50000000","","","","","","",",","","","","","391.75313","2500.0000","2500.0000","2500.0000","2500.0001","","","","","","","Jovian","","","8.1149272","08 06 53.7380","-66 18 16.7400","","","","","","","","","","","","0.32636527","0","0","","0","","Volans","Vol","Flying Fish","12.598676","2383.7100","2500.0000"
"WISEP J121756.91+162640.2 A b","3.0000000","6992.2161","-635.65601","635.65601","10.470140","-0.32509000","0.32509000","2012","2014-05-14","","","","8.0000000","-1.3000000","1.3000000","","","","","","","","","","","","","792.00000","","","","","","","","Imaging","","","","","WISEP J121756.91+162640.2 A","184.48712","16.444500","","10.100000","-1.4000000","1.9000000","","","","0.030000000","-0.010000000","0.010000000","0.090000000","0.0000000","0.0000000","T8.5","6.0000000","-2.0000000","2.0000000","575.00000","-25.000000","25.000000","","","5.0000000",",","25.842301","667.82450","63.783722","6.0919646","4.9246241","8.0000000","8.0000000","8.0000000","8.0000002","1.2395529e-08","1.2395529e-08","1.2395529e-08","2.6881975","2.6881975","2.6881975","Jovian","0.090000000","","12.299142","12 17 56.9123","+16 26 40.2000","7.9331386e-07","0.00073599127","0.0019905572","0.00093220465","0.0018871297","0.00098910462","0.0018871297","0.00089963195","0.0018871297","0.0024048406","8.2706365e-05","0.14983863","0","0","Cold","0","0.083028968","Coma Berenices","Com","Berenice's Hair","10.470140","6992.2161","8.0000000"
"WTS-1 b","3.0000000","1274.4903","-111.23980","111.23980","16.702900","-2.0178000","1.7936000","2012","2014-05-14","3.3520570","-1.5000000e-05","1.3000000e-05","0.047000000","-0.0010000000","0.0010000000","0.10000000","","","85.500000","-0.70000000","1.0000000","","","","","","","0.014700000","0.69000000","-0.090000000","0.050000000","","","","","Transit","","","","","WTS-1","293.99320","36.290325","16.130000","3200.0000","-400.00000","900.00000","-0.50000000","-0.50000000","0.50000000","1.2000000","-0.10000000","0.10000000","1.1500000","-0.12000000","0.10000000","F6 V","2.5500000","-1.9500000","1.9500000","6250.0000","-200.00000","200.00000","","","4.4000000",",","8.7351894","76.303533","4.5682805","0.27350224","0.0043169532","0.047235000","0.042300000","0.051700000","0.047058948","822.60450","676.43070","1010.4706","1361.8363","1299.2740","1436.4014","Jovian","1.1500000","F","19.599548","19 35 58.3717","+36 17 25.1700","1.8080249","0.98055264","2.2856552","1.2419752","2.1670094","1.3128038","2.1670094","1.1987994","2.1670094","3.6304961","4.8504092","0.44433305","0","0","Hot","0","0.056082367","Cygnus","Cyg","Swan","16.702900","1274.4903","0.047000000"
"WTS-2 b","3.0000000","355.96736","-50.852480","50.852480","15.279230","-0.68381000","0.68381000","2014","2015-04-24","1.0187068","-6.5000000e-07","6.5000000e-07","0.018550000","-0.00062000000","0.00062000000","0.0000000","","","83.550000","-0.53000000","0.53000000","","","","","","","0.018600000","0.58400000","-0.033000000","0.033000000","","","","","Transit","","","","","WTS-2","293.73280","36.815491","15.900000","1000.0000","","","0.20000000","-0.20000000","0.30000000","0.82000000","-0.080000000","0.080000000","0.75000000","-0.030000000","0.030000000","K2 V","0.60000000","","","5000.0000","-250.00000","250.00000","","","4.6000000",",","4.8267450","23.297467","1.5247802","0.099794308","0.0014049512","0.018550000","0.018550000","0.018550000","0.018550000","915.38410","915.38410","915.38410","1401.3472","1401.3472","1401.3472","Jovian","0.75000000","K","19.582187","19 34 55.8747","+36 48 55.7676","0.31498596","0.43959707","1.0628400","0.55681458","1.0076677","0.58926651","1.0076677","0.53754308","1.0076677","1.5153375","0.49889420","0.30750675","0","0","Hot","0","0.060579584","Cygnus","Cyg","Swan","15.279230","355.96736","0.018550000"
"Wolf 1061 b","3.0000000","1.9101463","-0.25108412","0.26061896","","","","2015","2017-03-30","4.8869000","-0.00050000000","0.00050000000","0.037500000","-0.0013000000","0.0012000000","0.15000000","-0.10000000","0.13000000","","","","","","","","","","8.7100000","","","","","","","","Radial Velocity","","","","","Wolf 1061","247.57524","-12.662594","10.030000","4.3100000","0.0000000","0.0000000","-0.090000000","-0.090000000","0.090000000","0.29000000","","","0.31000000","-0.030000000","0.030000000","M3.5","","","","3342.0000","-49.000000","49.000000","","","",", HIP 80824","","","","","0.00059766560","0.037921875","0.031875000","0.043125000","0.037606260","7.7253275","5.7753672","10.571520","422.93566","394.94790","459.38760","Terran","0.31000000","M","16.505017","16 30 18.0609","-12 39 45.3384","0.010740829","0.084920426","0.22208108","0.10756348","0.21054797","0.11405512","0.21054797","0.10382368","0.21054797","0.27982253","0.020439625","0.30536350","0","0","Hot","0","0.45093767","Ophiuchus","Oph","Serpent Holder","1.2074749","1.9101463","0.037500000"
