P_NAME,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_RADIUS,P_RADIUS_ERROR_MIN,P_RADIUS_ERROR_MAX,P_YEAR,P_UPDATED,P_PERIOD,P_PERIOD_ERROR_MIN,P_PERIOD_ERROR_MAX,P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_ERROR_MIN,P_SEMI_MAJOR_AXIS_ERROR_MAX,P_ECCENTRICITY,P_ECCENTRICITY_ERROR_MIN,P_ECCENTRICITY_ERROR_MAX,P_INCLINATION,P_INCLINATION_ERROR_MIN,P_INCLINATION_ERROR_MAX,P_OMEGA,P_OMEGA_ERROR_MIN,P_OMEGA_ERROR_MAX,P_TPERI,P_TPERI_ERROR_MIN,P_TPERI_ERROR_MAX,P_ANGULAR_DISTANCE,P_IMPACT_PARAMETER,P_IMPACT_PARAMETER_ERROR_MIN,P_IMPACT_PARAMETER_ERROR_MAX,P_TEMP_MEASURED,P_GEO_ALBEDO,P_GEO_ALBEDO_ERROR_MIN,P_GEO_ALBEDO_ERROR_MAX,P_DETECTION,P_DETECTION_MASS,P_DETECTION_RADIUS,P_ALT_NAMES,P_ATMOSPHERE,S_NAME,S_RA,S_DEC,S_MAG,S_DISTANCE,S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,S_METALLICITY,S_METALLICITY_ERROR_MIN,S_METALLICITY_ERROR_MAX,S_MASS,S_MASS_ERROR_MIN,S_MASS_ERROR_MAX,S_RADIUS,S_RADIUS_ERROR_MIN,S_RADIUS_ERROR_MAX,S_TYPE,S_AGE,S_AGE_ERROR_MIN,S_AGE_ERROR_MAX,S_TEMPERATURE,S_TEMPERATURE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,S_DISC,S_MAGNETIC_FIELD,S_LOG_G,S_ALT_NAMES,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_TYPE_TEMP,S_RA_H,S_RA_T,S_DEC_T,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,S_CONSTELLATION,S_CONSTELLATION_ABR,S_CONSTELLATION_ENG,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
"11 Com b","3.0000000","6165.8633","-476.74200","476.74200","","","","2007","2014-05-14","326.03000","-0.32000000","0.32000000","1.2900000","-0.050000000","0.050000000","0.23100000","-0.0050000000","0.0050000000","","","","94.800000","-1.5000000","1.5000000","2452899.6","-1.6000000","1.6000000","13.800000","","","","","","","","Radial Velocity","","","","","11 Com","185.17928","17.792868","4.7400000","93.370000","-1.9200000","1.9200000","-0.35000000","-0.090000000","0.090000000","2.7000000","-0.30000000","0.30000000","19.000000","-2.0000000","2.0000000","K0 III","","","","4742.0000","-100.00000","100.00000","","","2.3100000","HD 107383, HIP 60202","","","","","0.13067063","1.3244178","0.99201000","1.5879900","1.2987592","101.01141","64.855456","166.19194","799.44963","722.98875","914.73942","Jovian","19.000000","K","12.345286","12 20 43.0286","+17 47 34.3248","163.54680","10.132812","24.763411","12.834754","23.477907","13.586847","23.477907","12.390643","23.477907","34.529063","0.47646024","0.64240028","0","0","Hot","0","0.083813263","Coma Berenices","Com","Berenice's Hair","12.082709","6165.8633","1.2900000"
"11 UMi b","3.0000000","4684.7848","-794.57001","794.57001","","","","2009","2018-09-06","516.21997","-3.2000000","3.2000000","1.5300000","-0.070000000","0.070000000","0.080000000","-0.030000000","0.030000000","","","","","","","","","","12.200000","","","","","","","","Radial Velocity","","","","","11 UMi","229.27454","71.823898","5.0160000","125.72000","-1.9700000","1.9700000","-0.020000000","","","2.7800000","-0.69000000","0.69000000","29.790000","-2.8400000","2.8400000","K4 III","","","","4213.0000","-46.000000","46.000000","","","1.9300000","HD 136726, HIP 74793","","","","","0.16755064","1.5348960","1.4076000","1.6524000","1.5312267","107.35118","91.741348","126.42617","819.07569","788.47184","854.28770","Jovian","29.790000","K","15.284970","15 17 05.8915","+71 49 26.0328","250.49294","12.770059","31.984271","16.175280","30.323783","17.134143","30.323783","15.615215","30.323783","42.732816","0.19389083","0.64868332","0","0","Hot","0","0.082414476","Ursa Minor","UMi","Little Bear","12.229641","4684.7848","1.5300000"
"14 And b","3.0000000","1525.5744","","","","","","2008","2014-05-14","185.84000","-0.23000000","0.23000000","0.83000000","","","0.0000000","","","","","","0.0000000","","","2452861.4","-1.5000000","1.5000000","11.000000","","","","","","","","Radial Velocity","","","","","14 And","352.82257","39.236198","5.2270000","75.590000","-0.71000000","0.71000000","-0.24000000","-0.030000000","0.030000000","2.2000000","-0.20000000","0.10000000","11.000000","-1.0000000","1.0000000","G8 III","","","","4813.0000","-20.000000","20.000000","","","2.6300000","HD 221345, HIP 116076","","","","","0.073485255","0.83000000","0.83000000","0.83000000","0.83000002","84.446427","84.446427","84.446427","772.30746","772.30746","772.30746","Jovian","11.000000","G","23.521506","23 31 17.4215","+39 14 10.3128","58.175144","6.0252302","14.680087","7.6318669","13.918028","8.0784040","13.918028","7.3677796","13.918028","20.593611","0.50275224","0.60001028","0","0","Hot","0","0.081917127","Andromeda","And","Andromeda","12.848516","1525.5744","0.83000000"
"14 Her b","3.0000000","1481.0785","-47.674200","47.674200","","","","2002","2018-09-06","1773.4000","-2.5000000","2.5000000","2.9300000","-0.080000000","0.080000000","0.37000000","0.0000000","0.0000000","","","","","","","","","","163.00000","","","","","","","","Radial Velocity","","","","","14 Her","242.60130","43.817646","6.6100000","17.940000","-0.010000000","0.010000000","0.41000000","","","0.90000000","-0.040000000","0.040000000","0.93000000","-0.010000000","0.010000000","K0 V","","","","5338.0000","-25.000000","25.000000","","","4.4500000","HD 145675, HIP 79248","","","","","0.21799100","3.1305585","1.8459000","4.0141000","2.9825498","0.078886561","0.039047429","0.18465135","131.38424","113.25125","167.00637","Jovian","0.93000000","K","16.173421","16 10 24.3158","+43 49 03.5256","0.62917118","0.61059549","1.4579131","0.77340372","1.3822336","0.81817864","1.3822336","0.74661526","1.3822336","2.1416484","0.91975583","0.44541547","0","0","Cold","0","0.14524062","Hercules","Her","Hercules","12.865261","1481.0785","2.9300000"
"16 Cyg B b","3.0000000","565.73385","-25.426240","25.426240","","","","1996","2018-09-06","798.50000","-1.0000000","1.0000000","1.6600000","-0.030000000","0.030000000","0.68000000","-0.020000000","0.020000000","","","","","","","","","","78.500000","","","","","","","","Radial Velocity","","","","","16 Cyg B","295.46655","50.517525","6.2500000","21.150000","-0.010000000","0.010000000","0.060000000","","","1.0800000","-0.040000000","0.040000000","1.1300000","-0.010000000","0.010000000","G2.5 V","","","","5750.0000","-8.0000000","8.0000000","","","4.3600000","HD 186427, HIP 96901","","","","","0.042832433","2.0437920","0.53120000","2.7888000","1.7748696","0.61897215","0.16079857","4.4320105","202.22783","161.33012","369.65374","Jovian","1.1300000","G","19.697771","19 41 51.9764","+50 31 03.0900","1.2505956","0.84065740","1.9820503","1.0647976","1.8791638","1.1259913","1.8791638","1.0278615","1.8791638","3.0194110","1.9836585","0.47332457","1","1","Warm","0","0.36862709","Cygnus","Cyg","Swan","13.421749","565.73385","1.6600000"
"18 Del b","3.0000000","3273.6284","","","","","","2008","2014-05-14","993.30000","-3.2000000","3.2000000","2.6000000","","","0.080000000","-0.010000000","0.010000000","","","","166.10000","-6.5000000","6.5000000","2451672.0","-18.000000","18.000000","34.000000","","","","","","","","Radial Velocity","","","","","18 Del","314.60806","10.839286","5.5060000","76.380000","-0.62000000","0.62000000","-0.052000000","-0.023000000","0.023000000","2.3000000","","","8.5000000","","","G6 III","","","","4979.0000","-18.000000","18.000000","","","2.8200000","HD 199665, HIP 103527","","","","","0.26914123","2.6083200","2.3920000","2.8080000","2.6020847","5.9039479","5.0454603","6.9530068","396.65045","381.83005","413.70243","Jovian","8.5000000","G","20.973872","20 58 25.9391","+10 50 21.4296","39.782769","4.9452691","11.966497","6.2639156","11.345312","6.6291433","11.345312","6.0471267","11.345312","17.029868","0.67864811","0.60896698","0","0","Hot","0","0.21617437","Delphinus","Del","Dolphin","12.424038","3273.6284","2.6000000"
"1RXS J160929.1-210524 b","3.0000000","2542.6240","-317.82800","317.82800","","","","2008","2015-04-01","","","","330.00000","","","","","","","","","","","","","","","2280.0000","","","","","","","","Imaging","","","","","1RXS J160929.1-210524","242.37627","-21.083036","","145.00000","-14.000000","14.000000","","","","0.85000000","-0.10000000","0.20000000","","","","K7 V","0.0050000000","","","4060.0000","-200.00000","300.00000","","","",",","","","","","47.561283","330.00000","330.00000","330.00000","330.00001","","","","","","","Jovian","","K","16.158419","16 09 30.3074","-21 04 58.9296","","","","","","","","","","","0.10042903","0.14012839","0","0","","0","","Scorpius","Sco","Scorpion","12.562950","2542.6240","330.00000"
"24 Boo b","3.0000000","289.22348","-31.782800","41.317640","","","","2018","2018-04-26","30.350600","-0.0077000000","0.0078000000","0.19000000","-0.0090000000","0.012000000","0.042000000","-0.029000000","0.048000000","","","","210.00000","-130.00000","100.00000","2450008.6","-7.9000000","10.100000","1.9700000","","","","","","","","Radial Velocity","","","","","24 Boo","217.15755","49.844852","5.5800000","96.250000","-0.64000000","0.64000000","-0.77000000","-0.030000000","0.030000000","0.99000000","-0.13000000","0.19000000","10.640000","-0.59000000","0.84000000","G3 IV","6.9200000","-2.7500000","4.8300000","4893.0000","-15.000000","15.000000","","","2.4200000","HD 127243, HIP 70791","","","","","0.012081025","0.19016758","0.18202000","0.19798000","0.19004195","1611.9403","1483.3039","1754.8280","1613.7579","1581.0749","1648.9350","Jovian","10.640000","G","14.477171","14 28 37.8140","+49 50 41.4672","58.139697","6.0021326","14.574833","7.6026009","13.818243","8.0466759","13.818243","7.3395091","13.818243","20.587336","0.44202580","0.49217655","0","0","Hot","0","0.065684936","Bootes","Boo","Herdsman","13.823874","289.22348","0.19000000"
"24 Sex b","3.0000000","632.47773","-120.77464","82.635281","","","","2010","2014-05-14","452.80000","-4.5000000","2.1000000","1.3330000","-0.0090000000","0.0040000000","0.090000000","-0.060000000","0.14000000","","","","9.2000000","-165.40000","277.90000","2454762.0","-172.30000","67.300000","18.500000","","","","","","","","Radial Velocity","","","","","24 Sex","155.86821","-0.90224400","6.4410000","72.210000","-0.68000000","0.68000000","-0.030000000","-0.040000000","0.040000000","1.5400000","-0.080000000","0.080000000","4.9000000","-0.080000000","0.080000000","K0 IV","2.7000000","-0.40000000","0.40000000","5098.0000","-44.000000","44.000000","","","3.5000000","HD 90043, HIP 50887","","","","","0.090191357","1.3383987","1.2130300","1.4529700","1.3343533","8.2108078","6.8828267","9.8749987","430.60546","412.65453","451.62624","Jovian","4.9000000","K","10.391215","10 23 28.3724","+00 54 08.0784","14.530486","2.9714593","7.1568809","3.7637846","6.7853671","3.9827067","6.7853671","3.6334963","6.7853671","10.292096","0.72838944","0.48748251","0","0","Hot","0","0.17730446","Sextans","Sex","Sextant","13.356050","632.47773","1.3330000"
"24 Sex c","3.0000000","273.33208","-69.922161","111.23980","","","","2010","2014-05-14","883.00000","-13.800000","32.400000","2.0800000","-0.020000000","0.050000000","0.29000000","-0.090000000","0.16000000","","","","220.50000","-320.90000","182.20000","2454930.0","-96.500000","209.90000","28.800000","","","","","","","","Radial Velocity","","","","","24 Sex","155.86821","-0.90224400","6.4410000","72.210000","-0.68000000","0.68000000","-0.030000000","-0.040000000","0.040000000","1.5400000","-0.080000000","0.080000000","4.9000000","-0.080000000","0.080000000","K0 IV","2.7000000","-0.40000000","0.40000000","5098.0000","-44.000000","44.000000","","","3.5000000","HD 90043, HIP 50887","","","","","0.083016328","2.1674640","1.4768000","2.6832000","2.1024946","3.5093722","2.0182457","6.6624930","343.04216","303.66058","409.31164","Jovian","4.9000000","K","10.391215","10 23 28.3724","+00 54 08.0784","14.530486","2.9714593","7.1568809","3.7637846","6.7853671","3.9827067","6.7853671","3.6334963","6.7853671","10.292096","0.72838944","0.48748251","0","0","Hot","0","0.27247760","Sextans","Sex","Sextant","13.858291","273.33208","2.0800000"
"2MASS J01225093-2439505 b","3.0000000","7786.7861","-794.57001","794.57001","","","","2013","2014-05-14","","","","52.000000","-6.0000000","6.0000000","","","","","","","","","","","","","1440.0000","","","","","","","","Imaging","","","","","2MASS J01225093-2439505","20.712243","-24.664049","14.240000","36.000000","-4.0000000","4.0000000","","","","0.40000000","-0.050000000","0.050000000","","","","M3.5 V","0.12000000","-0.010000000","0.010000000","3530.0000","-50.000000","50.000000","","","",",","","","","","13.992264","52.000000","52.000000","52.000000","52.000001","","","","","","","Jovian","","M","1.3808163","01 22 50.9386","-24 39 50.5764","","","","","","","","","","","0.031426578","0.18511504","0","0","","0","","Cetus","Cet","Whale","11.959259","7786.7861","52.000000"
"2MASS J02192210-3925225 b","3.0000000","4417.8092","-349.61080","349.61080","16.142400","-0.33630000","0.33630000","2015","2015-05-14","","","","156.00000","-10.000000","10.000000","","","","","","","","","","","","","3960.0000","","","","","","","","Imaging","","","","","2MASS J02192210-3925225","34.842106","-39.422928","","39.400000","-2.6000000","2.6000000","","","","0.11000000","-0.010000000","0.010000000","0.28000000","-0.010000000","0.010000000","M6","0.035000000","-0.0050000000","0.0050000000","3064.0000","-76.000000","76.000000","","","4.5900000",",","16.543196","273.67735","16.953944","1.0502741","53.437720","156.00000","156.00000","156.00000","156.00000","2.5439616e-07","2.5439616e-07","2.5439616e-07","5.7216666","5.7216666","5.7216666","Jovian","0.28000000","M","2.3228072","02 19 22.1059","-39 25 22.5408","0.0061909850","0.064653815","0.17132776","0.081892193","0.16242892","0.086858303","0.16242892","0.079039709","0.16242892","0.21244360","0.0091773442","0.098031817","0","0","Cold","0","0.056530021","Fornax","For","Furnace","16.142400","4417.8092","156.00000"
"2MASS J04414489+2301513 b","3.0000000","2383.7100","-794.57001","794.57001","","","","2010","2014-05-14","","","","15.000000","","","","","","","","","","","","","","","107.00000","","","","","","","","Imaging","","","","","2MASS J04414489+2301513","70.437073","23.030941","","140.00000","","","","","","0.020000000","","","","","","M8.5","0.0010000000","","","","","","","","",",","","","","","7.3838744","15.000000","15.000000","15.000000","15.000000","","","","","","","Jovian","","M","4.6958051","04 41 44.8984","+23 01 51.3876","","","","","","","","","","","","0.030706817","0","0","","0","","Taurus","Tau","Bull","12.598676","2383.7100","15.000000"
"2MASS J12073346-3932539 b","3.0000000","1271.3120","-317.82800","317.82800","","","","2004","2014-05-14","","","","46.000000","-5.0000000","5.0000000","","","","","","","","","","","","","714.00000","","","","","","","","Imaging","","","","","2MASS J12073346-3932539","181.88945","-39.548332","20.150000","64.420000","-0.65000000","0.65000000","","","","0.020000000","","","","","","M8","0.0080000000","-0.0030000000","0.0040000000","","","","","","",",","","","","","18.363288","46.000000","46.000000","46.000000","46.000001","","","","","","","Jovian","","M","12.125964","12 07 33.4696","-39 32 53.9952","","","","","","","","","","","","0.043425998","0","0","","0","","Centaurus","Cen","Centaur","12.952003","1271.3120","46.000000"
"2MASS J19383260+4603591 b","3.0000000","603.87321","-31.782800","31.782800","","","","2015","2015-06-04","416.00000","-2.0000000","2.0000000","0.92000000","-0.020000000","0.020000000","","","","","","","","","","","","","2.3000000","","","","","","","","Eclipse Timing Variations","","","","","2MASS J19383260+4603591","294.63587","46.066418","12.264000","400.77000","-6.4800000","6.4800000","","","","0.48000000","-0.030000000","0.030000000","","","","","","","","","","","","","",",","","","","","0.099343902","0.92000000","0.92000000","0.92000000","0.92000002","","","","","","","Jovian","","","19.642392","19 38 32.6113","+46 03 59.1048","","","","","","","","","","","","0.36121425","0","0","","0","","Cygnus","Cyg","Swan","13.383276","603.87321","0.92000000"
"2MASS J21402931+1625183 A b","3.0000000","6658.4967","-6658.4967","26630.808","10.313200","-4.0356000","4.3719000","2009","2014-05-14","7336.5000","-584.00000","1934.5000","","","","0.26000000","-0.060000000","0.060000000","46.200000","-8.7000000","2.5000000","223.00000","-47.000000","10.000000","","","","","","","","","","","","Imaging","","","","","2MASS J21402931+1625183 A","325.12216","16.421759","","25.000000","-10.000000","10.000000","","","","0.080000000","-0.060000000","0.060000000","0.12000000","-0.040000000","0.050000000","M8.5","","","","2300.0000","-80.000000","80.000000","","","",",","25.409222","645.62858","62.602158","6.0701002","1.0287533","3.2908045","2.3555768","4.0108470","3.2107268","3.6900330e-05","2.2443485e-05","6.5068073e-05","19.598998","17.535473","22.881627","Jovian","0.12000000","M","21.674812","21 40 29.3222","+16 25 18.3324","0.00036104595","0.015701147","0.042465220","0.019887033","0.040258767","0.021100899","0.040258767","0.019192148","0.040258767","0.051303266","0.0022211710","0.19878386","0","0","Cold","0","0.084157251","Pegasus","Peg","Winged Horse","10.313200","6658.4967","3.1832119"
"2MASS J22362452+4751425 b","3.0000000","3972.8500","-476.74200","476.74200","","","","2016","2016-11-10","","","","230.00000","-20.000000","20.000000","","","","","","","","","","","","","3110.0000","","","","","","","","Imaging","","","","","2MASS J22362452+4751425","339.10220","47.861820","12.510000","74.000000","-10.000000","10.000000","","","","0.60000000","-0.050000000","0.050000000","","","","K7 V","0.12000000","-0.010000000","0.010000000","4045.0000","-35.000000","35.000000","","","",",","","","","","43.201288","230.00000","230.00000","230.00000","230.00001","","","","","","","Jovian","","K","22.606815","22 36 24.5330","+47 51 42.5520","","","","","","","","","","","0.087145494","0.21190382","0","0","","0","","Lacerta","Lac","Lizard","12.318663","3972.8500","230.00000"
"30 Ari B b","3.0000000","4392.3830","-572.09041","572.09041","","","","2009","2018-09-06","335.10001","-2.5000000","2.5000000","0.99000000","-0.020000000","0.020000000","0.29000000","-0.090000000","0.090000000","","","","","","","","","","22.100000","","","","","","","","Radial Velocity","","","","","30 Ari B","39.240585","24.648064","6.9620000","44.710000","-0.10000000","0.10000000","0.19000000","","","1.9300000","-0.27000000","0.27000000","1.4100000","-0.050000000","0.050000000","F6 V","","","","6331.0000","-61.000000","61.000000","","","4.4300000","HD 16232, HIP 12184","","","","","0.092482534","1.0316295","0.70290000","1.2771000","1.0007066","3.0508560","1.7545523","5.7920065","331.24213","293.21521","395.23206","Jovian","1.4100000","F","2.6160391","02 36 57.7409","+24 38 53.0304","2.8616474","1.2276100","2.8573528","1.5548965","2.7090310","1.6434699","2.7090310","1.5008232","2.7090310","4.5674293","6.5313950","0.57438563","0","0","Hot","0","0.30089651","Aries","Ari","Ram","12.264370","4392.3830","0.99000000"
"4 UMa b","3.0000000","2256.5788","-508.52480","508.52480","","","","2006","2014-05-14","269.30000","-1.9600000","1.9600000","0.87000000","-0.040000000","0.040000000","0.43200000","-0.024000000","0.024000000","","","","23.810000","-4.4200000","4.4200000","2452987.4","-4.3100000","4.3100000","11.800000","","","","","","","","Radial Velocity","","","","","4 UMa","130.05341","64.327934","4.6100000","73.580000","-1.1800000","1.1800000","-0.25000000","-0.040000000","0.040000000","1.2300000","-0.15000000","0.15000000","18.110000","-1.4700000","1.4700000","K1 III","4.6040000","-2.0000000","2.0000000","4415.0000","-70.000000","70.000000","","","1.8000000","HD 73108, HIP 42527","","","","","0.060511038","0.95118144","0.49416000","1.2458400","0.89166050","163.55514","71.932282","457.20735","877.01545","741.95210","1178.0757","Jovian","18.110000","K","8.6702275","08 40 12.8191","+64 19 40.5624","111.64734","8.4740879","21.019604","10.733757","19.928398","11.367229","19.928398","10.362264","19.928398","28.529093","0.20903862","0.49436657","0","0","Hot","0","0.076992961","Ursa Major","UMa","Big Bear","12.629095","2256.5788","0.87000000"
"42 Dra b","3.0000000","1233.1727","-270.15380","270.15380","","","","2008","2014-05-14","479.10000","-6.2000000","6.2000000","1.1900000","-0.010000000","0.010000000","0.38000000","-0.060000000","0.060000000","","","","218.70000","-10.600000","10.600000","2452757.4","-3.7000000","3.7000000","13.100000","","","","","","","","Radial Velocity","","","","","42 Dra","276.49640","65.563484","4.8200000","90.860000","-1.3200000","1.3200000","-0.46000000","-0.050000000","0.050000000","0.98000000","-0.050000000","0.050000000","22.030000","-1.0000000","1.0000000","K1.5 III","9.4900000","-1.7600000","1.7600000","4200.0000","-70.000000","70.000000","","","1.7100000","HD 170693, HIP 90344","","","","","0.079675195","1.2759180","0.73780000","1.6422000","1.2125726","103.29647","50.172149","248.56358","789.07763","678.04823","1011.5894","Jovian","22.030000","K","18.433094","18 25 59.1392","+65 33 48.5424","135.30530","9.3887017","23.530144","11.892261","22.308555","12.597430","22.308555","11.480480","22.308555","31.406618","0.13394243","0.51702463","0","0","Hot","0","0.079084010","Draco","Dra","Dragon","12.969374","1233.1727","1.1900000"
"47 UMa b","3.0000000","804.10485","-19.069680","22.247960","","","","1996","2014-05-14","1078.0000","-2.0000000","2.0000000","2.1000000","-0.020000000","0.020000000","0.032000000","-0.014000000","0.014000000","","","","334.00000","-23.000000","23.000000","2451917.0","-76.000000","63.000000","152.00000","","","","","","","","Radial Velocity","","","","","47 UMa","164.86656","40.430256","5.0500000","13.800000","-0.030000000","0.030000000","0.0000000","-0.070000000","0.070000000","1.0300000","-0.050000000","0.050000000","1.2300000","","","G0 V","7.3000000","-1.9000000","1.9000000","5892.0000","-70.000000","70.000000","","","4.2700000","HD 95128, HIP 53721","","","","","0.18722838","2.1010752","2.0328000","2.1672000","2.1002691","0.37062414","0.34781783","0.39533068","198.74440","195.65136","202.01566","Jovian","1.2300000","G","10.991105","10 59 27.9769","+40 25 48.9216","1.6336154","0.95260292","2.2377652","1.2065859","2.1216050","1.2757677","2.1216050","1.1647064","2.1216050","3.4509501","2.4920312","0.50318118","1","1","Warm","0","0.31106267","Ursa Major","UMa","Big Bear","13.215704","804.10485","2.1000000"
"47 UMa c","3.0000000","171.62712","-23.201444","20.976648","","","","2001","2014-05-14","2391.0000","-87.000000","100.00000","3.6000000","-0.10000000","0.10000000","0.098000000","-0.096000000","0.047000000","","","","295.00000","-160.00000","114.00000","2452441.0","-825.00000","628.00000","261.00000","","","","","","","","Radial Velocity","","","","","47 UMa","164.86656","40.430256","5.0500000","13.800000","-0.030000000","0.030000000","0.0000000","-0.070000000","0.070000000","1.0300000","-0.050000000","0.050000000","1.2300000","","","G0 V","7.3000000","-1.9000000","1.9000000","5892.0000","-70.000000","70.000000","","","4.2700000","HD 95128, HIP 53721","","","","","0.17873536","3.6172872","3.2472000","3.9528000","3.6043355","0.12666026","0.10455388","0.15492865","151.71194","144.87050","159.83719","Jovian","1.2300000","G","10.991105","10 59 27.9769","+40 25 48.9216","1.6336154","0.95260292","2.2377652","1.2065859","2.1216050","1.2757677","2.1216050","1.1647064","2.1216050","3.4509501","2.4920312","0.50318118","0","0","Cold","0","0.17714066","Ursa Major","UMa","Big Bear","14.144978","171.62712","3.6000000"
"47 UMa d","3.0000000","521.23792","-152.55744","92.170121","","","","2009","2014-05-14","14002.000","-5095.0000","4018.0000","11.600000","-2.9000000","2.1000000","0.16000000","-0.16000000","0.090000000","","","","110.00000","-160.00000","132.00000","2451736.0","-5051.0000","6783.0000","840.00000","","","","","","","","Radial Velocity","","","","","47 UMa","164.86656","40.430256","5.0500000","13.800000","-0.030000000","0.030000000","0.0000000","-0.070000000","0.070000000","1.0300000","-0.050000000","0.050000000","1.2300000","","","G0 V","7.3000000","-1.9000000","1.9000000","5892.0000","-70.000000","70.000000","","","4.2700000","HD 95128, HIP 53721","","","","","0.77670377","11.748480","9.7440000","13.456000","11.637436","0.012298870","0.0090223125","0.017205816","84.431345","78.518931","92.270681","Jovian","1.2300000","G","10.991105","10 59 27.9769","+40 25 48.9216","1.6336154","0.95260292","2.2377652","1.2065859","2.1216050","1.2757677","2.1216050","1.1647064","2.1216050","3.4509501","2.4920312","0.50318118","0","0","Cold","0","0.079493064","Ursa Major","UMa","Big Bear","13.470213","521.23792","11.600000"
"51 Eri b","3.0000000","635.65601","","","","","","2015","2015-08-14","","","","13.200000","-0.20000000","0.20000000","","","","","","","","","","","","","449.00000","","","","","","","","Imaging","","","","","51 Eri","69.400551","-2.4735480","5.2300000","29.400000","-0.30000000","0.30000000","-0.027000000","-0.045000000","0.045000000","1.7500000","-0.050000000","0.050000000","","","","F0 IV","0.020000000","-0.0060000000","0.0060000000","","","","","","","HD 29391, HIP 21547","","","","","0.94207868","13.200000","13.200000","13.200000","13.200000","","","","","","","Jovian","","F","4.6267036","04 37 36.1331","-02 28 24.7728","","","","","","","","","","","","0.22459970","0","0","","0","","Eridanus","Eri","River","13.353106","635.65601","13.200000"
"51 Peg b","3.0000000","150.01482","-12.395292","12.395292","","","","1995","2014-05-14","4.2307850","-3.6000000e-05","3.6000000e-05","0.052700000","-0.0030000000","0.0030000000","0.013000000","-0.012000000","0.012000000","","","","58.000000","","","2450001.5","-0.61000000","0.61000000","3.4100000","","","","","","","","Radial Velocity","","","","","51 Peg","344.36658","20.768833","5.5000000","15.470000","-0.030000000","0.030000000","0.20000000","-0.070000000","0.070000000","1.1200000","-0.060000000","0.060000000","1.2000000","","","G2.5 IV","4.0000000","-2.5000000","2.5000000","5793.0000","-70.000000","70.000000","","","4.3300000","HD 217014, HIP 113357","","","","","0.0026620631","0.052704453","0.052014900","0.053385100","0.052701120","523.21565","509.82970","537.04381","1218.4320","1210.6015","1226.4429","Jovian","1.2000000","G","22.957773","22 57 27.9828","+20 46 07.7988","1.4529988","0.90379800","2.1284757","1.1447717","2.0179884","1.2105146","2.0179884","1.1050544","2.0179884","3.2545908","2.1617961","0.46806645","0","0","Hot","0","0.065394653","Pegasus","Peg","Winged Horse","14.228992","150.01482","0.052700000"
"55 Cnc b","3.0000000","263.98794","-1.0488324","1.0488324","","","","1996","2014-10-29","14.651520","-0.00015000000","0.00015000000","0.11522700","-1.0000000e-06","1.0000000e-06","0.0034000000","-0.0032000000","0.0032000000","90.000000","","","98.000000","-53.000000","53.000000","","","","9.1500000","","","","","","","","Radial Velocity","","","","","55 Cnc","133.14922","28.330818","5.9600000","12.590000","-0.010000000","0.010000000","0.31000000","-0.040000000","0.040000000","0.91000000","-0.010000000","0.010000000","0.94000000","-0.010000000","0.010000000","G8 V","10.200000","-2.5000000","2.5000000","5196.0000","-24.000000","24.000000","","","4.4500000","HD 75732, HIP 43587","","","","","0.0076039848","0.11522767","0.11483523","0.11561877","0.11522717","43.462522","43.168228","43.759328","654.14301","653.03426","655.25836","Jovian","0.94000000","G","8.8766149","08 52 35.8135","+28 19 50.9448","0.57705994","0.58921014","1.4139437","0.74631864","1.3405462","0.78964408","1.3405462","0.72047826","1.3405462","2.0510405","0.72330826","0.51051127","0","0","Hot","0","0.088599759","Cancer","Cnc","Crab","13.879517","263.98794","0.11522700"
