P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
1RXS 1609 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,4451.16,,19.04,0.64,12.28,15.29,    4.079750e-06,    4.079751e-06,    4.079751e-06,11.4,11.4,11.4,,,,2870.4,-10.06,36.81,,330.0000,0.00,330.00,,0.0,1RXS 1609,,,Sco,K7V,0.73,1.35,4060.0,0.444285,,0.011,,145.00,16.1583,-21.0828,-13.2,0.0022,1,0,0.540,1.362,800.07,23.51,85.62,0.00,,0.00,0.00,0.05,0,0,0,1,Imaging,      2008.00
1SWASP J1407 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,6358.80,6358.80,,10.94,4.86,53.12,24.11,      0.02166914,      0.02166914,      0.02166914,97.7,97.7,97.7,,,,30873.8,-18.21,20.91,3725.00,3.9000,0.00,3.90,,0.0,1SWASP J1407,,,Cen,K,0.90,0.99,4400.0,0.329588,,0.016,12.4,133.00,14.1300,-39.7619,-22.5,0.1353,1,0,0.461,1.143,9.07,15.30,45.41,0.02,,0.00,0.00,0.07,0,0,0,1,Primary Transit,      2012.00
2M 0103-55(AB) b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,4133.22,4133.22,,11.40,2.79,31.79,19.04,    3.961934e-06,    3.961934e-06,    3.961935e-06,11.4,11.4,11.4,,,,11520.8,-8.91,21.80,,84.0000,0.00,84.00,,0.0,2M 0103-55(AB),,,Phe,M,0.40,0.38,3840.0,0.027955,,0.030,,47.20,1.0600,-55.2656,-13.2,0.0024,1,0,0.136,0.347,793.67,12.57,107.44,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2013.00
2M 0122-24 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,6358.80,,11.20,4.53,50.69,23.83,    1.033854e-05,    1.033854e-05,    1.033854e-05,14.4,14.4,14.4,,,,28780.4,-9.92,21.41,,52.0000,0.00,52.00,,0.0,2M 0122-24,,,Cet,M3.5,0.40,0.38,3840.0,0.027955,,0.120,,36.00,1.3808,-24.6142,-14.2,0.0039,1,0,0.136,0.347,490.45,15.72,119.46,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2013.00
2M 0219-39 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,4419.37,,16.13,1.05,16.99,16.55,    2.368772e-07,    2.368772e-07,    2.368773e-07,5.6,5.6,5.6,,,,4655.6,-6.60,31.03,,156.0000,0.00,156.00,,0.0,2M 0219-39,,,For,M6,0.11,0.27,3064.0,0.005765,,,,39.40,2.3228,-39.4231,-10.1,0.0009,1,0,0.062,0.165,3028.82,19.46,133.25,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2015.00
2M 0441+23 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,2384.55,2384.55,,11.66,1.50,17.53,14.30,    1.264487e-07,    1.264487e-07,    1.264487e-07,4.8,4.8,4.8,,,,3585.2,-5.21,22.30,,15.0000,0.00,15.00,,0.0,2M 0441+23,,,Tau,M8.5,0.02,0.01,3840.0,0.000028,,0.001,,140.00,4.6958,23.0308,-9.4,0.0004,1,0,0.004,0.011,4453.14,10.21,124.39,0.00,,0.00,0.00,0.07,0,0,0,1,Imaging,      2010.00
2M 0746+20 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,9538.20,,10.86,7.44,80.81,29.63,    9.055836e-06,    2.291890e-05,    7.606283e-05,14.0,16.8,23.8,,,,70951.8,-10.87,20.76,4640.00,2.8970,0.49,2.53,41.8,354.4,2M 0746+20,,,Gem,,0.12,0.09,2205.0,0.000168,,,,12.21,7.7786,20.0089,-15.2,0.0187,1,0,0.011,0.029,294.42,20.19,132.41,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2010.00
2M 1207-39 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1271.76,1271.76,,11.66,0.80,9.36,10.44,    2.736194e-08,    2.736194e-08,    2.736195e-08,3.3,3.3,3.3,,,,1020.6,-3.53,22.30,,46.0000,0.00,46.00,,0.0,2M 1207-39,,,Cen,M8,0.03,0.02,3840.0,0.000058,,0.008,20.1,52.40,12.1258,-39.5483,-7.7,0.0002,1,0,0.006,0.016,9575.68,8.56,109.81,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2004.00
2M 1938+46 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,604.09,604.09,,11.21,0.43,4.81,7.34,       0.1531191,       0.1531191,       0.1531191,159.4,159.4,159.4,,,,259.4,-20.40,21.42,416.00,0.9200,0.00,0.92,,0.0,2M 1938+46,,,Cyg,sdB+M,0.60,,,0.129600,,,,,19.6425,46.0664,-24.7,,1,0,,,2.51,7.35,9.51,0.08,,0.00,0.00,0.24,0,0,0,1,Pulsar,      2015.00
2M 2140+16 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,6358.80,,10.30,5.81,59.89,24.84,    1.269407e-05,    2.086658e-05,    3.679495e-05,15.2,17.0,19.8,,,,36960.1,-10.54,19.68,7340.00,3.5300,0.26,3.41,46.2,223.0,2M 2140+16,,,Peg,,0.08,0.10,2300.0,0.000251,,,,25.00,21.6747,16.4217,-15.0,0.0156,1,0,0.013,0.035,308.66,14.27,113.50,0.00,,0.00,0.00,0.08,0,0,0,1,Imaging,      2010.00
2M 2206-20 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,,9538.20,,14.56,3.09,44.99,25.59,    1.649645e-05,    1.649645e-05,    1.649646e-05,16.2,16.2,16.2,,,,29474.7,-11.00,27.95,8686.00,4.4800,0.00,4.48,44.3,0.0,2M 2206-20,,,Aqr,,0.13,0.11,2350.0,0.000331,,,,26.67,22.1064,-20.7850,-14.7,0.0131,1,0,0.015,0.041,347.42,27.82,121.07,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2010.00
2M J2126-81 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,4228.60,4228.60,,11.38,2.87,32.62,19.27,    7.824420e-09,    7.824422e-09,    7.824423e-09,2.4,2.4,2.4,,,,12117.6,-2.12,21.77,,6900.0000,0.00,6900.00,,0.0,2M J2126-81,,,Oct,M2,0.40,1.39,3840.0,0.372521,,0.027,9.0,24.75,21.4244,-81.6411,-6.4,0.0001,1,0,0.497,1.267,17908.75,12.70,238.96,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2016.00
4 Uma b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,2257.37,2257.37,,11.67,1.42,16.57,13.91,        72.05381,        163.7823,        457.8407,742.3,877.3,1178.5,,,,3205.8,-28.21,22.32,269.30,0.8700,0.43,0.78,,23.8,4 Uma,,,UMa,K1III,1.23,18.11,4415.0,111.801993,-0.250,4.604,5.8,78.50,8.6703,64.3281,-32.4,12.3239,1,0,8.480,21.034,-2.22,10.03,7.06,0.07,,0.00,0.00,0.07,0,0,0,1,Radial Velocity,      2007.00
6 Lyn b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,763.06,763.06,,11.42,0.51,5.85,8.17,        2.393847,        3.106028,        4.104261,316.9,337.1,362.6,,,,390.9,-23.73,21.83,899.00,2.2000,0.13,2.18,2.0,27.0,6 Lyn,HD 45410,HIP 31039,Lyn,K0IV,1.70,5.20,4978.0,14.897593,-0.130,,5.9,56.90,6.5131,58.1628,-28.0,1.2711,1,0,3.026,7.323,-1.39,7.69,6.85,0.09,,0.00,0.00,0.33,0,0,0,1,Radial Velocity,      2008.00
7 CMa b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,782.13,782.13,,11.44,0.52,5.98,8.27,       0.4514996,       0.6887656,        1.104356,208.8,230.0,261.2,,,,408.7,-22.11,21.87,796.00,1.9300,0.22,1.88,,77.0,7 CMa,HD 47205,HIP 31592,CMa,K1 III,1.52,2.30,4792.0,2.502723,0.210,,4.0,19.75,6.6114,-19.2558,-26.4,0.6510,1,1,1.251,3.050,-0.27,7.72,8.73,0.08,,0.00,0.00,0.42,0,0,0,1,Radial Velocity,      2011.00
8 Umi b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,476.91,476.91,,10.92,0.37,4.00,6.61,        179.9768,        202.5754,        228.8484,933.1,960.5,990.9,,,,174.8,-28.19,20.86,93.40,0.4900,0.06,0.49,,91.0,8 Umi,,,UMi,K0,1.80,9.90,4847.4,48.550717,-0.030,1.700,6.8,159.10,14.9467,74.9008,-32.5,10.8025,1,0,5.496,13.371,-2.27,7.02,2.39,0.11,,0.00,0.00,0.11,0,0,0,1,Radial Velocity,      2015.00
11 Com b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,6168.04,6168.04,,10.98,4.66,51.15,23.70,        64.95758,        101.1515,        166.4222,723.3,799.7,915.1,,,,28729.5,-27.47,20.99,326.03,1.2900,0.23,1.26,,94.8,11 Com,HD 107383,HIP 60202,Com,G8 III,2.70,19.00,4742.0,163.773362,-0.350,,4.7,110.60,12.3453,17.7928,-31.8,8.0740,1,0,10.140,24.781,-2.21,15.07,14.33,0.05,,0.00,0.00,0.06,0,0,0,1,Radial Velocity,      2008.00
11 Oph b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,6676.74,6676.74,,10.87,5.19,56.47,24.78,    2.967562e-10,    2.967563e-10,    2.967563e-10,1.1,1.1,1.1,,,,34672.8,1.55,20.78,730000.00,243.0000,0.00,243.00,,0.0,11 Oph,,,Sco,M9,0.02,0.02,2375.0,0.000018,,0.011,,145.00,16.3736,-24.0872,-2.8,0.0001,1,0,0.003,0.009,82422.85,15.68,464.12,0.00,,0.00,0.00,0.05,0,0,0,1,Imaging,      2007.00
11 UMi b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,3338.37,3338.37,,11.54,2.17,25.05,17.00,        66.72755,        78.07546,        91.94850,728.2,756.4,788.9,,,,7242.6,-27.27,22.08,516.22,1.5400,0.08,1.54,,117.6,11 UMi,HD 136726,HIP 74793,UMi,K4III,1.80,24.08,4340.0,184.570281,0.040,1.560,5.0,119.50,15.2850,71.8239,-31.5,8.3671,1,0,10.921,27.187,-2.15,11.54,10.21,0.06,,0.00,0.00,0.07,0,0,0,1,Radial Velocity,      2009.00
14 And b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1694.62,1694.62,,11.68,1.06,12.41,12.04,        84.56340,        84.56341,        84.56342,772.6,772.6,772.6,,,,1800.5,-27.38,22.34,185.84,0.8300,0.00,0.83,,0.0,14 And,HD 221345,HIP 116076,And,K0III,2.20,11.00,4813.0,58.255730,-0.240,,5.2,76.40,23.5214,39.2361,-31.6,7.0672,1,0,6.029,14.690,-2.20,9.20,6.65,0.08,,0.00,0.00,0.09,0,0,0,1,Radial Velocity,      2008.00
14 Her b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1475.24,1475.24,,11.68,0.93,10.82,11.24,      0.02488932,      0.05017497,       0.1171233,101.2,117.3,149.0,,,,1366.4,-19.35,22.33,1773.40,2.7700,0.37,2.57,,22.6,14 Her,HD 145675,HIP 79248,Her,K0 V,0.90,0.71,5311.0,0.357817,0.430,5.100,6.7,18.10,16.1731,43.8217,-23.5,0.1466,1,0,0.461,1.102,5.89,8.87,17.88,0.05,,0.00,0.00,0.13,0,0,0,1,Radial Velocity,      2002.00
16 Cyg B b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,534.14,534.14,,11.06,0.39,4.36,6.95,       0.1183426,       0.4656991,        3.489002,149.4,187.6,348.2,,,,210.6,-21.94,21.15,799.50,1.6800,0.69,1.22,,83.4,16 Cyg B,HD 186427,HIP 96901,Cyg,G2.5 V,1.01,0.98,5766.0,0.952446,0.080,8.000,6.2,21.41,19.6975,50.5175,-26.2,0.4289,1,1,0.733,1.727,0.40,7.17,7.16,0.09,,0.00,0.00,0.39,0,0,0,1,Radial Velocity,      1996.00
18 Del b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,3274.78,3274.78,,11.55,2.12,24.53,16.83,        5.052827,        5.912127,        6.962639,382.0,396.8,413.8,,,,6951.2,-24.46,22.10,993.30,2.6000,0.08,2.59,,166.1,18 Del,HD 199665,HIP 103527,Del,G6III,2.30,8.50,4979.0,39.837880,-0.052,,5.5,73.10,20.9739,10.8392,-28.7,1.7479,1,0,4.949,11.975,-1.67,11.45,14.59,0.05,,0.00,0.00,0.20,0,0,0,1,Radial Velocity,      2008.00
24 Sex b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,632.70,632.70,,11.25,0.44,5.00,7.50,        6.892935,        8.222184,        9.888680,412.8,430.8,451.8,,,,280.9,-24.76,21.51,452.80,1.3330,0.09,1.33,,9.2,24 Sex,HD 90043,HIP 50887,Sex,G5,1.54,4.90,5098.0,14.550615,-0.030,2.700,7.4,74.80,10.3911,0.9022,-29.0,1.9670,2,0,2.974,7.162,-1.78,7.41,5.25,0.10,,0.00,0.00,0.21,0,0,0,1,Radial Velocity,      2010.00
24 Sex c,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,273.43,273.43,,9.99,0.27,2.74,5.23,        2.021499,        3.514242,        6.671723,303.8,343.2,409.5,,,,75.1,-23.61,19.06,883.00,2.0800,0.29,1.99,,220.5,24 Sex,HD 90043,HIP 50887,Sex,G5,1.54,4.90,5098.0,14.550615,-0.030,2.700,7.4,74.80,10.3911,0.9022,-28.1,1.3118,2,0,2.974,7.162,-1.45,6.26,3.66,0.12,,0.00,0.00,0.35,0,0,0,1,Radial Velocity,      2010.00
30 Ari B b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,3141.25,3141.25,,11.58,2.03,23.44,16.47,        1.458875,        2.531428,        4.793875,280.0,316.2,377.0,,,,6362.4,-23.58,22.13,335.10,0.9950,0.29,0.95,,307.0,30 Ari B,HD 16232,HIP 12184,Ari,F6V,1.22,1.23,6484.0,2.399231,0.120,0.910,7.1,39.40,2.6161,24.6481,-27.8,0.6881,1,0,1.114,2.586,-1.19,11.27,15.94,0.05,,0.00,0.00,0.31,0,0,0,1,Radial Velocity,      2009.00
42 Dra b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1233.61,1233.61,,11.65,0.78,9.09,10.29,        50.25558,        103.4399,        248.9079,678.3,789.4,1011.9,,,,961.9,-27.68,22.28,479.10,1.1900,0.38,1.10,,218.7,42 Dra,HD 170693,HIP 90344,Dra,K1.5III,0.98,22.03,4200.0,135.492709,-0.460,9.490,4.8,97.30,18.4331,65.5636,-31.9,10.6812,1,0,9.395,23.546,-2.17,8.50,5.18,0.09,,0.00,0.00,0.09,0,0,0,1,Radial Velocity,      2009.00
47 Uma b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,804.39,804.39,,11.46,0.53,6.13,8.38,       0.3539971,       0.3771968,       0.4023415,196.5,199.6,202.9,,,,430.0,-21.43,21.91,1078.00,2.1000,0.03,2.10,,334.0,47 Uma,,,UMa,G0V,1.03,1.24,5892.0,1.662586,0.000,7.400,5.1,13.97,10.9914,40.4294,-25.7,0.3148,3,1,0.961,2.258,0.76,7.77,9.73,0.07,,0.00,0.00,0.35,0,0,0,1,Radial Velocity,      1996.00
47 Uma c,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,171.69,171.69,,9.01,0.23,2.11,4.36,       0.1064176,       0.1289065,       0.1576762,145.5,152.4,160.5,,,,40.3,-19.74,17.19,2391.00,3.6000,0.10,3.58,,295.0,47 Uma,,,UMa,G0V,1.03,1.24,5892.0,1.662586,0.000,7.400,5.1,13.97,10.9914,40.4294,-24.5,0.1844,3,1,0.961,2.258,3.06,5.63,5.10,0.11,,0.00,0.00,0.27,0,0,0,1,Radial Velocity,      2001.00
47 Uma d,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,521.42,521.42,,11.03,0.39,4.28,6.87,     0.009183590,      0.01251699,      0.01751094,78.9,84.8,92.7,,,,202.4,-17.65,21.09,14002.00,11.6000,0.16,11.45,,110.0,47 Uma,,,UMa,G0V,1.03,1.24,5892.0,1.662586,0.000,7.400,5.1,13.97,10.9914,40.4294,-22.0,0.0577,3,1,0.961,2.258,15.30,7.14,12.64,0.05,,0.00,0.00,0.12,0,0,0,1,Radial Velocity,      2010.00
51 Eri b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,2225.58,2225.58,,11.67,1.40,16.34,13.81,      0.01966726,      0.02944644,      0.04613009,95.4,104.7,118.1,,,,3114.7,-18.71,22.32,14965.00,14.0000,0.21,13.69,42.0,90.0,51 Eri,,,Eri,F0IV,1.75,1.49,7300.0,5.642800,-0.027,0.020,5.2,29.40,4.6267,-2.4735,-22.9,0.0581,1,0,1.647,3.796,10.35,9.98,24.18,0.03,,0.00,0.00,0.10,0,0,0,1,Imaging,      2015.00
51 Peg b,,,Hot,Jovian,gas,metals-rich,non-habitable,97.48,146.25,,21.28,0.02,0.32,2.62,        590.7382,        598.9285,        607.2656,1256.0,1260.3,1264.7,,,,2.2,-30.82,41.33,4.23,0.0520,0.01,0.05,80.0,54.1,51 Peg,HD 217014,HIP 113357,Peg,G2 IV,1.11,1.27,5793.0,1.619464,0.200,4.000,5.5,14.70,22.9575,20.7686,-33.7,13.0026,1,0,0.954,2.247,-2.40,18.27,-0.30,0.05,,0.00,0.00,0.05,1,0,0,1,Radial Velocity,      1995.00
55 Cnc b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,254.35,254.35,,9.84,0.27,2.63,5.08,        43.81962,        45.22916,        46.69659,655.5,660.7,666.0,,,,67.8,-26.32,18.79,14.65,0.1134,0.02,0.11,,164.0,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.310,10.200,6.0,12.34,8.8769,28.3339,-30.9,4.4332,5,1,0.591,1.419,-2.15,6.16,2.09,0.13,,0.00,0.00,0.15,1,0,0,1,Radial Velocity,      1996.00
55 Cnc c,,,Hot,Jovian,gas,metals-rich,non-habitable,53.73,53.73,,6.45,0.20,1.29,2.89,        9.083383,        10.08540,        11.23007,442.3,453.8,466.4,,,,10.8,-23.76,12.27,44.34,0.2403,0.05,0.24,,57.4,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.310,10.200,6.0,12.34,8.8769,28.3339,-29.3,2.0944,5,1,0.591,1.419,-1.85,4.17,0.89,0.18,,0.00,0.00,0.29,1,0,0,1,Radial Velocity,      2002.00
55 Cnc d,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,1219.30,1219.30,,11.65,0.77,8.98,10.23,      0.01668429,      0.01753398,      0.01843892,91.6,92.7,93.9,,,,940.4,-18.12,22.28,5218.00,5.7600,0.03,5.76,53.0,181.3,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.310,10.200,6.0,12.34,8.8769,28.3339,-22.3,0.0873,5,1,0.591,1.419,11.48,8.47,18.81,0.04,,0.00,0.00,0.10,1,0,0,1,Radial Velocity,      2002.00
55 Cnc e,,,Hot,Superterran,rocky-water,metals-rich,non-habitable,,8.32,,1.99,1.06,2.11,2.05,        2126.932,        2393.998,        2704.487,1730.1,1780.9,1837.2,1773.5,1824.2,1880.6,8.8,-27.16,3.78,0.74,0.0156,0.06,0.02,85.4,170.0,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.310,10.200,6.0,12.34,8.8769,28.3339,-35.2,32.7148,5,1,0.591,1.419,-2.39,0.03,-0.79,0.28,0.00,0.00,0.00,0.26,1,0,0,1,Primary Transit,      2004.00
55 Cnc f,,,Warm,Neptunian,gas,hydrogen-rich,non-habitable,45.78,45.78,,6.12,0.20,1.22,2.73,       0.9530466,       0.9534276,       0.9538091,251.7,251.7,251.8,,,,9.1,-21.07,11.65,260.70,0.7810,0.00,0.78,,205.0,55 Cnc,HD 75732,HIP 43587,Cnc,K0IV-V,0.91,0.94,5196.0,0.581554,0.310,10.200,6.0,12.34,8.8769,28.3339,-26.7,0.6435,5,1,0.591,1.419,-0.54,4.00,1.60,0.19,,0.00,0.00,0.60,1,0,0,1,Radial Velocity,      2007.00
61 Vir b,,,Hot,Superterran,rocky-iron,metals-rich,non-habitable,5.09,5.09,,1.66,1.10,1.84,1.75,        234.7180,        296.5414,        380.1633,997.2,1054.4,1125.0,1038.6,1095.7,1166.3,5.6,-24.50,3.16,4.21,0.0502,0.12,0.05,,105.0,61 Vir,HD 115617,HIP 64924,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.010,8.960,4.7,8.52,13.3067,-18.3111,-32.9,10.0643,3,0,0.656,1.556,-2.35,-0.15,-0.69,0.29,0.00,0.00,0.00,0.27,1,0,0,1,Radial Velocity,      2009.00
61 Vir c,,,Hot,Neptunian,gas,metals-rich,non-habitable,18.22,18.22,,4.51,0.20,0.90,2.01,        12.06940,        15.83946,        21.20532,474.9,506.4,546.7,,,,3.6,-23.48,8.57,38.02,0.2175,0.14,0.22,,341.0,61 Vir,HD 115617,HIP 64924,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.010,8.960,4.7,8.52,13.3067,-18.3111,-29.8,2.3262,3,0,0.656,1.556,-1.98,3.18,-0.01,0.21,,0.00,0.00,0.30,1,0,0,1,Radial Velocity,      2009.00
61 Vir d,,,Hot,Neptunian,gas,metals-rich,non-habitable,22.89,22.89,,4.87,0.20,0.97,2.17,        1.797182,        3.495620,        7.750320,295.0,340.0,425.1,,,,4.5,-22.06,9.26,123.01,0.4760,0.35,0.45,,314.0,61 Vir,HD 115617,HIP 64924,Vir,G5V,0.95,0.94,5531.0,0.741925,-0.010,8.960,4.7,8.52,13.3067,-18.3111,-28.2,1.1235,3,0,0.656,1.556,-1.43,3.36,0.50,0.21,,0.00,0.00,0.48,1,0,0,1,Radial Velocity,      2009.00
70 Vir b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,2098.40,2098.40,,11.68,1.32,15.39,13.40,        6.423269,        14.54430,        40.41541,405.6,479.1,642.4,,,,2764.7,-25.57,22.33,116.67,0.4800,0.43,0.43,,2.1,70 Vir,HD 117176,HIP 65721,Vir,G4 V,0.92,1.97,5432.0,3.025375,-0.110,7.090,5.0,22.00,13.4739,13.7867,-29.8,2.4203,1,0,1.332,3.170,-1.95,9.80,9.74,0.07,,0.00,0.00,0.14,1,0,0,1,Radial Velocity,      1996.00
75 Cet b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,953.82,953.82,,11.56,0.62,7.14,9.08,        12.36982,        12.36982,        12.36982,477.8,477.8,477.8,,,,588.8,-25.26,22.11,691.90,2.1000,0.00,2.10,,0.0,75 Cet,HD 15779,HIP 11791,Cet,G3III,2.49,10.50,4846.0,54.550918,0.000,,5.4,81.50,2.5358,-1.0350,-29.5,2.6648,1,0,5.826,14.175,-1.89,8.04,6.30,0.09,,0.00,0.00,0.17,0,0,0,1,Radial Velocity,      2012.00
81 Cet b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1685.08,1685.08,,11.68,1.06,12.34,12.01,        16.83748,        25.02150,        38.83791,516.1,565.2,636.0,,,,1780.3,-26.07,22.34,952.70,2.5000,0.21,2.45,,175.0,81 Cet,HD 16400,HIP 12247,Cet,G5III,2.40,18.00,4790.0,153.030103,-0.060,,5.7,97.20,2.6283,-3.3961,-30.3,3.9219,1,0,9.782,23.856,-2.04,9.18,7.97,0.08,,0.00,0.00,0.12,0,0,0,1,Radial Velocity,      2008.00
91 Aqr b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1017.41,1017.41,,11.59,0.65,7.57,9.37,        60.10398,        63.41486,        66.95869,709.4,718.8,728.8,,,,664.8,-27.05,22.16,181.40,0.7000,0.03,0.70,,177.3,91 Aqr,HD 219449,HIP 114855,Aqr,K0 III,2.50,8.55,4665.0,31.061950,-0.030,3.560,4.2,45.90,23.2647,-9.0875,-31.3,6.5151,1,0,4.430,10.862,-2.16,8.15,5.03,0.09,,0.00,0.00,0.10,0,0,0,1,Radial Velocity,      2003.00
AB Pic b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,4292.19,4292.19,,11.37,2.92,33.19,19.43,    6.354140e-06,    6.354142e-06,    6.354142e-06,12.8,12.8,12.8,,,,12525.9,-9.42,21.74,,275.0000,0.00,275.00,,0.0,AB Pic,HD 44627,HIP 30034,Pic,K2 V,,0.98,4875.0,0.480532,-0.640,0.030,9.2,47.30,6.3200,-58.0542,-13.7,0.0019,1,0,0.546,1.327,701.84,12.78,103.28,0.00,,0.00,0.00,0.06,0,0,0,1,Imaging,      2005.00
Aldebaran b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,2057.07,2057.07,,11.68,1.29,15.08,13.27,        191.3177,        232.6393,        285.7693,947.5,993.1,1047.5,,,,2655.8,-28.49,22.34,628.96,1.4600,0.10,1.45,,287.0,Aldebaran,,,Tau,K5III,1.13,45.10,4055.0,493.408199,-0.270,6.600,0.8,20.43,4.5986,16.5092,-32.7,16.6030,1,0,17.994,45.420,-2.21,9.73,6.40,0.08,,0.00,0.00,0.07,0,0,0,1,Radial Velocity,      1998.00
alf Ari b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,572.29,572.29,,11.15,0.41,4.61,7.17,        33.11425,        53.42722,        91.96552,611.2,680.5,789.0,,,,236.5,-26.81,21.30,380.80,1.2000,0.25,1.16,,89.2,alf Ari,HD 12929,HIP 9884,Ari,K2III,1.50,13.90,4553.0,74.492062,-0.090,,2.0,20.20,2.1194,23.4622,-31.1,6.3787,1,0,6.889,16.979,-2.13,7.27,3.53,0.11,,0.00,0.00,0.12,0,0,0,1,Radial Velocity,      2011.00
alf Cen B b,,,Hot,Terran,rocky-iron,no-atmosphere,non-habitable,1.14,1.14,,1.09,0.89,0.97,1.03,        308.6566,        308.6566,        308.6567,1067.9,1067.9,1067.9,1101.9,1101.9,1101.9,1.0,-23.61,2.06,3.24,0.0400,0.00,0.04,,0.0,alf Cen B,HD 128621,HIP 71681,Cen,K1V,0.93,0.86,5214.0,0.493851,,,1.3,1.30,14.6597,-60.8375,-33.0,11.5170,1,0,0.545,1.306,-2.33,-0.17,-1.12,0.28,0.00,0.00,0.00,0.30,0,0,0,1,Radial Velocity,      2012.00
