P. Name,P. Name Kepler,P. Name KOI,P. Zone Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Max Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Name,S. Name HD,S. Name HIP,S. Constellation,S. Type,S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. SPH,P. Int ESI,P. Surf ESI,P. ESI,S. HabCat,P. Habitable,P. Hab Moon,P. Confirmed,P. Disc. Method,P. Disc. Year
HD 114386 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,394.25,394.25,,10.64,0.33,3.49,6.09,       0.1775890,       0.2760241,       0.4530676,165.4,182.8,209.0,,,,129.2,-20.96,20.32,937.00,1.0200,0.23,0.99,,273.0,HD 114386,HD 114386,HIP 64295,Cen,K3 V,0.75,0.76,4819.0,0.279476,0.000,2.190,8.7,28.00,13.1775,-35.0547,-25.4,0.4080,2,1,0.418,1.017,0.96,6.76,6.90,0.09,,0.00,0.00,0.33,1,0,0,1,Radial Velocity,      2003.00
HD 114386 c,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,378.35,378.35,,10.57,0.32,3.39,5.98,      0.07412913,      0.08343706,      0.09425840,132.9,136.8,141.2,,,,121.3,-19.61,20.19,1046.00,1.8318,0.06,1.83,,0.0,HD 114386,HD 114386,HIP 64295,Cen,K3 V,0.75,0.76,4819.0,0.279476,0.000,2.190,8.7,28.00,13.1775,-35.0547,-24.0,0.2215,2,1,0.418,1.017,3.71,6.70,8.15,0.08,,0.00,0.00,0.20,1,0,0,1,Radial Velocity,      2011.00
HD 114613 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,152.61,152.61,,8.75,0.23,1.99,4.18,       0.1027186,       0.1657283,       0.2852719,144.2,160.6,186.2,,,,34.8,-19.98,16.69,3827.00,5.1600,0.25,5.00,,244.0,HD 114613,HD 114613,HIP 64408,Cen,G3-4,1.36,2.11,5729.0,4.272489,0.180,,4.8,20.67,13.2008,-36.1969,-24.8,0.2250,1,0,1.556,3.670,2.33,5.47,4.58,0.12,,0.00,0.00,0.30,0,0,0,1,Radial Velocity,      2014.00
HD 114729 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,267.07,267.07,,9.94,0.27,2.70,5.18,       0.2607993,       0.4795215,       0.9824954,182.1,207.8,253.6,,,,72.6,-21.44,18.98,1135.00,2.0800,0.32,1.97,,73.0,HD 114729,HD 114729,HIP 64459,Cen,G3 V,0.93,1.46,5662.0,1.965509,-0.220,4.580,6.7,35.00,13.2122,-31.8733,-26.0,0.3948,1,1,1.059,2.504,0.34,6.23,5.11,0.11,,0.00,0.00,0.43,0,0,0,1,Radial Velocity,      2002.00
HD 114762 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,3490.98,3490.98,,11.52,2.28,26.31,17.41,        7.699476,        14.57100,        31.07802,424.4,486.8,601.5,,,,7971.6,-25.49,22.03,83.92,0.3530,0.34,0.33,,201.3,HD 114762,HD 114762,HIP 64426,Com,F9V,0.84,1.24,5934.0,1.710501,-0.710,11.800,7.3,39.46,13.2053,17.5169,-29.7,1.9872,1,0,0.972,2.282,-1.96,11.74,13.24,0.05,,0.00,0.00,0.13,0,0,0,1,Radial Velocity,      1989.00
HD 114783 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,349.73,349.73,,10.44,0.31,3.21,5.79,       0.2105470,       0.2784174,       0.3760093,172.6,184.3,199.5,,,,107.6,-20.91,19.93,493.70,1.1600,0.14,1.15,10.0,86.0,HD 114783,HD 114783,HIP 64457,Vir,K0,0.92,0.78,5105.0,0.370734,0.330,3.700,7.6,20.40,13.2119,-2.2650,-25.3,0.3621,1,0,0.474,1.142,1.03,6.59,6.49,0.10,,0.00,0.00,0.34,0,0,0,1,Radial Velocity,      2001.00
HD 116029 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,667.67,667.67,,11.31,0.46,5.22,7.68,        2.603696,        3.898336,        6.107040,323.6,355.0,400.5,,,,308.4,-23.97,21.61,670.20,1.7300,0.21,1.69,,360.0,HD 116029,HD 116029,HIP 65117,Com,K1III,1.58,4.60,4951.0,11.407151,0.180,2.700,8.0,123.20,13.3444,24.6486,-28.2,1.4494,1,0,2.652,6.423,-1.50,7.49,6.10,0.09,,0.00,0.00,0.30,0,0,0,1,Radial Velocity,      2011.00
HD 117207 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,654.96,654.96,,11.29,0.46,5.14,7.62,      0.04827727,      0.06580061,      0.09205339,119.4,128.4,140.3,,,,298.3,-19.51,21.58,2627.08,3.7800,0.16,3.73,,81.7,HD 117207,HD 117207,HIP 65808,Cen,G8VI/V,1.07,1.09,5432.0,0.928073,0.270,6.680,7.3,33.00,13.4892,-35.5708,-23.8,0.1557,1,0,0.738,1.756,4.93,7.46,11.21,0.07,,0.00,0.00,0.16,1,0,0,1,Radial Velocity,      2004.00
HD 117618 b,,,Hot,Jovian,gas,metals-rich,non-habitable,56.59,56.59,,6.55,0.20,1.32,2.94,        24.01032,        53.33211,        143.8763,564.0,664.2,882.4,,,,11.4,-25.72,12.48,25.83,0.1760,0.42,0.16,,245.0,HD 117618,HD 117618,HIP 66047,Cen,G2V,1.05,1.19,5861.0,1.499238,0.040,3.880,7.2,38.00,13.5403,-47.2711,-31.2,3.9712,2,1,0.914,2.149,-2.21,4.23,0.41,0.17,,0.00,0.00,0.20,1,0,0,1,Radial Velocity,      2004.00
HD 117618 c,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,63.59,63.59,,6.80,0.20,1.38,3.06,        1.733424,        1.733424,        1.733424,292.3,292.3,292.3,,,,12.9,-21.96,12.95,318.00,0.9300,0.00,0.93,,360.0,HD 117618,HD 117618,HIP 66047,Cen,G2V,1.05,1.19,5861.0,1.499238,0.040,3.880,7.2,38.00,13.5403,-47.2711,-27.3,0.6819,2,1,0.914,2.149,-0.97,4.36,1.73,0.17,,0.00,0.00,0.54,1,0,0,1,Radial Velocity,      2013.00
HD 118203 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,,680.39,,11.76,0.42,4.92,7.61,        571.0852,        1000.794,        1920.574,1245.4,1409.0,1686.6,,,,284.6,-30.14,22.49,6.13,0.0700,0.29,0.07,,332.7,HD 118203,HD 118203,HIP 66192,UMa,K0,1.23,2.31,5600.0,4.686703,0.100,4.600,8.1,88.60,13.5672,53.7283,-34.3,18.5028,1,0,1.642,3.888,-2.40,7.93,2.13,0.10,,0.00,0.00,0.08,1,0,0,1,Radial Velocity,      2005.00
HD 120084 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1430.73,1430.73,,11.68,0.90,10.50,11.07,       0.8391624,        3.077030,        19.99542,243.8,304.5,538.7,,,,1286.1,-24.07,22.33,2082.00,4.3000,0.66,3.23,,117.0,HD 120084,HD 120084,HIP 66903,UMi,G7 III,2.39,9.12,4892.0,42.739089,0.090,,5.9,97.70,13.7144,78.0617,-28.3,1.5045,1,0,5.146,12.497,-1.39,8.80,9.51,0.07,,0.00,0.00,0.31,0,0,0,1,Radial Velocity,      2013.00
HD 121504 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,387.89,387.89,,10.61,0.32,3.45,6.05,        14.30505,        15.18261,        16.12900,495.5,502.8,510.6,,,,126.0,-25.29,20.27,63.33,0.3300,0.03,0.33,,265.0,HD 121504,HD 121504,HIP 68162,Cen,G2 V,1.18,1.17,6075.0,1.652642,0.160,1.620,7.5,44.37,13.9547,-56.0400,-29.7,1.8854,1,0,0.948,2.216,-1.97,6.73,3.48,0.11,,0.00,0.00,0.18,0,0,0,1,Radial Velocity,      2003.00
HD 122430 b,,,Hot,Jovian,gas,hydrogen-rich,non-habitable,1179.56,1179.56,,11.64,0.75,8.70,10.07,        54.80154,        210.8959,        1509.852,693.2,868.8,1588.1,,,,881.9,-28.71,22.26,344.95,1.0200,0.68,0.75,,91.0,HD 122430,,,Hya,K3III,1.39,22.90,4300.0,160.855015,-0.050,3.110,5.5,135.00,14.0394,-27.4297,-32.9,16.3736,1,0,10.208,25.460,-2.22,8.41,4.28,0.09,,0.00,0.00,0.09,0,0,0,1,Radial Velocity,      2003.00
HD 122562 b,,,Cold,Jovian,gas,hydrogen-rich,non-habitable,7630.56,7630.56,,10.68,6.27,66.95,26.74,      0.04307112,       0.1788211,        1.496928,116.1,146.2,281.8,,,,47856.7,-20.84,20.39,2777.00,4.1000,0.71,2.89,,306.1,HD 122562,,,Boo,G5,1.13,1.98,4958.0,2.116238,0.310,,7.7,53.80,14.0392,20.8814,-25.2,0.3659,1,0,1.142,2.765,1.83,16.80,36.70,0.02,,0.00,0.00,0.19,0,0,0,1,Radial Velocity,      2016.00
HD 125595 b,,,Hot,Neptunian,gas,metals-rich,non-habitable,13.35,13.35,,4.06,0.20,0.81,1.81,        27.77180,        27.77180,        27.77181,584.9,584.9,584.9,,,,2.7,-23.86,7.73,9.67,0.0809,0.00,0.08,,0.0,HD 125595,HD 125595,HIP 70170,Cen,K4V,0.76,0.59,4908.0,0.181761,0.020,3.530,9.0,27.40,14.3564,-40.3939,-30.4,3.9065,1,0,0.335,0.814,-2.06,2.97,-0.28,0.22,,0.00,0.00,0.28,1,0,0,1,Radial Velocity,      2009.00
HD 125612 b,,,Warm,Jovian,gas,hydrogen-rich,non-habitable,953.82,953.82,,11.56,0.62,7.14,9.08,       0.2990776,       0.7177607,        2.185568,188.4,224.5,309.8,,,,588.8,-22.28,22.11,502.00,1.3700,0.46,1.22,,41.5,HD 125612,HD 125612,HIP 70123,Vir,G3V,1.10,1.05,5897.0,1.196170,0.240,2.100,8.3,52.82,14.3483,-17.4814,-26.5,0.4600,3,1,0.815,1.914,-0.13,8.04,9.57,0.07,,0.00,0.00,0.41,1,0,0,1,Radial Velocity,      2007.00
HD 125612 c,,,Hot,Neptunian,gas,metals-rich,non-habitable,18.44,18.44,,4.53,0.20,0.90,2.02,        296.7142,        496.9245,        897.8570,1057.4,1186.0,1394.6,,,,3.7,-27.28,8.61,4.15,0.0500,0.27,0.05,,103.0,HD 125612,HD 125612,HIP 70123,Vir,G3V,1.10,1.05,5897.0,1.196170,0.240,2.100,8.3,52.82,14.3483,-17.4814,-33.5,11.6429,3,1,0.815,1.914,-2.39,3.19,-0.61,0.20,,0.00,0.00,0.23,1,0,0,1,Radial Velocity,      2009.00
