P_NAME,P_RADIUS,P_RADIUS_EST,P_DETECTION,P_YEAR,P_SEMI_MAJOR_AXIS,P_PERIOD,P_MASS,P_DENSITY,P_HABZONE_CON
HD 6718 b,,13.455938,Radial Velocity,2009,3.5500000,2496.0000,533.95104,,0
HD 68402 b,,13.103687,Radial Velocity,2016,2.1800000,1103.0000,975.73197,,0
HD 68988 b,,13.361988,Radial Velocity,2001,0.070000000,6.2771100,626.12117,,0
HD 69830 b,,3.1739337,Radial Velocity,2006,0.078500000,8.6670000,10.202279,,0
HD 69830 c,,3.4564288,Radial Velocity,2006,0.18600000,31.560000,11.791419,,0
HD 69830 d,,4.4511957,Radial Velocity,2006,0.63000000,197.00000,18.116196,,0
HD 70573 b,,12.713733,Radial Velocity,2007,1.7600000,851.80000,1938.7508,,0
HD 70642 b,,13.398990,Radial Velocity,2003,3.1800000,2068.0000,587.98181,,0
HD 7199 b,,11.126015,Radial Velocity,2011,1.3600000,615.00000,85.813561,,1
HD 72490 b,,13.425744,Radial Velocity,2018,1.8800000,858.00000,561.91991,,0
HD 72659 b,,12.973804,Radial Velocity,2002,4.7500000,3658.0000,1223.6378,,0
HD 72892 b,,12.776919,Radial Velocity,2016,0.22800000,39.475000,1732.1626,,0
HD 73267 b,,13.105568,Radial Velocity,2008,2.1980000,1260.0000,972.55369,,0
HD 73526 b,,13.101812,Radial Velocity,2002,0.65000000,188.30000,978.91025,,0
HD 73526 c,,13.284082,Radial Velocity,2005,1.0300000,379.10000,715.11301,,0
HD 73534 b,,13.702474,Radial Velocity,2008,2.9900000,1750.0000,353.42474,,1
HD 74156 b,,13.415153,Radial Velocity,2003,0.29200000,51.645000,572.09041,,0
HD 74156 c,,12.558821,Radial Velocity,2003,3.8500000,2473.0000,2561.6937,,0
HD 7449 b,,14.183048,Radial Velocity,2011,2.3800000,1255.5000,161.45663,,0
HD 75289 b,,14.205580,Radial Velocity,1999,0.050000000,3.5092700,155.73572,,0
HD 75784 b,,13.766628,Radial Velocity,2014,1.0320000,341.20000,317.82800,,0
HD 75784 c,,12.757668,Radial Velocity,2018,8.4000000,7900.0000,1792.5499,,0
HD 75898 b,,13.175798,Radial Velocity,2007,1.1910000,422.90000,861.31389,,0
HD 76700 b,,9.5951891,Radial Velocity,2002,0.050000000,3.9709700,66.743881,,0
HD 76920 b,,12.962069,Radial Velocity,2017,1.1490000,415.40000,1249.0641,,0
HD 77338 b,,4.5877261,Radial Velocity,2012,0.060000000,5.7361000,19.069680,,0
HD 7924 b,,2.4020004,Radial Velocity,2008,0.060000000,5.3979200,6.3565601,,0
HD 7924 c,,2.7219203,Radial Velocity,2015,0.11340000,15.299000,7.8598865,,0
HD 7924 d,,2.4203436,Radial Velocity,2015,0.15510000,24.451000,6.4391953,,0
HD 79498 b,,13.590486,Radial Velocity,2011,2.9800000,1807.0000,425.88952,,0
HD 80606 b,11.994700,11.994700,Radial Velocity,2001,,111.43670,1392.0867,0.80667406,0
HD 81040 b,,12.615953,Radial Velocity,2005,1.9400000,1001.7000,2310.6096,,0
HD 81688 b,,13.177942,Radial Velocity,2007,0.81000000,184.02000,858.13561,,0
HD 82886 b,,13.263677,Radial Velocity,2011,1.5800000,705.00000,740.53925,,0
HD 82943 b,,13.455586,Radial Velocity,2003,1.1830600,441.47000,534.26887,,1
HD 82943 c,,13.365281,Radial Velocity,2003,0.74345000,220.07800,622.62506,,0
HD 8326 b,,9.5830736,Radial Velocity,2019,0.53300000,158.99100,66.600858,,0
HD 83443 b,,12.744050,Radial Velocity,2002,0.040000000,2.9857000,108.06152,,0
HD 8535 b,,14.002230,Radial Velocity,2010,2.4500000,1313.0000,216.12304,,0
HD 85390 b,,6.1616287,Radial Velocity,2009,1.3730000,799.52000,31.464972,,0
HD 85512 b,,1.5968584,Radial Velocity,2011,0.26000000,58.430000,3.1782800,,0
HD 8574 b,,13.344360,Radial Velocity,2002,0.76000000,227.00000,645.19085,,0
HD 86081 b,,13.531193,Radial Velocity,2006,0.034600000,2.1378431,470.38544,,0
HD 86226 b,,13.817228,Radial Velocity,2009,2.8400000,1695.0000,292.40176,,0
HD 86264 b,,12.636979,Radial Velocity,2009,2.8600000,1475.0000,2224.7960,,1
HD 8673 b,,12.249742,Radial Velocity,2009,3.0200000,1634.0000,4513.1576,,0
HD 86950 b,,13.012187,Radial Velocity,2016,2.7200000,1270.0000,1144.1808,,0
HD 87646 b,,12.323017,Radial Velocity,2016,0.11700000,13.481000,3941.0672,,0
HD 87883 b,,13.507553,Radial Velocity,2009,3.5800000,2754.0000,489.45512,,0
HD 88133 b,,11.474158,Radial Velocity,2004,0.047900000,3.4148840,90.422067,,0
HD 89307 b,,13.321685,Radial Velocity,2009,3.2700000,2166.0000,670.61709,,0
HD 89345 b,7.3986000,7.3986000,Transit,2018,0.10660000,11.814300,34.961080,0.086324922,0
HD 89744 b,,12.539303,Radial Velocity,1999,0.91700000,256.78000,2653.8638,,0
HD 90156 b,,4.4511957,Radial Velocity,2009,0.25000000,49.770000,18.116196,,0
HD 9174 b,,13.703559,Radial Velocity,2016,2.2000000,1179.0000,352.78908,,1
HD 92788 b,,12.987313,Radial Velocity,2000,0.97000000,325.80300,1195.0333,,0
HD 92788 c,,13.001165,Radial Velocity,2019,10.500000,11611.298,1166.4288,,0
HD 92987 b,,12.156910,Radial Velocity,2019,9.6200000,10354.837,5364.9367,,0
HD 93083 b,,13.394830,Radial Velocity,2005,0.47700000,143.58000,117.59636,,0
HD 9446 b,,13.984382,Radial Velocity,2009,0.18900000,30.052000,222.47960,,0
HD 9446 c,,13.408631,Radial Velocity,2009,0.65400000,192.90000,578.44697,,0
HD 94834 b,,13.627346,Radial Velocity,2018,2.7400000,1576.0000,400.46328,,0
HD 95086 b,,12.825459,Imaging,2013,55.700000,,1589.1400,,0
HD 95089 b,,13.036576,Radial Velocity,2009,3.3300000,1785.0000,1096.5066,,0
HD 95089 c,,13.627346,Radial Velocity,2018,1.3600000,464.40000,400.46328,,0
HD 95127 b,,12.406810,Radial Velocity,2015,1.2800000,482.00000,3378.5117,,0
HD 95872 b,,12.990362,Radial Velocity,2015,5.1500000,4375.0000,1188.6767,,0
HD 96063 b,,13.622607,Radial Velocity,2011,1.1100000,362.50000,403.64156,,0
HD 96127 b,,12.041660,Radial Velocity,2011,1.4200000,647.29999,6661.6749,,0
HD 96167 b,,13.969625,Radial Velocity,2009,1.3320000,498.04000,227.88268,,0
HD 97658 b,2.3541000,2.3541000,Radial Velocity,2010,,9.4909000,9.5348401,0.73086756,0
HD 98219 b,,13.363782,Radial Velocity,2011,1.2600000,433.80000,624.21420,,0
HD 98649 b,,12.653927,Radial Velocity,2012,6.5700000,6022.9725,2158.0521,,0
HD 98736 b,,13.263677,Radial Velocity,2018,1.8640000,968.80000,740.53925,,0
HD 99109 b,,14.273013,Radial Velocity,2005,1.1100000,439.29999,139.84432,,1
HD 99492 b,,5.0237627,Radial Velocity,2004,0.12000000,17.043100,22.247960,,0
HD 99706 b,,13.641803,Radial Velocity,2011,1.9800000,841.00000,390.92844,,0
HD 99706 c,,12.752715,Radial Velocity,2018,,1278.0000,1808.4413,,0
HIP 105854 b,,12.549308,Radial Velocity,2014,0.81000000,184.20000,2606.1896,,0
HIP 107773 b,,13.359012,Radial Velocity,2015,0.72000000,144.30000,629.29945,,0
HIP 109384 b,,13.499887,Radial Velocity,2016,1.1340000,499.48000,495.81168,,1
HIP 109600 b,,13.182254,Radial Velocity,2016,0.70600000,232.08000,851.77905,,0
HIP 116454 b,2.4662000,2.4662000,Transit,2014,,9.1205000,12.713120,0.84755378,0
HIP 12961 b,,13.180399,Radial Velocity,2010,0.25000000,57.435000,114.41808,,0
HIP 14810 b,,12.966440,Radial Velocity,2005,0.069600000,6.6738920,1239.5292,,0
HIP 14810 c,,13.604033,Radial Velocity,2006,0.54900000,147.74700,416.35468,,0
HIP 14810 d,,14.089972,Radial Velocity,2009,1.9400000,981.80000,187.51852,,0
HIP 35173 b,,3.6109693,Radial Velocity,2019,0.21700000,41.516000,12.700407,,0
HIP 41378 b,,0.0000000,Transit,2016,,15.572098,,,0
HIP 41378 c,,0.0000000,Transit,2016,,31.706480,,,0
HIP 41378 d,,0.0000000,Transit,2016,,1114.0000,,,1
HIP 41378 e,,0.0000000,Transit,2016,,,,,0
HIP 41378 f,,0.0000000,Transit,2016,,1084.0000,,,1
HIP 5158 b,,13.791378,Radial Velocity,2009,0.89000000,345.72000,305.11488,,1
HIP 5158 c,,12.218803,Radial Velocity,2011,7.7000000,9017.7600,4780.1332,,0
HIP 54373 b,,2.8739157,Radial Velocity,2019,0.063000000,7.7600000,8.6194954,,0
HIP 54373 c,,3.5671391,Radial Velocity,2019,0.099000000,15.144000,12.439788,,0
HIP 57274 b,,2.4020004,Radial Velocity,2011,0.070000000,8.1352000,6.3565601,,0
HIP 57274 c,,14.209667,Radial Velocity,2011,0.17800000,32.030000,129.99801,,0
HIP 57274 d,,14.160507,Radial Velocity,2011,1.0100000,431.70000,167.40001,,0
HIP 63242 b,,12.487126,Radial Velocity,2013,0.56500000,124.60000,2917.6611,,0
HIP 65407 b,,14.290390,Radial Velocity,2016,0.17700000,28.125000,136.03039,,0
HIP 65407 c,,13.914824,Radial Velocity,2016,0.31600000,67.300000,249.17715,,0
HIP 65426 b,16.815000,16.815000,Imaging,2017,92.000000,,2860.4520,0.60165018,0
HIP 65891 b,,12.722982,Radial Velocity,2015,2.8100000,1084.5000,1906.9680,,0
HIP 67537 b,,12.383214,Radial Velocity,2017,4.9100000,2556.5000,3527.8908,,0
HIP 67851 b,,13.572908,Radial Velocity,2015,0.46000000,88.900000,438.60264,,0
HIP 67851 c,,12.724853,Radial Velocity,2015,3.8200000,2131.8000,1900.6115,,0
HIP 70849 b,,12.498012,Radial Velocity,2009,20.250000,17337.500,2860.4520,,0
HIP 71135 b,,4.5493331,Radial Velocity,2019,0.33500000,87.190000,18.799526,,0
HIP 74890 b,,13.246413,Radial Velocity,2016,2.1000000,822.30000,762.78721,,0
HIP 78530 b,,11.992551,Imaging,2010,740.00000,,7310.0441,,0
HIP 79431 b,,13.324471,Radial Velocity,2009,0.36000000,111.70000,667.43881,,1
HIP 8541 b,,12.771786,Radial Velocity,2016,2.8000000,1560.2000,1748.0540,,0
HIP 91258 b,,13.714527,Radial Velocity,2013,0.060000000,5.0505000,346.43252,,0
HIP 97233 b,,12.066526,Radial Velocity,2014,2.5500000,1058.8000,6356.5601,,0
HN Peg b,11.781710,11.781710,Imaging,2006,773.00000,,6991.8029,4.2752763,0
HR 2562 b,12.443100,12.443100,Imaging,2016,20.300000,,9534.8401,4.9491160,0
HR 810 b,,13.278911,Radial Velocity,1999,0.92000000,302.79999,721.46957,,0
HR 8799 b,13.452000,13.452000,Imaging,2008,68.000000,170000.00,2224.7960,0.91396511,0
HR 8799 c,13.452000,13.452000,Imaging,2008,38.000000,69000.000,3178.2800,1.3056644,0
HR 8799 d,13.452000,13.452000,Imaging,2008,24.000000,37000.000,3178.2800,1.3056644,0
HR 8799 e,,0.0000000,Imaging,2010,14.500000,18000.000,,,0
IC 4651 9122 b,,12.695699,Radial Velocity,2018,2.0380000,734.00000,2002.3164,,0
iot Dra b,,12.509127,Radial Velocity,2002,1.2750000,511.09800,2803.2430,,0
K2-10 b,3.8450300,3.8450300,Transit,2015,,19.304400,26.999489,0.47495924,0
K2-100 b,3.5872000,3.5872000,Transit,2016,0.029600000,1.6738330,,,0
K2-101 b,1.9953800,1.9953800,Transit,2016,,14.677286,,,0
K2-102 b,1.3003600,1.3003600,Transit,2016,,9.9156150,,,0
K2-104 b,1.9617500,1.9617500,Transit,2016,0.023000000,1.9742380,,,0
K2-105 b,3.3742100,3.3742100,Transit,2017,0.079600000,8.2677040,,,0
K2-107 b,15.985460,15.985460,Transit,2017,0.047500000,3.3139590,,,0
K2-108 b,5.3359600,5.3359600,Transit,2017,0.058100000,4.7339990,,,0
K2-11 b,7.5555400,7.5555400,Transit,2015,0.22570000,39.937670,,,0
K2-110 b,2.5558800,2.5558800,Transit,2017,0.10270000,13.863870,,,0
K2-111 b,1.9057000,1.9057000,Transit,2017,0.062100000,5.3511700,8.6004258,1.2426715,0
K2-113 b,12.140430,12.140430,Transit,2017,0.064200000,5.8176850,,,0
K2-114 b,10.671920,10.671920,Transit,2017,0.095400000,11.391013,,,0
K2-115 b,12.061960,12.061960,Transit,2017,0.14300000,20.272615,,,0
K2-116 b,0.69502000,0.69502000,Transit,2017,0.048000000,4.6554110,,,0
K2-117 b,2.0290100,2.0290100,Transit,2017,0.018900000,1.2916000,,,0
K2-117 c,2.0626400,2.0626400,Transit,2017,0.049200000,5.4440170,,,0
K2-118 b,2.5446700,2.5446700,Transit,2017,0.24500000,50.920920,,,0
K2-119 b,2.5334600,2.5334600,Transit,2017,0.069800000,7.7272830,,,0
K2-12 b,2.3316800,2.3316800,Transit,2015,0.080200000,8.2821200,,,0
K2-120 b,2.0065900,2.0065900,Transit,2017,0.078000000,9.5627420,,,0
K2-121 b,7.4994900,7.4994900,Transit,2017,0.052500000,5.1857610,,,0
K2-122 b,1.2106800,1.2106800,Transit,2017,0.028500000,2.2192820,,,0
K2-123 b,2.7576600,2.7576600,Transit,2017,0.16490000,30.951524,,,0
K2-124 b,2.9033900,2.9033900,Transit,2017,0.049000000,6.4136510,,,0
K2-125 b,2.1747400,2.1747400,Transit,2017,0.12100000,21.750264,,,0
K2-126 b,1.9729600,1.9729600,Transit,2017,0.065600000,7.3856550,,,0
K2-127 b,8.3738700,8.3738700,Transit,2017,0.041100000,3.5881630,,,0
K2-128 b,1.4236700,1.4236700,Transit,2017,0.056000000,5.6758190,,,0
K2-129 b,1.0425300,1.0425300,Transit,2017,0.057000000,8.2394930,,,0
K2-13 b,1.8944900,1.8944900,Transit,2015,0.21140000,39.914880,,,0
K2-130 b,1.2555200,1.2555200,Transit,2017,0.032000000,2.4941200,,,0
K2-131 b,1.7039200,1.7039200,Transit,2017,0.0095000000,0.36931000,,,0
K2-132 b,14.573000,14.573000,Transit,2017,,9.1751000,155.73572,0.050320082,0
K2-133 b,1.3452000,1.3452000,Transit,2017,0.031940000,3.0713300,,,0
K2-133 c,1.6030300,1.6030300,Transit,2017,0.043410000,4.8678400,,,0
K2-133 d,2.0065900,2.0065900,Transit,2017,0.074870000,11.024540,,,0
K2-133 e,1.7263400,1.7263400,Transit,2019,0.13460000,26.584100,,,0
K2-136 b,0.98648000,0.98648000,Transit,2017,,7.9752920,,,0
K2-136 c,2.9146000,2.9146000,Transit,2017,,17.307137,,,0
K2-136 d,1.4460900,1.4460900,Transit,2017,,25.575065,,,0
K2-137 b,0.88559000,0.88559000,Transit,2017,0.0058000000,0.17971500,158.91400,228.80423,0
K2-138 b,1.5694000,1.5694000,Transit,2017,0.033800000,2.3532200,,,0
K2-138 c,2.5222500,2.5222500,Transit,2017,0.044540000,3.5598700,,,0
K2-138 d,2.6567700,2.6567700,Transit,2017,0.058830000,5.4047800,,,0
K2-138 e,3.2957400,3.2957400,Transit,2017,0.078070000,8.2614400,,,0
K2-138 f,2.8137100,2.8137100,Transit,2017,0.10430000,12.757590,,,0
K2-139 b,9.1137300,9.1137300,Transit,2017,0.17960000,28.380619,,,0
K2-14 b,4.8090900,4.8090900,Transit,2015,0.062700000,8.3680200,,,0
K2-140 b,12.252530,12.252530,Transit,2017,0.068700000,6.5691800,,,0
K2-141 b,1.5133500,1.5133500,Transit,2018,,0.28032440,5.0788915,1.4653818,0
K2-141 c,6.9950400,6.9950400,Transit,2018,,7.7485000,7.3990359,0.021617453,0
K2-146 b,2.1523200,2.1523200,Transit,2018,0.025900000,2.6446610,,,0
K2-147 b,1.3788300,1.3788300,Transit,2018,0.015900000,0.96191700,,,0
K2-148 b,1.3339900,1.3339900,Transit,2018,0.045400000,4.3839500,,,0
K2-148 c,1.7263400,1.7263400,Transit,2018,0.061600000,6.9226000,,,0
K2-148 d,1.6366600,1.6366600,Transit,2018,0.077400000,9.7579000,,,0
K2-149 b,1.6366600,1.6366600,Transit,2018,0.083000000,11.332000,,,0
K2-15 b,2.4774100,2.4774100,Transit,2015,0.091000000,11.810400,,,0
K2-150 b,1.9953800,1.9953800,Transit,2018,0.072700000,10.593570,,,0
K2-151 b,1.4909300,1.4909300,Transit,2018,0.037300000,3.8354760,,,0
K2-152 b,2.2868400,2.2868400,Transit,2018,0.17160000,32.647900,,,0
K2-153 b,1.9953800,1.9953800,Transit,2018,0.061400000,7.5157400,,,0
K2-154 b,1.9953800,1.9953800,Transit,2018,0.040500000,3.6762600,,,0
K2-154 c,2.0738500,2.0738500,Transit,2018,0.067700000,7.9548600,,,0
K2-155 b,1.8048100,1.8048100,Transit,2018,0.056200000,6.3420000,,,0
K2-155 c,2.6007200,2.6007200,Transit,2018,0.094600000,13.850000,,,0
K2-155 d,1.9057000,1.9057000,Transit,2018,0.19370000,40.718000,,,0
K2-156 b,1.1546300,1.1546300,Transit,2018,0.014900000,0.81314000,,,0
K2-157 b,1.0537400,1.0537400,Transit,2018,,0.36525700,,,0
K2-158 b,2.6455600,2.6455600,Transit,2018,0.088700000,10.060490,,,0
K2-158 c,1.2779400,1.2779400,Transit,2018,0.062200000,5.9027900,,,0
K2-159 b,2.2644200,2.2644200,Transit,2018,0.10130000,12.422050,,,0
K2-16 b,2.0178000,2.0178000,Transit,2015,0.066700000,7.6188000,,,0
K2-16 c,2.5446700,2.5446700,Transit,2015,0.12290000,19.078630,,,0
K2-160 b,3.1836400,3.1836400,Transit,2018,,3.7058710,,,0
K2-161 b,6.1206600,6.1206600,Transit,2018,,9.2831880,,,0
K2-162 b,1.4348800,1.4348800,Transit,2018,0.079500000,9.4588900,,,0
K2-163 b,2.4662000,2.4662000,Transit,2018,,6.6731170,,,0
K2-164 b,3.2509000,3.2509000,Transit,2018,,17.355066,,,0
K2-165 b,1.2779400,1.2779400,Transit,2018,,2.3549920,,,0
K2-165 c,1.5581900,1.5581900,Transit,2018,,4.3827450,,,0
K2-165 d,2.6455600,2.6455600,Transit,2018,,14.101361,,,0
K2-166 b,2.1859500,2.1859500,Transit,2018,0.085800000,8.5269500,,,0
K2-167 b,2.8249200,2.8249200,Transit,2018,,9.9774810,,,0
K2-168 b,2.1411100,2.1411100,Transit,2018,,15.853989,,,0
K2-169 b,1.2779400,1.2779400,Transit,2018,,6.3808030,,,0
K2-17 b,2.2307900,2.2307900,Transit,2015,0.11900000,17.967530,,,0
K2-170 b,1.4236700,1.4236700,Transit,2018,,7.5765440,,,0
K2-170 c,1.8048100,1.8048100,Transit,2018,,12.400047,,,0
K2-171 b,2.6904000,2.6904000,Transit,2018,,5.6284660,,,0
K2-172 b,1.6702900,1.6702900,Transit,2018,,14.316941,,,0
K2-172 c,3.2060600,3.2060600,Transit,2018,,29.626820,,,0
K2-173 b,1.6030300,1.6030300,Transit,2018,,5.8686990,,,0
K2-174 b,2.6007200,2.6007200,Transit,2018,0.12600000,19.562307,,,0
K2-175 b,2.0402200,2.0402200,Transit,2018,,9.5259880,,,0
K2-176 b,1.4909300,1.4909300,Transit,2018,,5.3294390,,,0
K2-177 b,2.1186900,2.1186900,Transit,2018,,14.155185,,,0
K2-178 b,3.5535700,3.5535700,Transit,2018,,8.7478180,,,0
K2-179 b,2.5110400,2.5110400,Transit,2018,,5.1721910,,,0
K2-18 b,2.3653100,2.3653100,Transit,2015,0.14290000,32.939623,8.9214320,0.67417146,0
K2-18 c,,2.6499429,Radial Velocity,2017,0.060000000,8.9620000,7.5102757,,0
K2-180 b,2.3092600,2.3092600,Transit,2018,0.075300000,8.8672090,,,0
K2-181 b,2.8361300,2.8361300,Transit,2018,0.070600000,6.8942560,,,0
K2-182 b,2.7576600,2.7576600,Transit,2018,0.052900000,4.7368370,,,0
K2-183 b,2.6007200,2.6007200,Transit,2018,,0.46926900,,,0
K2-183 c,2.8697600,2.8697600,Transit,2018,0.093200000,10.792635,,,0
K2-183 d,2.8585500,2.8585500,Transit,2018,0.15270000,22.631964,,,0
K2-184 b,1.5469800,1.5469800,Transit,2018,0.12290000,16.995731,,,0
K2-185 b,1.3115700,1.3115700,Transit,2018,,10.616646,,,0
K2-186 b,3.1724300,3.1724300,Transit,2018,,41.474219,,,0
K2-187 b,1.3003600,1.3003600,Transit,2018,0.016400000,0.77392000,,,0
K2-187 c,1.8048100,1.8048100,Transit,2018,0.039200000,2.8720420,,,0
K2-187 d,3.1724300,3.1724300,Transit,2018,0.072000000,7.1492100,,,0
K2-187 e,2.3765200,2.3765200,Transit,2018,0.11060000,13.609878,,,0
K2-188 b,1.3452000,1.3452000,Transit,2018,0.028900000,1.7421690,,,0
K2-188 c,2.8249200,2.8249200,Transit,2018,0.078500000,7.8102530,,,0
K2-189 b,1.5245600,1.5245600,Transit,2018,0.036100000,2.5883090,,,0
K2-189 c,2.4998300,2.4998300,Transit,2018,0.068000000,6.6791950,,,0
K2-19 b,7.7461100,7.7461100,Transit,2015,0.074000000,7.9194000,,,0
K2-19 c,4.8651400,4.8651400,Transit,2015,0.097100000,11.907150,,,0
K2-19 d,1.1434200,1.1434200,Transit,2016,0.034400000,2.5085600,,,0
K2-190 b,1.3564100,1.3564100,Transit,2018,,10.098858,,,0
K2-190 c,1.0985800,1.0985800,Transit,2018,,21.574023,,,0
K2-191 b,1.5806100,1.5806100,Transit,2018,,2.8586460,,,0
K2-192 b,1.5245600,1.5245600,Transit,2018,0.049000000,4.1628170,,,0
K2-193 b,3.9459200,3.9459200,Transit,2018,0.11840000,14.786889,,,0
K2-194 b,3.6432500,3.6432500,Transit,2018,,39.721386,,,0
K2-195 b,3.1275900,3.1275900,Transit,2018,0.12080000,15.852975,,,0
K2-195 c,2.5783000,2.5783000,Transit,2018,,28.482786,,,0
K2-196 b,3.5984100,3.5984100,Transit,2018,,48.324222,,,0
K2-197 b,2.5558800,2.5558800,Transit,2018,0.080600000,8.3578810,,,0
K2-198 b,4.1140700,4.1140700,Transit,2018,,17.043179,,,0
K2-199 b,1.8720700,1.8720700,Transit,2018,0.038500000,3.2253380,,,0
K2-199 c,2.7800800,2.7800800,Transit,2018,0.066800000,7.3746940,,,0
K2-200 b,1.3676200,1.3676200,Transit,2018,,2.8498830,,,0
K2-201 b,1.4012500,1.4012500,Transit,2018,,1.0597900,,,0
K2-201 c,3.2845300,3.2845300,Transit,2018,,22.779878,,,0
K2-202 b,2.2980500,2.2980500,Transit,2018,,3.4051640,,,0
K2-203 b,1.3676200,1.3676200,Transit,2018,,9.6951010,,,0
K2-204 b,3.0491200,3.0491200,Transit,2018,,7.0557840,,,0
K2-205 b,1.9953800,1.9953800,Transit,2018,,26.672263,,,0
K2-206 b,2.7912900,2.7912900,Transit,2018,,18.294549,,,0
K2-207 b,2.6007200,2.6007200,Transit,2018,,12.487490,,,0
K2-208 b,1.6815000,1.6815000,Transit,2018,,4.1909480,,,0
K2-209 b,0.86317000,0.86317000,Transit,2018,,2.0806150,,,0
K2-21 b,1.8384400,1.8384400,Transit,2015,0.076000000,9.3250380,,,0
K2-21 c,2.4886200,2.4886200,Transit,2015,0.10700000,15.501920,,,0
K2-210 b,0.81833000,0.81833000,Transit,2018,,0.57023300,,,0
K2-211 b,1.3788300,1.3788300,Transit,2018,,0.66955800,,,0
K2-212 b,2.5222500,2.5222500,Transit,2018,0.078500000,9.7955100,,,0
K2-213 b,1.5133500,1.5133500,Transit,2018,,8.1308700,,,0
K2-214 b,2.4325700,2.4325700,Transit,2018,0.083400000,8.5968020,,,0
K2-215 b,2.1186900,2.1186900,Transit,2018,,8.2696480,,,0
K2-216 b,1.7487600,1.7487600,Transit,2018,0.028000000,2.1748000,7.9997308,1.4958386,0
K2-217 b,3.5759900,3.5759900,Transit,2018,,14.074524,,,0
K2-218 b,2.5670900,2.5670900,Transit,2018,,8.6798850,,,0
K2-219 b,1.3452000,1.3452000,Transit,2018,,3.9012870,,,0
K2-219 c,1.4348800,1.4348800,Transit,2018,,6.6676700,,,0
K2-219 d,2.5783000,2.5783000,Transit,2018,,11.137278,,,0
K2-22 b,2.4998300,2.4998300,Transit,2015,0.0088000000,0.38107800,444.95920,28.483199,0
K2-220 b,2.3877300,2.3877300,Transit,2018,0.11040000,13.683256,,,0
K2-221 b,1.6815000,1.6815000,Transit,2018,,2.3990940,,,0
K2-222 b,2.3877300,2.3877300,Transit,2018,0.12110000,15.387063,,,0
K2-223 b,0.88559000,0.88559000,Transit,2018,0.012700000,0.50565000,,,0
K2-223 c,1.5694000,1.5694000,Transit,2018,0.054900000,4.5632700,,,0
K2-224 b,1.5581900,1.5581900,Transit,2018,0.051600000,4.4790400,,,0
K2-224 c,2.4101500,2.4101500,Transit,2018,0.088600000,10.094890,,,0
K2-225 b,3.4863100,3.4863100,Transit,2018,0.13400000,15.872090,,,0
K2-226 b,1.5357700,1.5357700,Transit,2018,0.041300000,3.2710800,,,0
K2-227 b,1.6702900,1.6702900,Transit,2018,,13.621832,,,0
K2-228 b,1.2106800,1.2106800,Transit,2018,0.033800000,2.6982800,,,0
K2-229 b,1.1434200,1.1434200,Transit,2018,0.013100000,0.58426000,,,0
K2-229 c,2.0290100,2.0290100,Transit,2018,0.076900000,8.3272700,,,0
K2-230 b,1.9617500,1.9617500,Transit,2018,0.040900000,2.8604100,,,0
K2-231 b,2.4998300,2.4998300,Transit,2018,,13.841901,,,0
K2-232 b,11.210000,11.210000,Transit,2018,0.10356000,11.168454,126.49555,0.089796289,0
K2-233 b,1.4012500,1.4012500,Transit,2018,0.033170000,2.4674600,,,0
K2-233 c,1.3339900,1.3339900,Transit,2018,0.066870000,7.0614200,,,0
K2-233 d,2.6455600,2.6455600,Transit,2018,0.15270000,24.366200,,,0
K2-237 b,18.406820,18.406820,Transit,2018,0.035300000,2.1805577,392.83541,0.062990395,0
K2-238 b,14.573000,14.573000,Transit,2018,0.046000000,3.2046600,273.33208,0.088316879,0
K2-239 b,1.0985800,1.0985800,Transit,2018,0.044100000,5.2400000,,,0
K2-239 c,0.99769000,0.99769000,Transit,2018,0.057600000,7.7750000,,,0
K2-239 d,1.0985800,1.0985800,Transit,2018,0.068500000,10.115000,,,0
K2-24 b,5.4032200,5.4032200,Transit,2016,,20.889770,18.999758,0.12044537,0
K2-24 c,7.4994900,7.4994900,Transit,2016,,42.339100,15.398767,0.036508227,0
K2-240 b,1.9953800,1.9953800,Transit,2018,0.051300000,6.0340000,,,0
K2-240 c,1.8048100,1.8048100,Transit,2018,0.11590000,20.523000,,,0
K2-241 b,2.5446700,2.5446700,Transit,2018,0.15670000,26.819900,,,0
K2-242 b,2.5446700,2.5446700,Transit,2018,0.049400000,6.5138900,,,0
K2-243 b,2.1747400,2.1747400,Transit,2018,0.10870000,11.541820,,,0
K2-243 c,2.0065900,2.0065900,Transit,2018,0.18170000,24.945980,,,0
K2-244 b,1.7487600,1.7487600,Transit,2018,0.14180000,21.068840,,,0
K2-245 b,4.3382700,4.3382700,Transit,2018,0.095900000,11.893070,,,0
K2-246 b,3.4863100,3.4863100,Transit,2018,0.060200000,5.7691800,,,0
K2-247 b,2.1186900,2.1186900,Transit,2018,0.030400000,2.2502100,,,0
K2-247 c,2.1859500,2.1859500,Transit,2018,0.061500000,6.4942400,,,0
K2-248 b,2.5670900,2.5670900,Transit,2018,0.069900000,7.1725600,,,0
K2-249 b,2.7912900,2.7912900,Transit,2018,0.11510000,12.409000,,,0
K2-25 b,3.4302600,3.4302600,Transit,2015,,3.4845520,,,0
K2-250 b,2.4437800,2.4437800,Transit,2018,0.045900000,4.0145700,,,0
K2-251 b,2.3541000,2.3541000,Transit,2018,0.069400000,9.3007500,,,0
K2-252 b,1.7375500,1.7375500,Transit,2018,0.10410000,13.815130,,,0
