P_NAME,P_RADIUS,P_RADIUS_EST,P_DETECTION,P_YEAR,P_SEMI_MAJOR_AXIS,P_PERIOD,P_MASS,P_DENSITY,P_HABZONE_CON
GJ 411 b,,1.5406737,Radial Velocity,2019,0.078500000,12.953200,2.9907615,,0
GJ 4276 b,,4.2230968,Radial Velocity,2019,0.082000000,13.352000,16.568374,,0
GJ 433 b,,2.4020004,Radial Velocity,2011,0.060000000,7.3709000,6.3565601,,0
GJ 436 b,4.1701200,4.1701200,Radial Velocity,2004,0.029100000,2.6438831,22.247960,0.30679236,0
GJ 504 b,,12.952003,Imaging,2013,43.500000,,1271.3120,,0
GJ 536 b,,2.1721284,Radial Velocity,2016,0.066610000,8.7076000,5.3585801,,0
GJ 581 b,,4.0140343,Radial Velocity,2005,0.041000001,5.3680000,15.200000,,0
GJ 581 c,,2.2414150,Radial Velocity,2007,0.074000001,12.919000,5.6520000,,0
GJ 581 e,,1.1605170,Radial Velocity,2009,0.028999999,3.1530001,1.6570000,,0
GJ 625 b,,1.4879674,Radial Velocity,2017,0.078361000,14.628000,2.8191344,,0
GJ 649 b,,12.477169,Radial Velocity,2009,1.1350000,598.30000,104.24758,,0
GJ 667 C b,,2.2574697,Radial Velocity,2011,0.050500000,7.2004000,5.7209041,,0
GJ 667 C c,,1.7778870,Radial Velocity,2011,0.12500000,28.140000,3.8139360,,0
GJ 667 C e,,1.4001882,Radial Velocity,2013,0.21300000,62.240000,2.5426240,,1
GJ 667 C f,,1.4001882,Radial Velocity,2013,0.15600000,39.026000,2.5426240,,1
GJ 667 C g,,1.9468648,Radial Velocity,2013,0.54900000,256.20000,4.4495920,,0
GJ 674 b,,3.3398154,Radial Velocity,2007,0.039000000,4.6938000,11.123980,,0
GJ 676 A b,,12.829992,Radial Velocity,2010,1.8200000,1056.8001,1576.4269,,0
GJ 676 A c,,12.653108,Radial Velocity,2016,6.6000000,7337.0000,2161.2304,,0
GJ 676 A d,,1.9468648,Radial Velocity,2012,,3.6005000,4.4495920,,0
GJ 676 A e,,2.7393849,Radial Velocity,2012,,35.390000,7.9457001,,0
GJ 685 b,,2.9481483,Radial Velocity,2019,0.13440000,24.160000,9.0008890,,0
GJ 687 b,,4.5877261,Radial Velocity,2014,0.17000000,38.140000,19.069680,,1
GJ 832 b,,14.002230,Radial Velocity,2008,3.5600000,3657.0000,216.12304,,0
GJ 832 c,,2.1827340,Radial Velocity,2014,0.16300000,35.680000,5.4030760,,0
GJ 849 b,,13.766628,Radial Velocity,2006,2.3500000,1882.0000,317.82800,,0
GJ 86 b,,12.895227,Radial Velocity,1999,0.11000000,15.764910,1404.7998,,0
GJ 876 b,,13.277472,Radial Velocity,1998,0.20831700,61.116600,723.24940,,0
GJ 876 c,,13.972031,Radial Velocity,2000,0.12959000,30.088100,226.99276,,0
GJ 876 d,,2.4720290,Radial Velocity,2005,0.020807000,1.9377800,6.6743881,,0
GJ 876 e,,3.9231124,Radial Velocity,2010,0.33430000,124.26000,14.620088,,0
GJ 96 b,,4.6709671,Radial Velocity,2018,0.29100000,73.940000,19.660840,,0
GJ 9827 b,1.6254500,1.6254500,Transit,2017,0.018880000,1.2089802,3.4198293,0.79631259,0
GJ 9827 c,1.2667300,1.2667300,Transit,2017,0.039420000,3.6480830,2.4186711,1.1899388,0
GJ 9827 d,2.0738500,2.0738500,Transit,2017,0.056150000,6.2014670,5.1996661,0.58296627,0
Gl 378 b,,3.6644504,Radial Velocity,2019,0.039435000,3.8220000,13.021413,,0
Gl 49 b,,2.2359760,Radial Velocity,2019,0.090500000,13.850800,5.6287339,,0
Gl 686 b,,2.4643939,Radial Velocity,2018,0.091700000,15.531400,6.6394270,,0
GQ Lup b,33.630000,33.630000,Imaging,2004,100.00000,,6356.5601,0.16712505,0
GSC 06214-00210 b,,12.185583,Imaging,2010,320.00000,,5085.2480,,0
GU Psc b,14.180650,14.180650,Imaging,2014,2000.0000,,3591.4564,1.2594536,0
HAT-P-1 b,14.785990,14.785990,Transit,2006,0.055610000,4.4652998,166.85970,0.051617888,0
HAT-P-11 b,4.3606900,4.3606900,Transit,2008,0.052540000,4.8878024,23.398498,0.28217746,0
HAT-P-11 c,,13.486643,Radial Velocity,2018,4.1300000,3407.0000,506.99605,,0
HAT-P-12 b,10.750390,10.750390,Transit,2009,0.038400000,3.2130598,67.061709,0.053976156,0
HAT-P-13 b,14.259120,14.259120,Transit,2009,,2.9162500,270.47163,0.093291815,0
HAT-P-13 c,,12.246714,Radial Velocity,2009,,446.27000,4538.5839,,0
HAT-P-14 b,15.918200,15.918200,Transit,2010,,4.6276700,1093.3283,0.27106205,0
HAT-P-15 b,11.882600,11.882600,Transit,2010,,10.863500,616.58633,0.36750178,0
HAT-P-16 b,14.449690,14.449690,Transit,2010,0.041300000,2.7759600,1332.6528,0.44171427,0
HAT-P-17 b,11.770500,11.770500,Transit,2010,,10.338520,184.34024,0.11304085,0
HAT-P-17 c,,13.044953,Radial Velocity,2010,5.6000000,5584.0000,1080.6152,,0
HAT-P-18 b,11.153950,11.153950,Transit,2010,0.055900000,5.5080230,62.612117,0.045120333,0
HAT-P-19 b,12.689720,12.689720,Transit,2010,0.046600000,4.0087780,92.805777,0.045417046,0
HAT-P-2 b,,12.521757,Transit,2007,0.068140000,5.6335158,2739.6774,,0
HAT-P-20 b,9.7190700,9.7190700,Transit,2010,0.036100000,2.8753170,2302.9817,2.5085130,0
HAT-P-21 b,12.443100,12.443100,Transit,2010,,4.1244800,1547.8224,0.80340650,0
HAT-P-22 b,12.891500,12.891500,Transit,2010,,3.2122200,785.03517,0.36641964,0
HAT-P-23 b,12.218900,12.218900,Transit,2010,,1.2128800,425.88952,0.23345362,0
HAT-P-24 b,14.573000,14.573000,Transit,2010,,3.3552400,238.37100,0.077020534,0
HAT-P-25 b,12.723350,12.723350,Transit,2010,0.046600000,3.6528151,180.84413,0.087801108,0
HAT-P-26 b,7.0623000,7.0623000,Transit,2010,,4.2345200,22.247960,0.063161394,0
HAT-P-27 b,11.434200,11.434200,Transit,2011,0.040000000,3.0395770,197.05336,0.13181550,0
HAT-P-28 b,13.586520,13.586520,Transit,2011,0.043400000,3.2572150,198.96033,0.079330792,0
HAT-P-29 b,13.115700,13.115700,Transit,2011,,5.7231900,279.68864,0.12396538,0
HAT-P-3 b,10.537400,10.537400,Transit,2007,,2.8997000,206.58820,0.17656520,0
HAT-P-30 b,16.142400,16.142400,Transit,2011,,2.8106000,263.79724,0.062714207,0
HAT-P-31 b,12.218900,12.218900,Transit,2011,,5.0054200,721.46957,0.39547741,0
HAT-P-32 b,19.617500,19.617500,Transit,2011,,2.1500100,263.79724,0.034941316,0
HAT-P-33 b,20.738500,20.738500,Transit,2011,,3.4744700,292.40176,0.032782945,0
HAT-P-34 b,15.133500,15.133500,Transit,2011,,5.4526500,2227.9743,0.64282392,0
HAT-P-35 b,39.795500,39.795500,Transit,2011,,3.6467100,2390.0666,0.037923473,0
HAT-P-36 b,12.891500,12.891500,Transit,2011,,1.3273500,486.27684,0.22697249,0
HAT-P-37 b,13.205380,13.205380,Transit,2011,0.037900000,2.7974360,371.54094,0.16134442,0
HAT-P-38 b,9.2482500,9.2482500,Transit,2012,0.052300000,4.6403820,84.860077,0.10728147,0
HAT-P-39 b,17.610910,17.610910,Transit,2012,0.050900000,3.5438700,190.37897,0.034855682,0
HAT-P-4 b,14.281540,14.281540,Transit,2007,0.044380000,3.0565360,213.26259,0.073213228,0
HAT-P-40 b,17.039200,17.039200,Transit,2012,,4.4572400,152.55744,0.030837971,0
HAT-P-41 b,22.980500,22.980500,Transit,2012,,2.6940500,378.21532,0.031164538,0
HAT-P-42 b,14.348800,14.348800,Transit,2012,0.057500000,4.6418780,331.81244,0.11231711,0
HAT-P-43 b,14.360010,14.360010,Transit,2012,0.044300000,3.3326870,210.40214,0.071053572,0
HAT-P-44 b,13.922820,13.922820,Transit,2014,0.050700000,4.3012190,111.87546,0.041452735,0
HAT-P-44 c,,12.952003,Radial Velocity,2014,1.7520000,872.20000,1271.3120,,0
HAT-P-45 b,15.985460,15.985460,Transit,2014,0.045200000,3.1289920,283.50258,0.069403536,0
HAT-P-46 b,14.393640,14.393640,Transit,2014,0.057700000,4.4631290,156.68921,0.052544488,0
HAT-P-49 b,17.823900,17.823900,Transit,2014,,2.6915500,699.22161,0.12348284,0
HAT-P-5 b,13.564100,13.564100,Transit,2007,,2.7884900,311.47144,0.12480882,0
HAT-P-50 b,14.438480,14.438480,Transit,2015,0.045300000,3.1220109,429.06780,0.14254812,0
HAT-P-51 b,14.494530,14.494530,Transit,2015,0.050690000,4.2180278,98.208853,0.032250631,0
HAT-P-52 b,11.310890,11.310890,Transit,2015,0.036940000,2.7535953,259.98331,0.17966154,0
HAT-P-53 b,14.774780,14.774780,Transit,2015,0.031590000,1.9616241,471.65676,0.14623893,0
HAT-P-54 b,10.582240,10.582240,Transit,2015,0.041170000,3.7998470,241.54928,0.20383226,0
HAT-P-55 b,13.250220,13.250220,Transit,2015,0.046040000,3.5852467,184.97590,0.079514416,0
HAT-P-56 b,16.927100,16.927100,Transit,2015,,2.7908300,734.18269,0.15137580,0
HAT-P-57 b,19.505400,19.505400,Transit,2015,,2.4653000,448.13748,0.060387449,0
HAT-P-6 b,16.590800,16.590800,Transit,2007,,3.8529800,419.53296,0.091867966,0
HAT-P-65 b,21.186900,21.186900,Transit,2016,0.039510000,2.6054552,167.49536,0.017611669,0
HAT-P-66 b,17.823900,17.823900,Transit,2016,0.043630000,2.9720860,248.85933,0.043948667,0
HAT-P-67 b,23.372850,23.372850,Transit,2017,0.065050000,4.8101025,108.06152,0.0084632283,0
HAT-P-7 b,16.927100,16.927100,Transit,2008,,2.2047400,584.80353,0.12057640,0
HAT-P-8 b,15.694000,15.694000,Transit,2008,,3.0763400,406.81984,0.10524493,0
HAT-P-9 b,15.694000,15.694000,Transit,2008,0.053000000,3.9228900,247.90584,0.064133629,0
HATS-1 b,14.595420,14.595420,Transit,2012,0.044400000,3.4464590,589.57095,0.18962093,0
HATS-10 b,10.862490,10.862490,Transit,2015,0.044910000,3.3128460,167.17753,0.13043367,0
HATS-11 b,18.036890,18.036890,Transit,2016,0.050700000,3.6191880,,,0
HATS-12 b,7.7573200,7.7573200,Transit,2016,0.044100000,3.1427020,,,0
HATS-13 b,13.586520,13.586520,Transit,2015,0.040570000,3.0440499,172.58061,0.068812492,0
HATS-14 b,11.647190,11.647190,Transit,2015,0.038150000,2.7667641,340.39379,0.21543593,0
HATS-15 b,12.387050,12.387050,Transit,2016,0.027120000,1.7474875,689.68677,0.36286762,0
HATS-16 b,14.573000,14.573000,Transit,2016,0.037440000,2.6865020,1039.2976,0.33580953,0
HATS-17 b,8.7101700,8.7101700,Transit,2016,0.13080000,16.254611,425.25387,0.64352937,0
HATS-18 b,14.987770,14.987770,Transit,2016,0.017610000,0.83784340,629.29945,0.18691592,0
HATS-2 b,13.093280,13.093280,Transit,2013,0.023000000,1.3541330,427.47866,0.19044478,0
HATS-22 b,10.683130,10.683130,Transit,2017,0.050250000,4.7228124,870.84873,0.71424495,0
HATS-23 b,20.850600,20.850600,Transit,2017,0.033970000,2.1605156,467.20716,0.051541116,0
HATS-24 b,16.669270,16.669270,Transit,2017,0.025470000,1.3484954,775.50033,0.16742960,0
HATS-25 b,14.124600,14.124600,Transit,2016,0.051630000,4.2986432,194.82857,0.069139169,0
HATS-26 b,19.617500,19.617500,Transit,2016,0.047350000,3.3023881,206.58820,0.027363682,0
HATS-27 b,16.815000,16.815000,Transit,2016,0.061100000,4.6370380,168.44884,0.035430510,0
HATS-28 b,13.384740,13.384740,Transit,2016,0.041310000,3.1810781,213.58042,0.089070032,0
HATS-29 b,14.023710,14.023710,Transit,2016,0.054750000,4.6058749,207.54169,0.075251744,0
HATS-3 b,15.481010,15.481010,Transit,2013,0.048500000,3.5478510,340.39379,0.091745285,0
HATS-30 b,13.171750,13.171750,Transit,2016,0.043540000,3.1743516,224.38657,0.098189810,0
HATS-31 b,18.384400,18.384400,Transit,2016,0.047800000,3.3779600,279.68864,0.045011807,0
HATS-32 b,14.001290,14.001290,Transit,2016,0.040240000,2.8126548,292.40176,0.10653096,0
HATS-33 b,13.788300,13.788300,Transit,2016,0.037270000,2.5495551,378.85098,0.14452276,0
HATS-34 b,16.030300,16.030300,Transit,2016,0.031660000,2.1061607,299.07615,0.072603378,0
HATS-35 b,16.411440,16.411440,Transit,2016,0.031990000,1.8209993,388.38582,0.087866493,0
HATS-36 b,12.925130,12.925130,Transit,2018,0.052300000,4.1751860,,,0
HATS-39 b,17.599700,17.599700,Transit,2018,0.060070000,4.5776348,200.23164,0.036729660,0
HATS-4 b,11.434200,11.434200,Transit,2014,0.036200000,2.5167290,420.48645,0.28127727,0
HATS-40 b,17.711800,17.711800,Transit,2018,0.049970000,3.2642736,505.34652,0.090949681,0
HATS-41 b,14.909300,14.909300,Transit,2018,0.058300000,4.1936490,3082.9316,0.93023383,0
HATS-42 b,15.694000,15.694000,Transit,2018,0.036890000,2.2921020,597.51665,0.15457849,0
HATS-43 b,13.227800,13.227800,Transit,2018,0.049440000,4.3888497,82.953109,0.035840149,0
HATS-44 b,11.961070,11.961070,Transit,2018,0.036490000,2.7439004,177.98368,0.10400880,0
HATS-45 b,14.416060,14.416060,Transit,2018,0.055110000,4.1876244,222.47960,0.074259232,0
HATS-46 b,10.122630,10.122630,Transit,2018,0.053670000,4.7423729,54.984245,0.053010045,0
HATS-5 b,10.223520,10.223520,Transit,2014,0.054200000,4.7633870,75.325237,0.070491889,0
HATS-50 b,12.667300,12.667300,Transit,2017,0.050460000,3.8297015,123.95292,0.060982411,0
HATS-51 b,15.806100,15.806100,Transit,2017,0.046390000,3.3488702,244.09191,0.061812911,0
HATS-52 b,15.492220,15.492220,Transit,2017,0.024980000,1.3666544,711.93473,0.19146932,0
HATS-53 b,15.021400,15.021400,Transit,2017,0.047530000,3.8537768,189.10766,0.055792765,0
HATS-59 b,12.622460,12.622460,Transit,2018,0.061120000,5.4160810,256.16937,0.12737822,0
HATS-59 c,,12.310061,Radial Velocity,2018,2.5040000,1422.0000,4036.4156,,0
HATS-6 b,11.187580,11.187580,Transit,2015,0.036230000,3.3252725,101.38713,0.072405970,0
HATS-60 b,12.925130,12.925130,Transit,2018,0.047080000,3.5608290,210.40214,0.097441819,0
HATS-61 b,13.395950,13.395950,Transit,2018,0.079080000,7.8179530,1080.6152,0.44952155,0
HATS-62 b,11.826550,11.826550,Transit,2018,0.041630000,3.2768837,56.891213,0.034393072,0
HATS-63 b,13.530470,13.530470,Transit,2018,0.040260000,3.0566527,305.11488,0.12317562,0
HATS-64 b,18.821590,18.821590,Transit,2018,0.065620000,4.9088970,305.11488,0.045760890,0
HATS-65 b,16.826210,16.826210,Transit,2018,0.044970000,3.1051610,260.93679,0.054774245,0
HATS-66 b,15.817310,15.817310,Transit,2018,0.047140000,3.1414391,1694.0233,0.42807660,0
HATS-67 b,18.888850,18.888850,Transit,2018,0.030320000,1.6091788,460.85060,0.068382284,0
HATS-68 b,13.810720,13.810720,Transit,2018,0.050710000,3.5862202,409.99812,0.15564419,0
HATS-69 b,10.593450,10.593450,Transit,2018,0.032110000,2.2252577,183.38676,0.15426084,0
HATS-7 b,6.3112300,6.3112300,Transit,2015,0.040120000,3.1853150,38.139360,0.15171600,0
HATS-70 b,15.514640,15.514640,Transit,2019,0.036320000,1.8882378,4099.9812,1.0978848,0
HATS-8 b,9.7863300,9.7863300,Transit,2015,0.046670000,3.5838930,43.860264,0.046796317,0
HATS-9 b,13.855560,13.855560,Transit,2015,0.031200000,1.9152910,,,0
HD 100546 b,77.349000,77.349000,Imaging,2014,53.000000,,,,0
HD 100655 b,,13.481160,Radial Velocity,2011,0.68000000,157.57001,511.70308,,0
HD 100777 b,,13.748735,Radial Velocity,2007,1.0300000,383.70001,327.36284,,1
HD 10180 c,,3.6975355,Radial Velocity,2010,0.064120000,5.7596900,13.221645,,0
HD 10180 d,,3.4946933,Radial Velocity,2010,0.12859000,16.357000,12.013899,,0
HD 10180 e,,5.4548168,Radial Velocity,2010,0.26990000,49.748000,25.585154,,0
HD 10180 f,,5.1161680,Radial Velocity,2010,0.49290000,122.74400,22.947182,,0
HD 10180 g,,5.1577873,Radial Velocity,2010,1.4270000,604.67000,23.265010,,1
HD 10180 h,,9.5033808,Radial Velocity,2010,3.3810000,2205.0000,65.663265,,0
HD 101930 b,,10.632932,Radial Velocity,2005,0.30000000,70.460000,79.457001,,0
HD 102117 b,,8.4722900,Radial Velocity,2005,0.15000000,20.813300,54.030760,,0
HD 102195 b,,14.229711,Radial Velocity,2006,0.050000000,4.1137700,130.30948,,0
HD 102272 b,,12.832273,Radial Velocity,2008,0.51000000,127.58000,1570.0703,,0
HD 102329 b,,12.552009,Radial Velocity,2011,1.8100000,778.09998,2593.4765,,0
HD 102329 c,,13.515325,Radial Velocity,2018,,1123.0000,483.09856,,0
HD 102365 b,,4.1205931,Radial Velocity,2010,0.46000000,122.10000,15.891400,,0
HD 102843 b,,13.145216,Radial Velocity,2019,4.0740000,3090.9420,113.90002,,0
HD 102956 b,,13.791378,Radial Velocity,2010,0.080700000,6.4947000,305.11488,,0
HD 103197 b,,5.8252587,Radial Velocity,2009,0.25000000,47.840000,28.604520,,0
HD 103720 b,,14.059257,Radial Velocity,2014,0.049800000,4.5557000,197.05336,,0
HD 103774 b,,13.330753,Radial Velocity,2013,0.070000000,5.8881000,116.64288,,0
HD 103949 b,,3.3532856,Radial Velocity,2019,0.43900000,120.87800,11.200259,,0
HD 104067 b,,8.1750994,Radial Velocity,2009,0.26000000,55.806000,50.852480,,0
HD 10442 b,,13.528384,Radial Velocity,2014,2.0100000,1032.3000,472.61024,,1
HD 104985 b,,12.542617,Radial Velocity,2003,0.95000000,199.50500,2637.9724,,0
HD 106252 b,,12.642570,Radial Velocity,2002,2.6100000,1531.0000,2202.5481,,0
HD 106270 b,,12.433139,Radial Velocity,2011,3.3400000,1888.0000,3219.5977,,1
HD 106315 b,2.3204700,2.3204700,Transit,2017,0.090500000,9.5580400,,,0
HD 106315 c,4.3158500,4.3158500,Transit,2017,0.15330000,21.057880,,,0
HD 10647 b,,13.804159,Radial Velocity,2006,2.0150000,989.20000,298.75832,,1
HD 106515 A b,,12.462001,Radial Velocity,2012,4.5900000,3630.0000,3054.3271,,0
HD 106906 b,,12.388146,Imaging,2013,650.00000,,3496.1080,,0
HD 10697 b,,12.688390,Radial Velocity,1999,2.1400000,1075.6900,2028.6961,,1
HD 107148 b,,9.5951891,Radial Velocity,2005,0.26900000,48.056000,66.743881,,0
HD 108147 b,,10.906054,Radial Velocity,2002,0.10200000,10.898500,82.953109,,0
HD 108341 b,,13.028326,Radial Velocity,2014,2.0000000,1129.0000,1112.3980,,0
HD 108863 b,,13.243024,Radial Velocity,2011,1.3200000,437.70000,767.23680,,0
HD 108874 b,,13.555855,Radial Velocity,2002,1.0400000,394.48123,451.31576,,1
HD 108874 c,,13.772717,Radial Velocity,2005,2.6590000,1624.0000,314.64972,,0
HD 109246 b,,13.858291,Radial Velocity,2010,0.33000000,68.270000,273.33208,,0
HD 109271 b,,4.3116779,Radial Velocity,2013,0.079000000,7.8543000,17.162712,,0
HD 109271 c,,5.2730951,Radial Velocity,2013,0.19600000,30.930000,24.154928,,0
HD 109749 b,,11.126015,Radial Velocity,2005,0.061500000,5.2398910,85.813561,,0
HD 110014 b,,12.383705,Radial Velocity,2009,2.1400000,835.47700,3524.7126,,0
HD 111232 b,,12.625974,Radial Velocity,2003,1.9700000,1143.0000,2269.2919,,0
HD 111591 b,,12.897801,Radial Velocity,2017,2.5000000,1056.4000,1398.4432,,0
HD 111998 b,,12.883796,Radial Velocity,2016,1.8200000,825.90000,1433.4043,,1
HD 113337 b,,13.150703,Radial Velocity,2013,0.92000000,324.00000,899.45325,,0
HD 113538 b,,13.180399,Radial Velocity,2010,1.2400000,663.20000,114.41808,,0
HD 113538 c,,13.810658,Radial Velocity,2010,2.4400000,1818.0000,295.58004,,0
HD 113996 b,,12.695699,Radial Velocity,2017,1.6000000,610.20000,2002.3164,,0
